Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.51 ,mcc scores: 0.11 ,roc-auc scores: 0.74 ,cohen scores: 0.03 
Threshold: 0.10 ,Senstivity: 0.99 ,Specificity: 0.09 ,Accuracy: 0.54 ,mcc scores: 0.18 ,roc-auc scores: 0.74 ,cohen scores: 0.08 
Threshold: 0.15 ,Senstivity: 0.99 ,Specificity: 0.09 ,Accuracy: 0.54 ,mcc scores: 0.18 ,roc-auc scores: 0.74 ,cohen scores: 0.08 
Threshold: 0.20 ,Senstivity: 0.95 ,Specificity: 0.21 ,Accuracy: 0.58 ,mcc scores: 0.24 ,roc-auc scores: 0.74 ,cohen scores: 0.16 
Threshold: 0.25 ,Senstivity: 0.88 ,Specificity: 0.30 ,Accuracy: 0.59 ,mcc scores: 0.22 ,roc-auc scores: 0.74 ,cohen scores: 0.18 
Threshold: 0.30 ,Senstivity: 0.88 ,Specificity: 0.30 ,Accuracy: 0.59 ,mcc scores: 0.22 ,roc-auc scores: 0.74 ,cohen scores: 0.18 
Threshold: 0.35 ,Senstivity: 0.80 ,Specificity: 0.43 ,Accuracy: 0.61 ,mcc scores: 0.25 ,roc-auc scores: 0.74 ,cohen scores: 0.23 
Threshold: 0.40 ,Senstivity: 0.74 ,Specificity: 0.59 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.74 ,cohen scores: 0.33 
Threshold: 0.45 ,Senstivity: 0.74 ,Specificity: 0.59 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.74 ,cohen scores: 0.33 
Threshold: 0.50 ,Senstivity: 0.62 ,Specificity: 0.72 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.74 ,cohen scores: 0.34 
Threshold: 0.55 ,Senstivity: 0.48 ,Specificity: 0.84 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.74 ,cohen scores: 0.31 
Threshold: 0.60 ,Senstivity: 0.48 ,Specificity: 0.84 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.74 ,cohen scores: 0.31 
Threshold: 0.65 ,Senstivity: 0.41 ,Specificity: 0.94 ,Accuracy: 0.67 ,mcc scores: 0.41 ,roc-auc scores: 0.74 ,cohen scores: 0.35 
Threshold: 0.70 ,Senstivity: 0.32 ,Specificity: 0.98 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.74 ,cohen scores: 0.31 
Threshold: 0.75 ,Senstivity: 0.32 ,Specificity: 0.98 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.74 ,cohen scores: 0.31 
Threshold: 0.80 ,Senstivity: 0.26 ,Specificity: 0.99 ,Accuracy: 0.63 ,mcc scores: 0.38 ,roc-auc scores: 0.74 ,cohen scores: 0.25 
Threshold: 0.85 ,Senstivity: 0.21 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.34 ,roc-auc scores: 0.74 ,cohen scores: 0.21 
Threshold: 0.90 ,Senstivity: 0.21 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.34 ,roc-auc scores: 0.74 ,cohen scores: 0.21 
Threshold: 0.95 ,Senstivity: 0.18 ,Specificity: 1.00 ,Accuracy: 0.59 ,mcc scores: 0.31 ,roc-auc scores: 0.74 ,cohen scores: 0.18 
