Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.75 ,cohen scores: 0.01 
Threshold: -1.60 ,Senstivity: 0.99 ,Specificity: 0.02 ,Accuracy: 0.50 ,mcc scores: 0.02 ,roc-auc scores: 0.75 ,cohen scores: 0.01 
Threshold: -1.50 ,Senstivity: 0.99 ,Specificity: 0.04 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.75 ,cohen scores: 0.03 
Threshold: -1.40 ,Senstivity: 0.98 ,Specificity: 0.07 ,Accuracy: 0.52 ,mcc scores: 0.11 ,roc-auc scores: 0.75 ,cohen scores: 0.05 
Threshold: -1.30 ,Senstivity: 0.96 ,Specificity: 0.11 ,Accuracy: 0.53 ,mcc scores: 0.13 ,roc-auc scores: 0.75 ,cohen scores: 0.07 
Threshold: -1.20 ,Senstivity: 0.95 ,Specificity: 0.15 ,Accuracy: 0.55 ,mcc scores: 0.18 ,roc-auc scores: 0.75 ,cohen scores: 0.11 
Threshold: -1.10 ,Senstivity: 0.94 ,Specificity: 0.19 ,Accuracy: 0.56 ,mcc scores: 0.19 ,roc-auc scores: 0.75 ,cohen scores: 0.13 
Threshold: -1.00 ,Senstivity: 0.90 ,Specificity: 0.27 ,Accuracy: 0.59 ,mcc scores: 0.22 ,roc-auc scores: 0.75 ,cohen scores: 0.17 
Threshold: -0.90 ,Senstivity: 0.85 ,Specificity: 0.32 ,Accuracy: 0.59 ,mcc scores: 0.21 ,roc-auc scores: 0.75 ,cohen scores: 0.17 
Threshold: -0.80 ,Senstivity: 0.82 ,Specificity: 0.38 ,Accuracy: 0.60 ,mcc scores: 0.22 ,roc-auc scores: 0.75 ,cohen scores: 0.20 
Threshold: -0.70 ,Senstivity: 0.79 ,Specificity: 0.43 ,Accuracy: 0.61 ,mcc scores: 0.24 ,roc-auc scores: 0.75 ,cohen scores: 0.22 
Threshold: -0.60 ,Senstivity: 0.78 ,Specificity: 0.48 ,Accuracy: 0.63 ,mcc scores: 0.27 ,roc-auc scores: 0.75 ,cohen scores: 0.26 
Threshold: -0.50 ,Senstivity: 0.77 ,Specificity: 0.54 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.75 ,cohen scores: 0.31 
Threshold: -0.40 ,Senstivity: 0.75 ,Specificity: 0.59 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.75 ,cohen scores: 0.33 
Threshold: -0.30 ,Senstivity: 0.72 ,Specificity: 0.63 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: -0.20 ,Senstivity: 0.70 ,Specificity: 0.68 ,Accuracy: 0.69 ,mcc scores: 0.37 ,roc-auc scores: 0.75 ,cohen scores: 0.37 
Threshold: -0.10 ,Senstivity: 0.69 ,Specificity: 0.72 ,Accuracy: 0.71 ,mcc scores: 0.42 ,roc-auc scores: 0.75 ,cohen scores: 0.42 
Threshold: 0.00 ,Senstivity: 0.65 ,Specificity: 0.77 ,Accuracy: 0.71 ,mcc scores: 0.43 ,roc-auc scores: 0.75 ,cohen scores: 0.43 
Threshold: 0.10 ,Senstivity: 0.63 ,Specificity: 0.79 ,Accuracy: 0.71 ,mcc scores: 0.43 ,roc-auc scores: 0.75 ,cohen scores: 0.42 
Threshold: 0.20 ,Senstivity: 0.58 ,Specificity: 0.83 ,Accuracy: 0.71 ,mcc scores: 0.42 ,roc-auc scores: 0.75 ,cohen scores: 0.41 
