extra_trees_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.72,0.00
0.05,1.00,0.00,0.47,0.00,0.72,0.00
0.10,1.00,0.00,0.47,0.00,0.72,0.00
0.15,1.00,0.00,0.47,0.00,0.72,0.00
0.20,1.00,0.01,0.48,0.05,0.72,0.01
0.25,1.00,0.01,0.48,0.05,0.72,0.01
0.30,0.99,0.05,0.50,0.13,0.72,0.04
0.35,0.94,0.23,0.56,0.23,0.72,0.16
0.40,0.79,0.38,0.58,0.19,0.72,0.17
0.45,0.63,0.72,0.68,0.35,0.72,0.35
0.50,0.44,0.86,0.66,0.33,0.72,0.30
0.55,0.31,0.96,0.65,0.36,0.72,0.28
0.60,0.25,1.00,0.65,0.39,0.72,0.26
0.65,0.16,1.00,0.60,0.30,0.72,0.17
0.70,0.04,1.00,0.55,0.15,0.72,0.04
0.75,0.02,1.00,0.54,0.11,0.72,0.02
0.80,0.01,1.00,0.53,0.06,0.72,0.01
0.85,0.00,1.00,0.53,0.00,0.72,0.00
0.90,0.00,1.00,0.53,0.00,0.72,0.00
0.95,0.00,1.00,0.53,0.00,0.72,0.00

extra_trees_kfold_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.45,0.00,0.75,0.00
0.05,1.00,0.00,0.45,0.00,0.83,0.00
0.10,1.00,0.00,0.45,0.00,0.79,0.00
0.15,1.00,0.00,0.45,0.00,0.77,0.00
0.20,1.00,0.00,0.45,0.00,0.80,0.00
0.25,1.00,0.00,0.45,0.00,0.74,0.00
0.30,1.00,0.00,0.45,0.00,0.82,0.00
0.35,0.96,0.06,0.47,0.05,0.77,0.02
0.40,0.96,0.27,0.58,0.31,0.79,0.22
0.45,0.81,0.48,0.63,0.31,0.79,0.29
0.50,0.63,0.76,0.70,0.39,0.80,0.39
0.55,0.44,0.88,0.68,0.36,0.75,0.34
0.60,0.33,1.00,0.70,0.46,0.81,0.35
0.65,0.19,0.97,0.62,0.26,0.78,0.17
0.70,0.11,1.00,0.60,0.25,0.77,0.12
0.75,0.00,1.00,0.55,0.00,0.81,0.00
0.80,0.00,1.00,0.55,0.00,0.73,0.00
0.85,0.00,1.00,0.55,0.00,0.79,0.00
0.90,0.00,1.00,0.55,0.00,0.78,0.00
0.95,0.00,1.00,0.55,0.00,0.74,0.00

knn_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.68,0.00
0.05,0.95,0.11,0.51,0.12,0.68,0.06
0.10,0.95,0.11,0.51,0.12,0.68,0.06
0.15,0.95,0.11,0.51,0.12,0.68,0.06
0.20,0.95,0.11,0.51,0.12,0.68,0.06
0.25,0.84,0.29,0.55,0.15,0.68,0.12
0.30,0.84,0.29,0.55,0.15,0.68,0.12
0.35,0.84,0.29,0.55,0.15,0.68,0.12
0.40,0.84,0.29,0.55,0.15,0.68,0.12
0.45,0.71,0.49,0.60,0.21,0.68,0.20
0.50,0.71,0.49,0.60,0.21,0.68,0.20
0.55,0.71,0.49,0.60,0.21,0.68,0.20
0.60,0.54,0.74,0.65,0.29,0.68,0.28
0.65,0.54,0.74,0.65,0.29,0.68,0.28
0.70,0.54,0.74,0.65,0.29,0.68,0.28
0.75,0.54,0.74,0.65,0.29,0.68,0.28
0.80,0.54,0.74,0.65,0.29,0.68,0.28
0.85,0.42,0.92,0.69,0.40,0.68,0.35
0.90,0.42,0.92,0.69,0.40,0.68,0.35
0.95,0.42,0.92,0.69,0.40,0.68,0.35

knn_kfold_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.45,0.00,0.64,0.00
0.05,0.96,0.12,0.50,0.15,0.64,0.08
0.10,0.96,0.12,0.50,0.15,0.64,0.08
0.15,0.96,0.12,0.50,0.15,0.64,0.08
0.20,0.96,0.12,0.50,0.15,0.64,0.08
0.25,0.85,0.21,0.50,0.08,0.64,0.06
0.30,0.85,0.21,0.50,0.08,0.64,0.06
0.35,0.85,0.21,0.50,0.08,0.64,0.06
0.40,0.85,0.21,0.50,0.08,0.64,0.06
0.45,0.78,0.42,0.58,0.21,0.64,0.19
0.50,0.78,0.42,0.58,0.21,0.64,0.19
0.55,0.78,0.42,0.58,0.21,0.64,0.19
0.60,0.59,0.73,0.67,0.32,0.64,0.32
0.65,0.59,0.73,0.67,0.32,0.64,0.32
0.70,0.59,0.73,0.67,0.32,0.64,0.32
0.75,0.59,0.73,0.67,0.32,0.64,0.32
0.80,0.59,0.73,0.67,0.32,0.64,0.32
0.85,0.22,0.82,0.55,0.05,0.64,0.04
0.90,0.22,0.82,0.55,0.05,0.64,0.04
0.95,0.22,0.82,0.55,0.05,0.64,0.04

mlp_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.70,0.00
0.05,1.00,0.00,0.47,0.00,0.70,0.00
0.10,1.00,0.00,0.47,0.00,0.70,0.00
