Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.56 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.58 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.56 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 0.97 ,Specificity: 0.05 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.58 ,cohen scores: 0.02 
Threshold: 0.25 ,Senstivity: 0.95 ,Specificity: 0.07 ,Accuracy: 0.49 ,mcc scores: 0.04 ,roc-auc scores: 0.58 ,cohen scores: 0.02 
Threshold: 0.30 ,Senstivity: 0.89 ,Specificity: 0.15 ,Accuracy: 0.51 ,mcc scores: 0.06 ,roc-auc scores: 0.57 ,cohen scores: 0.04 
Threshold: 0.35 ,Senstivity: 0.78 ,Specificity: 0.35 ,Accuracy: 0.56 ,mcc scores: 0.15 ,roc-auc scores: 0.59 ,cohen scores: 0.13 
Threshold: 0.40 ,Senstivity: 0.76 ,Specificity: 0.40 ,Accuracy: 0.57 ,mcc scores: 0.17 ,roc-auc scores: 0.57 ,cohen scores: 0.15 
Threshold: 0.45 ,Senstivity: 0.57 ,Specificity: 0.47 ,Accuracy: 0.52 ,mcc scores: 0.04 ,roc-auc scores: 0.57 ,cohen scores: 0.04 
Threshold: 0.50 ,Senstivity: 0.46 ,Specificity: 0.60 ,Accuracy: 0.53 ,mcc scores: 0.06 ,roc-auc scores: 0.59 ,cohen scores: 0.06 
Threshold: 0.55 ,Senstivity: 0.38 ,Specificity: 0.72 ,Accuracy: 0.56 ,mcc scores: 0.11 ,roc-auc scores: 0.60 ,cohen scores: 0.10 
Threshold: 0.60 ,Senstivity: 0.30 ,Specificity: 0.72 ,Accuracy: 0.52 ,mcc scores: 0.02 ,roc-auc scores: 0.57 ,cohen scores: 0.02 
Threshold: 0.65 ,Senstivity: 0.24 ,Specificity: 0.78 ,Accuracy: 0.52 ,mcc scores: 0.02 ,roc-auc scores: 0.58 ,cohen scores: 0.02 
Threshold: 0.70 ,Senstivity: 0.14 ,Specificity: 0.95 ,Accuracy: 0.56 ,mcc scores: 0.15 ,roc-auc scores: 0.58 ,cohen scores: 0.09 
Threshold: 0.75 ,Senstivity: 0.08 ,Specificity: 0.93 ,Accuracy: 0.52 ,mcc scores: 0.01 ,roc-auc scores: 0.55 ,cohen scores: 0.01 
Threshold: 0.80 ,Senstivity: 0.11 ,Specificity: 0.97 ,Accuracy: 0.56 ,mcc scores: 0.17 ,roc-auc scores: 0.58 ,cohen scores: 0.09 
Threshold: 0.85 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.59 ,cohen scores: 0.08 
Threshold: 0.90 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.17 ,roc-auc scores: 0.56 ,cohen scores: 0.06 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.57 ,cohen scores: 0.00 
