Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.64 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.67 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.66 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.66 ,cohen scores: 0.00 
Threshold: 0.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.66 ,cohen scores: 0.00 
Threshold: 0.35 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.49 ,mcc scores: 0.15 ,roc-auc scores: 0.65 ,cohen scores: 0.05 
Threshold: 0.40 ,Senstivity: 0.91 ,Specificity: 0.23 ,Accuracy: 0.55 ,mcc scores: 0.19 ,roc-auc scores: 0.66 ,cohen scores: 0.13 
Threshold: 0.45 ,Senstivity: 0.83 ,Specificity: 0.30 ,Accuracy: 0.55 ,mcc scores: 0.15 ,roc-auc scores: 0.65 ,cohen scores: 0.12 
Threshold: 0.50 ,Senstivity: 0.69 ,Specificity: 0.42 ,Accuracy: 0.55 ,mcc scores: 0.11 ,roc-auc scores: 0.64 ,cohen scores: 0.11 
Threshold: 0.55 ,Senstivity: 0.57 ,Specificity: 0.60 ,Accuracy: 0.59 ,mcc scores: 0.17 ,roc-auc scores: 0.67 ,cohen scores: 0.17 
Threshold: 0.60 ,Senstivity: 0.51 ,Specificity: 0.88 ,Accuracy: 0.71 ,mcc scores: 0.42 ,roc-auc scores: 0.69 ,cohen scores: 0.40 
Threshold: 0.65 ,Senstivity: 0.34 ,Specificity: 0.95 ,Accuracy: 0.67 ,mcc scores: 0.37 ,roc-auc scores: 0.61 ,cohen scores: 0.30 
Threshold: 0.70 ,Senstivity: 0.17 ,Specificity: 0.97 ,Accuracy: 0.60 ,mcc scores: 0.25 ,roc-auc scores: 0.66 ,cohen scores: 0.15 
Threshold: 0.75 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.29 ,roc-auc scores: 0.65 ,cohen scores: 0.15 
Threshold: 0.80 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.18 ,roc-auc scores: 0.67 ,cohen scores: 0.06 
Threshold: 0.85 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.18 ,roc-auc scores: 0.66 ,cohen scores: 0.06 
Threshold: 0.90 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.12 ,roc-auc scores: 0.68 ,cohen scores: 0.03 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
