extra_trees_bin_n5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.75,0.00
0.05,1.00,0.00,0.50,0.00,0.75,0.00
0.10,1.00,0.01,0.50,0.05,0.75,0.01
0.15,1.00,0.02,0.51,0.10,0.75,0.02
0.20,0.99,0.07,0.53,0.17,0.75,0.06
0.25,0.98,0.13,0.56,0.23,0.75,0.12
0.30,0.95,0.20,0.58,0.23,0.75,0.15
0.35,0.91,0.31,0.61,0.28,0.75,0.22
0.40,0.86,0.40,0.63,0.30,0.75,0.26
0.45,0.76,0.54,0.65,0.31,0.75,0.30
0.50,0.70,0.66,0.68,0.36,0.75,0.36
0.55,0.53,0.80,0.67,0.35,0.75,0.34
0.60,0.39,0.87,0.63,0.30,0.75,0.26
0.65,0.30,0.95,0.62,0.33,0.75,0.25
0.70,0.22,0.97,0.60,0.29,0.75,0.19
0.75,0.19,0.98,0.59,0.29,0.75,0.18
0.80,0.15,1.00,0.57,0.28,0.75,0.15
0.85,0.12,1.00,0.56,0.26,0.75,0.12
0.90,0.08,1.00,0.54,0.21,0.75,0.08
0.95,0.07,1.00,0.53,0.19,0.75,0.07

extra_trees_kfold_bin_n5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.64,0.00
0.05,1.00,0.00,0.48,0.00,0.66,0.00
0.10,1.00,0.03,0.49,0.11,0.68,0.02
0.15,1.00,0.03,0.49,0.11,0.66,0.02
0.20,0.97,0.10,0.52,0.15,0.64,0.07
0.25,0.89,0.20,0.53,0.13,0.65,0.09
0.30,0.86,0.28,0.56,0.17,0.64,0.14
0.35,0.84,0.33,0.57,0.19,0.63,0.16
0.40,0.78,0.42,0.60,0.22,0.68,0.21
0.45,0.57,0.45,0.51,0.02,0.63,0.02
0.50,0.46,0.72,0.60,0.19,0.66,0.19
0.55,0.38,0.80,0.60,0.20,0.65,0.18
0.60,0.30,0.90,0.61,0.25,0.65,0.20
0.65,0.27,0.95,0.62,0.30,0.63,0.23
0.70,0.22,0.97,0.61,0.30,0.67,0.20
0.75,0.22,0.95,0.60,0.25,0.67,0.17
0.80,0.16,0.95,0.57,0.18,0.68,0.12
0.85,0.14,1.00,0.58,0.27,0.67,0.14
0.90,0.14,0.97,0.57,0.21,0.67,0.11
0.95,0.11,1.00,0.57,0.24,0.68,0.11

knn_bin_n5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.67,0.00
0.05,0.97,0.17,0.57,0.23,0.67,0.13
0.10,0.97,0.17,0.57,0.23,0.67,0.13
0.15,0.97,0.17,0.57,0.23,0.67,0.13
0.20,0.97,0.17,0.57,0.23,0.67,0.13
0.25,0.97,0.17,0.57,0.23,0.67,0.13
0.30,0.97,0.17,0.57,0.23,0.67,0.13
0.35,0.86,0.40,0.63,0.29,0.67,0.26
0.40,0.86,0.40,0.63,0.29,0.67,0.26
0.45,0.86,0.40,0.63,0.29,0.67,0.26
0.50,0.86,0.40,0.63,0.29,0.67,0.26
0.55,0.86,0.40,0.63,0.29,0.67,0.26
0.60,0.86,0.40,0.63,0.29,0.67,0.26
0.65,0.86,0.40,0.63,0.29,0.67,0.26
0.70,0.64,0.64,0.64,0.27,0.67,0.27
0.75,0.64,0.64,0.64,0.27,0.67,0.27
0.80,0.64,0.64,0.64,0.27,0.67,0.27
0.85,0.64,0.64,0.64,0.27,0.67,0.27
0.90,0.64,0.64,0.64,0.27,0.67,0.27
0.95,0.64,0.64,0.64,0.27,0.67,0.27

knn_kfold_bin_n5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.63,0.00
0.05,0.92,0.10,0.49,0.03,0.63,0.02
0.10,0.92,0.10,0.49,0.03,0.63,0.02
0.15,0.92,0.10,0.49,0.03,0.63,0.02
0.20,0.92,0.10,0.49,0.03,0.63,0.02
0.25,0.92,0.10,0.49,0.03,0.63,0.02
0.30,0.92,0.10,0.49,0.03,0.63,0.02
0.35,0.76,0.45,0.60,0.22,0.63,0.20
0.40,0.76,0.45,0.60,0.22,0.63,0.20
0.45,0.76,0.45,0.60,0.22,0.63,0.20
0.50,0.76,0.45,0.60,0.22,0.63,0.20
0.55,0.76,0.45,0.60,0.22,0.63,0.20
0.60,0.76,0.45,0.60,0.22,0.63,0.20
0.65,0.76,0.45,0.60,0.22,0.63,0.20
0.70,0.51,0.72,0.62,0.24,0.63,0.24
0.75,0.51,0.72,0.62,0.24,0.63,0.24
0.80,0.51,0.72,0.62,0.24,0.63,0.24
0.85,0.51,0.72,0.62,0.24,0.63,0.24
0.90,0.51,0.72,0.62,0.24,0.63,0.24
0.95,0.51,0.72,0.62,0.24,0.63,0.24

mlp_bin_n5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.74,0.00
0.05,0.98,0.20,0.59,0.28,0.74,0.18
0.10,0.96,0.31,0.63,0.35,0.74,0.27
0.15,0.93,0.38,0.66,0.37,0.74,0.31
0.20,0.91,0.41,0.66,0.37,0.74,0.32
0.25,0.87,0.44,0.65,0.34,0.74,0.31
0.30,0.83,0.47,0.65,0.33,0.74,0.31
0.35,0.79,0.53,0.66,0.33,0.74,0.32
0.40,0.76,0.55,0.66,0.32,0.74,0.32
0.45,0.70,0.57,0.64,0.28,0.74,0.27
0.50,0.69,0.61,0.65,0.30,0.74,0.30
0.55,0.68,0.64,0.66,0.32,0.74,0.32
0.60,0.67,0.67,0.67,0.34,0.74,0.34
0.65,0.62,0.73,0.67,0.34,0.74,0.34
0.70,0.55,0.74,0.65,0.30,0.74,0.29
0.75,0.52,0.78,0.65,0.31,0.74,0.30
0.80,0.47,0.83,0.65,0.32,0.74,0.30
0.85,0.42,0.84,0.63,0.29,0.74,0.26
0.90,0.34,0.89,0.61,0.27,0.74,0.23
0.95,0.25,0.95,0.60,0.28,0.74,0.20

mlp_kfold_bin_n5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.70,0.00
0.05,0.86,0.23,0.53,0.12,0.69,0.09
0.10,0.86,0.38,0.61,0.27,0.70,0.24
0.15,0.81,0.33,0.56,0.15,0.65,0.13
0.20,0.81,0.47,0.64,0.30,0.71,0.28
0.25,0.73,0.65,0.69,0.38,0.72,0.38
0.30,0.78,0.45,0.61,0.25,0.66,0.23
0.35,0.76,0.60,0.68,0.36,0.69,0.35
0.40,0.65,0.65,0.65,0.30,0.70,0.30
0.45,0.70,0.72,0.71,0.43,0.74,0.43
0.50,0.59,0.72,0.66,0.32,0.70,0.32
0.55,0.54,0.75,0.65,0.30,0.66,0.29
0.60,0.51,0.78,0.65,0.30,0.72,0.29
0.65,0.49,0.78,0.64,0.27,0.68,0.26
0.70,0.46,0.85,0.66,0.34,0.71,0.31
0.75,0.38,0.90,0.65,0.33,0.73,0.28
0.80,0.41,0.80,0.61,0.22,0.69,0.21
0.85,0.38,0.88,0.64,0.29,0.69,0.26
0.90,0.30,0.88,0.60,0.21,0.72,0.18
0.95,0.22,0.90,0.57,0.16,0.66,0.12

rf_bin_n5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.74,0.00
