Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.63 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.92 ,Specificity: 0.10 ,Accuracy: 0.49 ,mcc scores: 0.03 ,roc-auc scores: 0.63 ,cohen scores: 0.02 
Threshold: 0.10 ,Senstivity: 0.92 ,Specificity: 0.10 ,Accuracy: 0.49 ,mcc scores: 0.03 ,roc-auc scores: 0.63 ,cohen scores: 0.02 
Threshold: 0.15 ,Senstivity: 0.92 ,Specificity: 0.10 ,Accuracy: 0.49 ,mcc scores: 0.03 ,roc-auc scores: 0.63 ,cohen scores: 0.02 
Threshold: 0.20 ,Senstivity: 0.92 ,Specificity: 0.10 ,Accuracy: 0.49 ,mcc scores: 0.03 ,roc-auc scores: 0.63 ,cohen scores: 0.02 
Threshold: 0.25 ,Senstivity: 0.92 ,Specificity: 0.10 ,Accuracy: 0.49 ,mcc scores: 0.03 ,roc-auc scores: 0.63 ,cohen scores: 0.02 
Threshold: 0.30 ,Senstivity: 0.92 ,Specificity: 0.10 ,Accuracy: 0.49 ,mcc scores: 0.03 ,roc-auc scores: 0.63 ,cohen scores: 0.02 
Threshold: 0.35 ,Senstivity: 0.76 ,Specificity: 0.45 ,Accuracy: 0.60 ,mcc scores: 0.22 ,roc-auc scores: 0.63 ,cohen scores: 0.20 
Threshold: 0.40 ,Senstivity: 0.76 ,Specificity: 0.45 ,Accuracy: 0.60 ,mcc scores: 0.22 ,roc-auc scores: 0.63 ,cohen scores: 0.20 
Threshold: 0.45 ,Senstivity: 0.76 ,Specificity: 0.45 ,Accuracy: 0.60 ,mcc scores: 0.22 ,roc-auc scores: 0.63 ,cohen scores: 0.20 
Threshold: 0.50 ,Senstivity: 0.76 ,Specificity: 0.45 ,Accuracy: 0.60 ,mcc scores: 0.22 ,roc-auc scores: 0.63 ,cohen scores: 0.20 
Threshold: 0.55 ,Senstivity: 0.76 ,Specificity: 0.45 ,Accuracy: 0.60 ,mcc scores: 0.22 ,roc-auc scores: 0.63 ,cohen scores: 0.20 
Threshold: 0.60 ,Senstivity: 0.76 ,Specificity: 0.45 ,Accuracy: 0.60 ,mcc scores: 0.22 ,roc-auc scores: 0.63 ,cohen scores: 0.20 
Threshold: 0.65 ,Senstivity: 0.76 ,Specificity: 0.45 ,Accuracy: 0.60 ,mcc scores: 0.22 ,roc-auc scores: 0.63 ,cohen scores: 0.20 
Threshold: 0.70 ,Senstivity: 0.51 ,Specificity: 0.72 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.63 ,cohen scores: 0.24 
Threshold: 0.75 ,Senstivity: 0.51 ,Specificity: 0.72 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.63 ,cohen scores: 0.24 
Threshold: 0.80 ,Senstivity: 0.51 ,Specificity: 0.72 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.63 ,cohen scores: 0.24 
Threshold: 0.85 ,Senstivity: 0.51 ,Specificity: 0.72 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.63 ,cohen scores: 0.24 
Threshold: 0.90 ,Senstivity: 0.51 ,Specificity: 0.72 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.63 ,cohen scores: 0.24 
Threshold: 0.95 ,Senstivity: 0.51 ,Specificity: 0.72 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.63 ,cohen scores: 0.24 
