Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: 0.11 ,roc-auc scores: 0.69 ,cohen scores: 0.02 
Threshold: -1.00 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: 0.11 ,roc-auc scores: 0.69 ,cohen scores: 0.02 
Threshold: -0.90 ,Senstivity: 0.94 ,Specificity: 0.03 ,Accuracy: 0.45 ,mcc scores: -0.08 ,roc-auc scores: 0.69 ,cohen scores: -0.03 
Threshold: -0.80 ,Senstivity: 0.94 ,Specificity: 0.05 ,Accuracy: 0.47 ,mcc scores: -0.02 ,roc-auc scores: 0.69 ,cohen scores: -0.01 
Threshold: -0.70 ,Senstivity: 0.94 ,Specificity: 0.07 ,Accuracy: 0.48 ,mcc scores: 0.04 ,roc-auc scores: 0.69 ,cohen scores: 0.02 
Threshold: -0.60 ,Senstivity: 0.94 ,Specificity: 0.07 ,Accuracy: 0.48 ,mcc scores: 0.04 ,roc-auc scores: 0.69 ,cohen scores: 0.02 
Threshold: -0.50 ,Senstivity: 0.94 ,Specificity: 0.10 ,Accuracy: 0.49 ,mcc scores: 0.08 ,roc-auc scores: 0.69 ,cohen scores: 0.04 
Threshold: -0.40 ,Senstivity: 0.94 ,Specificity: 0.12 ,Accuracy: 0.51 ,mcc scores: 0.12 ,roc-auc scores: 0.69 ,cohen scores: 0.06 
Threshold: -0.30 ,Senstivity: 0.89 ,Specificity: 0.12 ,Accuracy: 0.48 ,mcc scores: 0.02 ,roc-auc scores: 0.69 ,cohen scores: 0.01 
Threshold: -0.20 ,Senstivity: 0.89 ,Specificity: 0.17 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.69 ,cohen scores: 0.06 
Threshold: -0.10 ,Senstivity: 0.74 ,Specificity: 0.33 ,Accuracy: 0.52 ,mcc scores: 0.07 ,roc-auc scores: 0.69 ,cohen scores: 0.07 
Threshold: 0.00 ,Senstivity: 0.63 ,Specificity: 0.68 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.69 ,cohen scores: 0.30 
Threshold: 0.10 ,Senstivity: 0.57 ,Specificity: 0.85 ,Accuracy: 0.72 ,mcc scores: 0.44 ,roc-auc scores: 0.69 ,cohen scores: 0.43 
Threshold: 0.20 ,Senstivity: 0.57 ,Specificity: 0.93 ,Accuracy: 0.76 ,mcc scores: 0.54 ,roc-auc scores: 0.69 ,cohen scores: 0.51 
Threshold: 0.30 ,Senstivity: 0.51 ,Specificity: 0.95 ,Accuracy: 0.75 ,mcc scores: 0.52 ,roc-auc scores: 0.69 ,cohen scores: 0.48 
Threshold: 0.40 ,Senstivity: 0.49 ,Specificity: 0.95 ,Accuracy: 0.73 ,mcc scores: 0.50 ,roc-auc scores: 0.69 ,cohen scores: 0.45 
Threshold: 0.50 ,Senstivity: 0.37 ,Specificity: 0.95 ,Accuracy: 0.68 ,mcc scores: 0.40 ,roc-auc scores: 0.69 ,cohen scores: 0.33 
Threshold: 0.60 ,Senstivity: 0.29 ,Specificity: 0.97 ,Accuracy: 0.65 ,mcc scores: 0.37 ,roc-auc scores: 0.69 ,cohen scores: 0.27 
Threshold: 0.70 ,Senstivity: 0.23 ,Specificity: 0.97 ,Accuracy: 0.63 ,mcc scores: 0.31 ,roc-auc scores: 0.69 ,cohen scores: 0.21 
Threshold: 0.80 ,Senstivity: 0.11 ,Specificity: 0.97 ,Accuracy: 0.57 ,mcc scores: 0.18 ,roc-auc scores: 0.69 ,cohen scores: 0.09 
Threshold: 0.90 ,Senstivity: 0.09 ,Specificity: 0.97 ,Accuracy: 0.56 ,mcc scores: 0.13 ,roc-auc scores: 0.69 ,cohen scores: 0.06 
Threshold: 1.00 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.18 ,roc-auc scores: 0.69 ,cohen scores: 0.06 
Threshold: 1.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 2.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
