Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.48 ,mcc scores: 0.08 ,roc-auc scores: 0.74 ,cohen scores: 0.01 
Threshold: 0.25 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.50 ,mcc scores: 0.11 ,roc-auc scores: 0.74 ,cohen scores: 0.04 
Threshold: 0.30 ,Senstivity: 0.97 ,Specificity: 0.17 ,Accuracy: 0.55 ,mcc scores: 0.23 ,roc-auc scores: 0.74 ,cohen scores: 0.14 
Threshold: 0.35 ,Senstivity: 0.91 ,Specificity: 0.31 ,Accuracy: 0.59 ,mcc scores: 0.27 ,roc-auc scores: 0.74 ,cohen scores: 0.21 
Threshold: 0.40 ,Senstivity: 0.80 ,Specificity: 0.53 ,Accuracy: 0.66 ,mcc scores: 0.34 ,roc-auc scores: 0.74 ,cohen scores: 0.33 
Threshold: 0.45 ,Senstivity: 0.59 ,Specificity: 0.72 ,Accuracy: 0.66 ,mcc scores: 0.31 ,roc-auc scores: 0.74 ,cohen scores: 0.31 
Threshold: 0.50 ,Senstivity: 0.47 ,Specificity: 0.85 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.74 ,cohen scores: 0.32 
Threshold: 0.55 ,Senstivity: 0.35 ,Specificity: 0.94 ,Accuracy: 0.66 ,mcc scores: 0.36 ,roc-auc scores: 0.74 ,cohen scores: 0.30 
Threshold: 0.60 ,Senstivity: 0.33 ,Specificity: 0.99 ,Accuracy: 0.68 ,mcc scores: 0.43 ,roc-auc scores: 0.74 ,cohen scores: 0.33 
Threshold: 0.65 ,Senstivity: 0.25 ,Specificity: 0.99 ,Accuracy: 0.64 ,mcc scores: 0.37 ,roc-auc scores: 0.74 ,cohen scores: 0.25 
Threshold: 0.70 ,Senstivity: 0.18 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.32 ,roc-auc scores: 0.74 ,cohen scores: 0.19 
Threshold: 0.75 ,Senstivity: 0.15 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.30 ,roc-auc scores: 0.74 ,cohen scores: 0.16 
Threshold: 0.80 ,Senstivity: 0.10 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.23 ,roc-auc scores: 0.74 ,cohen scores: 0.10 
Threshold: 0.85 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.17 ,roc-auc scores: 0.74 ,cohen scores: 0.06 
Threshold: 0.90 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.06 ,roc-auc scores: 0.74 ,cohen scores: 0.01 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
