Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.48 ,mcc scores: 0.05 ,roc-auc scores: 0.76 ,cohen scores: 0.01 
Threshold: -1.00 ,Senstivity: 0.99 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: 0.07 ,roc-auc scores: 0.76 ,cohen scores: 0.02 
Threshold: -0.90 ,Senstivity: 0.99 ,Specificity: 0.05 ,Accuracy: 0.49 ,mcc scores: 0.10 ,roc-auc scores: 0.76 ,cohen scores: 0.03 
Threshold: -0.80 ,Senstivity: 0.97 ,Specificity: 0.10 ,Accuracy: 0.51 ,mcc scores: 0.15 ,roc-auc scores: 0.76 ,cohen scores: 0.07 
Threshold: -0.70 ,Senstivity: 0.97 ,Specificity: 0.16 ,Accuracy: 0.54 ,mcc scores: 0.20 ,roc-auc scores: 0.76 ,cohen scores: 0.12 
Threshold: -0.60 ,Senstivity: 0.94 ,Specificity: 0.21 ,Accuracy: 0.56 ,mcc scores: 0.23 ,roc-auc scores: 0.76 ,cohen scores: 0.15 
Threshold: -0.50 ,Senstivity: 0.91 ,Specificity: 0.31 ,Accuracy: 0.59 ,mcc scores: 0.27 ,roc-auc scores: 0.76 ,cohen scores: 0.21 
Threshold: -0.40 ,Senstivity: 0.85 ,Specificity: 0.41 ,Accuracy: 0.62 ,mcc scores: 0.28 ,roc-auc scores: 0.76 ,cohen scores: 0.25 
Threshold: -0.30 ,Senstivity: 0.82 ,Specificity: 0.52 ,Accuracy: 0.66 ,mcc scores: 0.35 ,roc-auc scores: 0.76 ,cohen scores: 0.33 
Threshold: -0.20 ,Senstivity: 0.76 ,Specificity: 0.60 ,Accuracy: 0.68 ,mcc scores: 0.37 ,roc-auc scores: 0.76 ,cohen scores: 0.36 
Threshold: -0.10 ,Senstivity: 0.72 ,Specificity: 0.69 ,Accuracy: 0.71 ,mcc scores: 0.41 ,roc-auc scores: 0.76 ,cohen scores: 0.41 
Threshold: 0.00 ,Senstivity: 0.59 ,Specificity: 0.76 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.76 ,cohen scores: 0.36 
Threshold: 0.10 ,Senstivity: 0.51 ,Specificity: 0.81 ,Accuracy: 0.67 ,mcc scores: 0.33 ,roc-auc scores: 0.76 ,cohen scores: 0.32 
Threshold: 0.20 ,Senstivity: 0.48 ,Specificity: 0.89 ,Accuracy: 0.70 ,mcc scores: 0.41 ,roc-auc scores: 0.76 ,cohen scores: 0.38 
Threshold: 0.30 ,Senstivity: 0.41 ,Specificity: 0.94 ,Accuracy: 0.69 ,mcc scores: 0.42 ,roc-auc scores: 0.76 ,cohen scores: 0.36 
Threshold: 0.40 ,Senstivity: 0.34 ,Specificity: 0.97 ,Accuracy: 0.67 ,mcc scores: 0.40 ,roc-auc scores: 0.76 ,cohen scores: 0.31 
Threshold: 0.50 ,Senstivity: 0.29 ,Specificity: 0.98 ,Accuracy: 0.65 ,mcc scores: 0.38 ,roc-auc scores: 0.76 ,cohen scores: 0.28 
