extra_trees_bin_nc5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.77,0.00
0.05,1.00,0.00,0.50,0.00,0.77,0.00
0.10,1.00,0.00,0.50,0.00,0.77,0.00
0.15,1.00,0.00,0.50,0.00,0.77,0.00
0.20,1.00,0.00,0.50,0.00,0.77,0.00
0.25,1.00,0.00,0.50,0.00,0.77,0.00
0.30,0.99,0.04,0.52,0.12,0.77,0.04
0.35,0.97,0.16,0.57,0.23,0.77,0.13
0.40,0.94,0.32,0.63,0.34,0.77,0.26
0.45,0.83,0.51,0.67,0.36,0.77,0.34
0.50,0.66,0.73,0.70,0.39,0.77,0.39
0.55,0.45,0.86,0.66,0.34,0.77,0.31
0.60,0.28,0.97,0.62,0.34,0.77,0.25
0.65,0.21,1.00,0.61,0.34,0.77,0.21
0.70,0.16,1.00,0.58,0.30,0.77,0.16
0.75,0.11,1.00,0.55,0.24,0.77,0.11
0.80,0.08,1.00,0.54,0.21,0.77,0.08
0.85,0.05,1.00,0.53,0.16,0.77,0.05
0.90,0.02,1.00,0.51,0.10,0.77,0.02
0.95,0.00,1.00,0.50,0.00,0.77,0.00

extra_trees_kfold_bin_nc5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.63,0.00
0.05,1.00,0.00,0.48,0.00,0.66,0.00
0.10,1.00,0.00,0.48,0.00,0.61,0.00
0.15,1.00,0.00,0.48,0.00,0.65,0.00
0.20,1.00,0.00,0.48,0.00,0.68,0.00
0.25,1.00,0.05,0.51,0.16,0.66,0.05
0.30,1.00,0.07,0.52,0.19,0.71,0.07
0.35,0.95,0.17,0.55,0.19,0.64,0.12
0.40,0.89,0.28,0.57,0.21,0.62,0.16
0.45,0.68,0.53,0.60,0.20,0.67,0.20
0.50,0.49,0.75,0.62,0.25,0.68,0.24
0.55,0.30,0.85,0.58,0.18,0.64,0.15
0.60,0.16,0.90,0.55,0.09,0.63,0.06
0.65,0.16,0.97,0.58,0.24,0.62,0.14
0.70,0.16,1.00,0.60,0.30,0.68,0.17
0.75,0.11,1.00,0.57,0.24,0.68,0.11
0.80,0.08,1.00,0.56,0.21,0.66,0.08
0.85,0.00,1.00,0.52,0.00,0.66,0.00
0.90,0.00,1.00,0.52,0.00,0.68,0.00
0.95,0.00,1.00,0.52,0.00,0.67,0.00

knn_bin_nc5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.72,0.00
0.05,0.98,0.13,0.56,0.23,0.72,0.12
0.10,0.98,0.13,0.56,0.23,0.72,0.12
0.15,0.98,0.13,0.56,0.23,0.72,0.12
0.20,0.98,0.13,0.56,0.23,0.72,0.12
0.25,0.92,0.27,0.59,0.24,0.72,0.19
0.30,0.92,0.27,0.59,0.24,0.72,0.19
0.35,0.92,0.27,0.59,0.24,0.72,0.19
0.40,0.92,0.27,0.59,0.24,0.72,0.19
0.45,0.82,0.51,0.67,0.35,0.72,0.33
0.50,0.82,0.51,0.67,0.35,0.72,0.33
0.55,0.82,0.51,0.67,0.35,0.72,0.33
0.60,0.64,0.69,0.66,0.33,0.72,0.33
0.65,0.64,0.69,0.66,0.33,0.72,0.33
0.70,0.64,0.69,0.66,0.33,0.72,0.33
0.75,0.64,0.69,0.66,0.33,0.72,0.33
0.80,0.64,0.69,0.66,0.33,0.72,0.33
0.85,0.48,0.84,0.66,0.35,0.72,0.32
0.90,0.48,0.84,0.66,0.35,0.72,0.32
0.95,0.48,0.84,0.66,0.35,0.72,0.32

knn_kfold_bin_nc5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.69,0.00
0.05,0.95,0.00,0.45,-0.17,0.69,-0.05
0.10,0.95,0.00,0.45,-0.17,0.69,-0.05
0.15,0.95,0.00,0.45,-0.17,0.69,-0.05
0.20,0.95,0.00,0.45,-0.17,0.69,-0.05
0.25,0.89,0.12,0.49,0.03,0.69,0.02
0.30,0.89,0.12,0.49,0.03,0.69,0.02
0.35,0.89,0.12,0.49,0.03,0.69,0.02
0.40,0.89,0.12,0.49,0.03,0.69,0.02
0.45,0.76,0.42,0.58,0.19,0.69,0.18
0.50,0.76,0.42,0.58,0.19,0.69,0.18
0.55,0.76,0.42,0.58,0.19,0.69,0.18
0.60,0.65,0.75,0.70,0.40,0.69,0.40
0.65,0.65,0.75,0.70,0.40,0.69,0.40
0.70,0.65,0.75,0.70,0.40,0.69,0.40
0.75,0.65,0.75,0.70,0.40,0.69,0.40
0.80,0.65,0.75,0.70,0.40,0.69,0.40
0.85,0.35,0.93,0.65,0.34,0.69,0.28
0.90,0.35,0.93,0.65,0.34,0.69,0.28
0.95,0.35,0.93,0.65,0.34,0.69,0.28

mlp_bin_nc5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.75,0.00
0.05,0.93,0.32,0.62,0.31,0.75,0.24
0.10,0.91,0.40,0.65,0.35,0.75,0.31
0.15,0.86,0.44,0.65,0.33,0.75,0.30
0.20,0.84,0.50,0.67,0.36,0.75,0.34
0.25,0.80,0.53,0.67,0.34,0.75,0.33
0.30,0.79,0.57,0.68,0.37,0.75,0.36
0.35,0.76,0.60,0.68,0.36,0.75,0.36
0.40,0.73,0.63,0.68,0.36,0.75,0.36
0.45,0.70,0.64,0.67,0.35,0.75,0.35
0.50,0.68,0.67,0.68,0.35,0.75,0.35
0.55,0.67,0.68,0.67,0.35,0.75,0.35
0.60,0.64,0.71,0.68,0.35,0.75,0.35
0.65,0.59,0.74,0.67,0.34,0.75,0.33
0.70,0.56,0.78,0.67,0.36,0.75,0.35
0.75,0.53,0.81,0.67,0.36,0.75,0.35
0.80,0.51,0.84,0.68,0.38,0.75,0.36
0.85,0.45,0.87,0.66,0.35,0.75,0.32
0.90,0.40,0.89,0.64,0.33,0.75,0.28
0.95,0.25,0.92,0.59,0.23,0.75,0.17

mlp_kfold_bin_nc5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.69,0.00
0.05,0.84,0.42,0.62,0.29,0.67,0.26
0.10,0.70,0.53,0.61,0.23,0.67,0.23
