Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.93 ,Specificity: 0.32 ,Accuracy: 0.62 ,mcc scores: 0.31 ,roc-auc scores: 0.75 ,cohen scores: 0.24 
Threshold: 0.10 ,Senstivity: 0.91 ,Specificity: 0.40 ,Accuracy: 0.65 ,mcc scores: 0.35 ,roc-auc scores: 0.75 ,cohen scores: 0.31 
Threshold: 0.15 ,Senstivity: 0.86 ,Specificity: 0.44 ,Accuracy: 0.65 ,mcc scores: 0.33 ,roc-auc scores: 0.75 ,cohen scores: 0.30 
Threshold: 0.20 ,Senstivity: 0.84 ,Specificity: 0.50 ,Accuracy: 0.67 ,mcc scores: 0.36 ,roc-auc scores: 0.75 ,cohen scores: 0.34 
Threshold: 0.25 ,Senstivity: 0.80 ,Specificity: 0.53 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.75 ,cohen scores: 0.33 
Threshold: 0.30 ,Senstivity: 0.79 ,Specificity: 0.57 ,Accuracy: 0.68 ,mcc scores: 0.37 ,roc-auc scores: 0.75 ,cohen scores: 0.36 
Threshold: 0.35 ,Senstivity: 0.76 ,Specificity: 0.60 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.75 ,cohen scores: 0.36 
Threshold: 0.40 ,Senstivity: 0.73 ,Specificity: 0.63 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.75 ,cohen scores: 0.36 
Threshold: 0.45 ,Senstivity: 0.70 ,Specificity: 0.64 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: 0.50 ,Senstivity: 0.68 ,Specificity: 0.67 ,Accuracy: 0.68 ,mcc scores: 0.35 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: 0.55 ,Senstivity: 0.67 ,Specificity: 0.68 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: 0.60 ,Senstivity: 0.64 ,Specificity: 0.71 ,Accuracy: 0.68 ,mcc scores: 0.35 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: 0.65 ,Senstivity: 0.59 ,Specificity: 0.74 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.75 ,cohen scores: 0.33 
Threshold: 0.70 ,Senstivity: 0.56 ,Specificity: 0.78 ,Accuracy: 0.67 ,mcc scores: 0.36 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: 0.75 ,Senstivity: 0.53 ,Specificity: 0.81 ,Accuracy: 0.67 ,mcc scores: 0.36 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: 0.80 ,Senstivity: 0.51 ,Specificity: 0.84 ,Accuracy: 0.68 ,mcc scores: 0.38 ,roc-auc scores: 0.75 ,cohen scores: 0.36 
Threshold: 0.85 ,Senstivity: 0.45 ,Specificity: 0.87 ,Accuracy: 0.66 ,mcc scores: 0.35 ,roc-auc scores: 0.75 ,cohen scores: 0.32 
Threshold: 0.90 ,Senstivity: 0.40 ,Specificity: 0.89 ,Accuracy: 0.64 ,mcc scores: 0.33 ,roc-auc scores: 0.75 ,cohen scores: 0.28 
Threshold: 0.95 ,Senstivity: 0.25 ,Specificity: 0.92 ,Accuracy: 0.59 ,mcc scores: 0.23 ,roc-auc scores: 0.75 ,cohen scores: 0.17 
