Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 0.99 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.05 ,roc-auc scores: 0.76 ,cohen scores: 0.01 
Threshold: 0.15 ,Senstivity: 0.99 ,Specificity: 0.05 ,Accuracy: 0.52 ,mcc scores: 0.14 ,roc-auc scores: 0.76 ,cohen scores: 0.05 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.11 ,Accuracy: 0.55 ,mcc scores: 0.21 ,roc-auc scores: 0.76 ,cohen scores: 0.10 
Threshold: 0.25 ,Senstivity: 0.98 ,Specificity: 0.16 ,Accuracy: 0.57 ,mcc scores: 0.24 ,roc-auc scores: 0.76 ,cohen scores: 0.13 
Threshold: 0.30 ,Senstivity: 0.93 ,Specificity: 0.22 ,Accuracy: 0.58 ,mcc scores: 0.22 ,roc-auc scores: 0.76 ,cohen scores: 0.16 
Threshold: 0.35 ,Senstivity: 0.91 ,Specificity: 0.33 ,Accuracy: 0.62 ,mcc scores: 0.29 ,roc-auc scores: 0.76 ,cohen scores: 0.24 
Threshold: 0.40 ,Senstivity: 0.87 ,Specificity: 0.45 ,Accuracy: 0.66 ,mcc scores: 0.35 ,roc-auc scores: 0.76 ,cohen scores: 0.32 
Threshold: 0.45 ,Senstivity: 0.78 ,Specificity: 0.55 ,Accuracy: 0.66 ,mcc scores: 0.34 ,roc-auc scores: 0.76 ,cohen scores: 0.33 
Threshold: 0.50 ,Senstivity: 0.67 ,Specificity: 0.70 ,Accuracy: 0.69 ,mcc scores: 0.37 ,roc-auc scores: 0.76 ,cohen scores: 0.37 
Threshold: 0.55 ,Senstivity: 0.57 ,Specificity: 0.82 ,Accuracy: 0.69 ,mcc scores: 0.40 ,roc-auc scores: 0.76 ,cohen scores: 0.39 
Threshold: 0.60 ,Senstivity: 0.48 ,Specificity: 0.91 ,Accuracy: 0.69 ,mcc scores: 0.42 ,roc-auc scores: 0.76 ,cohen scores: 0.38 
Threshold: 0.65 ,Senstivity: 0.37 ,Specificity: 0.94 ,Accuracy: 0.65 ,mcc scores: 0.37 ,roc-auc scores: 0.76 ,cohen scores: 0.31 
Threshold: 0.70 ,Senstivity: 0.26 ,Specificity: 0.96 ,Accuracy: 0.61 ,mcc scores: 0.31 ,roc-auc scores: 0.76 ,cohen scores: 0.22 
Threshold: 0.75 ,Senstivity: 0.21 ,Specificity: 0.98 ,Accuracy: 0.60 ,mcc scores: 0.30 ,roc-auc scores: 0.76 ,cohen scores: 0.19 
Threshold: 0.80 ,Senstivity: 0.20 ,Specificity: 0.99 ,Accuracy: 0.59 ,mcc scores: 0.31 ,roc-auc scores: 0.76 ,cohen scores: 0.19 
Threshold: 0.85 ,Senstivity: 0.16 ,Specificity: 0.99 ,Accuracy: 0.58 ,mcc scores: 0.28 ,roc-auc scores: 0.76 ,cohen scores: 0.16 
Threshold: 0.90 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.27 ,roc-auc scores: 0.76 ,cohen scores: 0.14 
Threshold: 0.95 ,Senstivity: 0.10 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.23 ,roc-auc scores: 0.76 ,cohen scores: 0.10 
