extra_trees_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.74,0.00
0.05,1.00,0.00,0.50,0.00,0.74,0.00
0.10,1.00,0.00,0.50,0.00,0.74,0.00
0.15,1.00,0.00,0.50,0.00,0.74,0.00
0.20,0.99,0.02,0.50,0.05,0.74,0.01
0.25,0.99,0.05,0.52,0.11,0.74,0.04
0.30,0.95,0.11,0.53,0.12,0.74,0.06
0.35,0.90,0.25,0.58,0.20,0.74,0.15
0.40,0.83,0.41,0.62,0.26,0.74,0.24
0.45,0.75,0.59,0.67,0.34,0.74,0.34
0.50,0.62,0.74,0.68,0.36,0.74,0.35
0.55,0.50,0.87,0.69,0.40,0.74,0.37
0.60,0.37,0.95,0.66,0.39,0.74,0.32
0.65,0.31,0.99,0.65,0.42,0.74,0.31
0.70,0.25,1.00,0.63,0.38,0.74,0.25
0.75,0.21,1.00,0.61,0.35,0.74,0.21
0.80,0.18,1.00,0.59,0.31,0.74,0.18
0.85,0.13,1.00,0.57,0.26,0.74,0.13
0.90,0.08,1.00,0.54,0.21,0.74,0.08
0.95,0.03,1.00,0.52,0.13,0.74,0.03

extra_trees_kfold_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.69,0.00
0.05,1.00,0.00,0.48,0.00,0.71,0.00
0.10,1.00,0.00,0.48,0.00,0.68,0.00
0.15,1.00,0.00,0.48,0.00,0.70,0.00
0.20,1.00,0.03,0.49,0.11,0.69,0.02
0.25,1.00,0.00,0.48,0.00,0.64,0.00
0.30,1.00,0.15,0.56,0.28,0.66,0.15
0.35,0.89,0.17,0.52,0.10,0.69,0.06
0.40,0.78,0.45,0.61,0.25,0.69,0.23
0.45,0.68,0.47,0.57,0.15,0.67,0.15
0.50,0.57,0.70,0.64,0.27,0.71,0.27
0.55,0.41,0.75,0.58,0.17,0.70,0.16
0.60,0.32,0.88,0.61,0.24,0.64,0.20
0.65,0.27,0.97,0.64,0.35,0.72,0.25
0.70,0.19,1.00,0.61,0.33,0.71,0.20
0.75,0.11,1.00,0.57,0.24,0.73,0.11
0.80,0.16,1.00,0.60,0.30,0.69,0.17
0.85,0.11,1.00,0.57,0.24,0.70,0.11
0.90,0.00,1.00,0.52,0.00,0.71,0.00
0.95,0.00,1.00,0.52,0.00,0.68,0.00

knn_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.75,0.00
0.05,0.89,0.29,0.59,0.23,0.75,0.18
0.10,0.89,0.29,0.59,0.23,0.75,0.18
0.15,0.89,0.29,0.59,0.23,0.75,0.18
0.20,0.89,0.29,0.59,0.23,0.75,0.18
0.25,0.75,0.58,0.66,0.33,0.75,0.33
0.30,0.75,0.58,0.66,0.33,0.75,0.33
0.35,0.75,0.58,0.66,0.33,0.75,0.33
0.40,0.75,0.58,0.66,0.33,0.75,0.33
0.45,0.60,0.79,0.70,0.40,0.75,0.39
0.50,0.60,0.79,0.70,0.40,0.75,0.39
0.55,0.60,0.79,0.70,0.40,0.75,0.39
0.60,0.44,0.91,0.67,0.40,0.75,0.35
0.65,0.44,0.91,0.67,0.40,0.75,0.35
0.70,0.44,0.91,0.67,0.40,0.75,0.35
0.75,0.44,0.91,0.67,0.40,0.75,0.35
0.80,0.44,0.91,0.67,0.40,0.75,0.35
0.85,0.35,0.99,0.67,0.45,0.75,0.34
0.90,0.35,0.99,0.67,0.45,0.75,0.34
0.95,0.35,0.99,0.67,0.45,0.75,0.34

knn_kfold_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.69,0.00
0.05,0.97,0.05,0.49,0.06,0.69,0.02
0.10,0.97,0.05,0.49,0.06,0.69,0.02
0.15,0.97,0.05,0.49,0.06,0.69,0.02
0.20,0.97,0.05,0.49,0.06,0.69,0.02
0.25,0.78,0.45,0.61,0.25,0.69,0.23
0.30,0.78,0.45,0.61,0.25,0.69,0.23
0.35,0.78,0.45,0.61,0.25,0.69,0.23
0.40,0.78,0.45,0.61,0.25,0.69,0.23
0.45,0.59,0.72,0.66,0.32,0.69,0.32
0.50,0.59,0.72,0.66,0.32,0.69,0.32
0.55,0.59,0.72,0.66,0.32,0.69,0.32
0.60,0.35,0.90,0.64,0.30,0.69,0.26
0.65,0.35,0.90,0.64,0.30,0.69,0.26
0.70,0.35,0.90,0.64,0.30,0.69,0.26
0.75,0.35,0.90,0.64,0.30,0.69,0.26
0.80,0.35,0.90,0.64,0.30,0.69,0.26
0.85,0.16,0.97,0.58,0.24,0.69,0.14
0.90,0.16,0.97,0.58,0.24,0.69,0.14
0.95,0.16,0.97,0.58,0.24,0.69,0.14

mlp_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.74,0.00
0.05,1.00,0.01,0.50,0.05,0.74,0.01
0.10,0.97,0.12,0.55,0.18,0.74,0.09
0.15,0.93,0.22,0.57,0.21,0.74,0.15
0.20,0.88,0.30,0.59,0.22,0.74,0.18
0.25,0.84,0.40,0.62,0.27,0.74,0.24
0.30,0.79,0.46,0.63,0.27,0.74,0.26
0.35,0.75,0.54,0.65,0.30,0.74,0.29
0.40,0.70,0.58,0.64,0.28,0.74,0.28
0.45,0.66,0.64,0.65,0.30,0.74,0.30
0.50,0.63,0.72,0.68,0.36,0.74,0.35
0.55,0.60,0.74,0.67,0.34,0.74,0.33
0.60,0.58,0.78,0.68,0.37,0.74,0.36
0.65,0.52,0.81,0.67,0.35,0.74,0.33
0.70,0.49,0.84,0.66,0.35,0.74,0.33
0.75,0.45,0.88,0.66,0.36,0.74,0.33
0.80,0.40,0.91,0.66,0.36,0.74,0.31
0.85,0.38,0.95,0.67,0.41,0.74,0.34
0.90,0.33,0.97,0.65,0.40,0.74,0.31
0.95,0.19,1.00,0.60,0.33,0.74,0.19

mlp_kfold_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.66,0.00
0.05,1.00,0.00,0.48,0.00,0.67,0.00
0.10,1.00,0.00,0.48,0.00,0.71,0.00
0.15,0.97,0.12,0.53,0.18,0.65,0.09
0.20,1.00,0.00,0.48,0.00,0.60,0.00
0.25,0.92,0.25,0.57,0.23,0.75,0.16
0.30,0.81,0.25,0.52,0.07,0.63,0.06
0.35,0.89,0.45,0.66,0.38,0.70,0.34
0.40,0.68,0.53,0.60,0.20,0.68,0.20
0.45,0.68,0.68,0.68,0.35,0.69,0.35
0.50,0.68,0.60,0.64,0.28,0.71,0.27
0.55,0.62,0.68,0.65,0.30,0.67,0.30
0.60,0.51,0.82,0.68,0.36,0.70,0.34
0.65,0.38,0.80,0.60,0.20,0.62,0.18
0.70,0.38,0.90,0.65,0.33,0.68,0.28
0.75,0.22,0.93,0.58,0.20,0.69,0.15
0.80,0.14,0.85,0.51,-0.02,0.64,-0.02
0.85,0.03,1.00,0.53,0.12,0.58,0.03
0.90,0.00,1.00,0.52,0.00,0.67,0.00
0.95,0.00,1.00,0.52,0.00,0.63,0.00

rf_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.74,0.00
0.05,1.00,0.00,0.50,0.00,0.74,0.00
0.10,0.99,0.02,0.50,0.05,0.74,0.01
0.15,0.99,0.03,0.51,0.06,0.74,0.02
0.20,0.98,0.07,0.52,0.13,0.74,0.05
0.25,0.95,0.14,0.55,0.17,0.74,0.10
0.30,0.91,0.22,0.56,0.18,0.74,0.13
0.35,0.85,0.31,0.58,0.19,0.74,0.16
0.40,0.80,0.46,0.63,0.28,0.74,0.27
0.45,0.73,0.58,0.66,0.32,0.74,0.31
0.50,0.63,0.71,0.67,0.34,0.74,0.34
0.55,0.53,0.80,0.67,0.35,0.74,0.34
0.60,0.47,0.88,0.68,0.39,0.74,0.35
0.65,0.39,0.93,0.66,0.38,0.74,0.32
0.70,0.33,0.96,0.65,0.38,0.74,0.30
0.75,0.26,0.98,0.62,0.34,0.74,0.24
0.80,0.22,0.99,0.61,0.34,0.74,0.22
0.85,0.17,1.00,0.59,0.31,0.74,0.17
0.90,0.16,1.00,0.58,0.29,0.74,0.16
0.95,0.07,1.00,0.53,0.19,0.74,0.07

rf_kfold_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.63,0.00
0.05,1.00,0.00,0.48,0.00,0.68,0.00
0.10,1.00,0.00,0.48,0.00,0.73,0.00
0.15,1.00,0.03,0.49,0.11,0.70,0.02
0.20,1.00,0.07,0.52,0.19,0.68,0.07
0.25,0.89,0.12,0.49,0.03,0.67,0.02
0.30,0.89,0.25,0.56,0.18,0.71,0.14
0.35,0.78,0.30,0.53,0.10,0.69,0.08
0.40,0.81,0.45,0.62,0.28,0.72,0.26
0.45,0.65,0.50,0.57,0.15,0.62,0.15
0.50,0.57,0.68,0.62,0.24,0.68,0.24
0.55,0.49,0.78,0.64,0.27,0.72,0.26
0.60,0.41,0.80,0.61,0.22,0.67,0.21
0.65,0.32,0.82,0.58,0.17,0.66,0.15
0.70,0.27,0.95,0.62,0.30,0.71,0.23
0.75,0.24,1.00,0.64,0.38,0.71,0.25
0.80,0.16,1.00,0.60,0.30,0.63,0.17
0.85,0.05,1.00,0.55,0.17,0.65,0.06
0.90,0.11,1.00,0.57,0.24,0.66,0.11
0.95,0.00,1.00,0.52,0.00,0.65,0.00

ridge_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.01,0.50,0.05,0.73,0.01
-2.90,1.00,0.01,0.50,0.05,0.73,0.01
-2.80,1.00,0.01,0.50,0.05,0.73,0.01
-2.70,1.00,0.01,0.50,0.07,0.73,0.01
-2.60,1.00,0.01,0.50,0.07,0.73,0.01
-2.50,1.00,0.01,0.50,0.07,0.73,0.01
-2.40,1.00,0.01,0.50,0.07,0.73,0.01
-2.30,1.00,0.01,0.50,0.07,0.73,0.01
-2.20,1.00,0.02,0.51,0.09,0.73,0.02
-2.10,1.00,0.02,0.51,0.10,0.73,0.02
-2.00,0.99,0.02,0.51,0.07,0.73,0.02
-1.90,0.99,0.02,0.51,0.07,0.73,0.02
-1.80,0.99,0.04,0.51,0.11,0.73,0.03
-1.70,0.99,0.05,0.52,0.14,0.73,0.05
-1.60,0.99,0.07,0.53,0.17,0.73,0.07
-1.50,0.99,0.07,0.53,0.16,0.73,0.06
-1.40,0.99,0.09,0.54,0.19,0.73,0.08
-1.30,0.98,0.09,0.54,0.17,0.73,0.08
-1.20,0.98,0.11,0.54,0.18,0.73,0.09
-1.10,0.97,0.13,0.55,0.19,0.73,0.10
-1.00,0.96,0.16,0.56,0.21,0.73,0.13
-0.90,0.95,0.19,0.57,0.22,0.73,0.14
-0.80,0.94,0.21,0.57,0.21,0.73,0.14
-0.70,0.91,0.29,0.60,0.25,0.73,0.20
-0.60,0.89,0.36,0.62,0.28,0.73,0.24
-0.50,0.87,0.42,0.65,0.33,0.73,0.29
-0.40,0.83,0.47,0.65,0.32,0.73,0.30
-0.30,0.76,0.50,0.63,0.27,0.73,0.26
-0.20,0.70,0.57,0.64,0.27,0.73,0.27
-0.10,0.65,0.61,0.63,0.27,0.73,0.27
0.00,0.62,0.70,0.66,0.32,0.73,0.32
0.10,0.58,0.73,0.66,0.32,0.73,0.31
0.20,0.53,0.78,0.66,0.32,0.73,0.31
0.30,0.49,0.84,0.66,0.34,0.73,0.32
0.40,0.47,0.90,0.68,0.40,0.73,0.36
0.50,0.40,0.93,0.67,0.39,0.73,0.33
0.60,0.37,0.95,0.66,0.39,0.73,0.32
0.70,0.32,0.96,0.64,0.37,0.73,0.29
0.80,0.25,0.98,0.62,0.34,0.73,0.23
0.90,0.20,0.99,0.59,0.31,0.73,0.19
1.00,0.16,0.99,0.58,0.27,0.73,0.15
1.10,0.12,0.99,0.56,0.23,0.73,0.11
1.20,0.09,0.99,0.54,0.20,0.73,0.08
1.30,0.06,0.99,0.53,0.15,0.73,0.05
1.40,0.04,0.99,0.52,0.11,0.73,0.03
1.50,0.03,0.99,0.51,0.08,0.73,0.02
1.60,0.02,0.99,0.51,0.05,0.73,0.01
1.70,0.02,0.99,0.51,0.05,0.73,0.01
1.80,0.02,1.00,0.51,0.09,0.73,0.02
1.90,0.02,1.00,0.51,0.09,0.73,0.02
2.00,0.02,1.00,0.51,0.09,0.73,0.02
2.10,0.02,1.00,0.51,0.09,0.73,0.02
2.20,0.00,1.00,0.50,0.00,0.73,0.00
2.30,0.00,1.00,0.50,0.00,0.73,0.00
2.40,0.00,1.00,0.50,0.00,0.73,0.00
2.50,0.00,1.00,0.50,0.00,0.73,0.00
2.60,0.00,1.00,0.50,0.00,0.73,0.00
2.70,0.00,1.00,0.50,0.00,0.73,0.00
2.80,0.00,1.00,0.50,0.00,0.73,0.00
2.90,0.00,1.00,0.50,0.00,0.73,0.00

ridge_kfold_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,0.97,0.00,0.47,-0.12,0.66,-0.03
-2.90,0.97,0.00,0.47,-0.12,0.66,-0.03
-2.80,0.97,0.03,0.48,-0.01,0.66,-0.00
-2.70,0.97,0.03,0.48,-0.01,0.66,-0.00
-2.60,0.97,0.03,0.48,-0.01,0.66,-0.00
-2.50,0.97,0.03,0.48,-0.01,0.66,-0.00
-2.40,0.97,0.03,0.48,-0.01,0.66,-0.00
-2.30,0.97,0.03,0.48,-0.01,0.66,-0.00
-2.20,0.97,0.05,0.49,0.06,0.66,0.02
-2.10,0.97,0.05,0.49,0.06,0.66,0.02
-2.00,0.97,0.07,0.51,0.11,0.66,0.05
-1.90,0.97,0.07,0.51,0.11,0.66,0.05
-1.80,0.97,0.10,0.52,0.15,0.66,0.07
-1.70,0.97,0.10,0.52,0.15,0.66,0.07
-1.60,0.95,0.10,0.51,0.09,0.66,0.04
-1.50,0.95,0.17,0.55,0.19,0.66,0.12
-1.40,0.92,0.17,0.53,0.14,0.66,0.09
-1.30,0.89,0.17,0.52,0.10,0.66,0.06
-1.20,0.89,0.17,0.52,0.10,0.66,0.06
-1.10,0.89,0.23,0.55,0.16,0.66,0.11
-1.00,0.89,0.28,0.57,0.21,0.66,0.16
-0.90,0.89,0.30,0.58,0.24,0.66,0.19
-0.80,0.86,0.38,0.61,0.27,0.66,0.24
-0.70,0.84,0.40,0.61,0.26,0.66,0.23
-0.60,0.81,0.47,0.64,0.30,0.66,0.28
-0.50,0.78,0.50,0.64,0.29,0.66,0.28
-0.40,0.76,0.50,0.62,0.26,0.66,0.25
-0.30,0.76,0.50,0.62,0.26,0.66,0.25
-0.20,0.76,0.65,0.70,0.41,0.66,0.40
-0.10,0.76,0.65,0.70,0.41,0.66,0.40
0.00,0.76,0.65,0.70,0.41,0.66,0.40
0.10,0.73,0.65,0.69,0.38,0.66,0.38
0.20,0.70,0.65,0.68,0.35,0.66,0.35
0.30,0.62,0.68,0.65,0.30,0.66,0.30
0.40,0.59,0.72,0.66,0.32,0.66,0.32
0.50,0.59,0.75,0.68,0.35,0.66,0.35
0.60,0.51,0.75,0.64,0.27,0.66,0.27
0.70,0.51,0.75,0.64,0.27,0.66,0.27
0.80,0.49,0.75,0.62,0.25,0.66,0.24
0.90,0.38,0.78,0.58,0.17,0.66,0.16
1.00,0.30,0.80,0.56,0.11,0.66,0.10
1.10,0.22,0.82,0.53,0.05,0.66,0.04
1.20,0.14,0.82,0.49,-0.05,0.66,-0.04
1.30,0.11,0.88,0.51,-0.03,0.66,-0.02
1.40,0.05,0.93,0.51,-0.04,0.66,-0.02
1.50,0.05,0.93,0.51,-0.04,0.66,-0.02
1.60,0.05,0.93,0.51,-0.04,0.66,-0.02
1.70,0.05,0.93,0.51,-0.04,0.66,-0.02
1.80,0.05,0.95,0.52,0.01,0.66,0.00
1.90,0.05,0.95,0.52,0.01,0.66,0.00
2.00,0.05,0.95,0.52,0.01,0.66,0.00
2.10,0.05,0.95,0.52,0.01,0.66,0.00
2.20,0.03,0.95,0.51,-0.06,0.66,-0.02
2.30,0.00,0.95,0.49,-0.16,0.66,-0.05
2.40,0.00,0.95,0.49,-0.16,0.66,-0.05
2.50,0.00,0.95,0.49,-0.16,0.66,-0.05
2.60,0.00,0.95,0.49,-0.16,0.66,-0.05
2.70,0.00,0.95,0.49,-0.16,0.66,-0.05
2.80,0.00,0.95,0.49,-0.16,0.66,-0.05
2.90,0.00,0.95,0.49,-0.16,0.66,-0.05

svm_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.50,0.00,0.74,0.00
-2.90,1.00,0.00,0.50,0.00,0.74,0.00
-2.80,1.00,0.00,0.50,0.00,0.74,0.00
-2.70,1.00,0.00,0.50,0.00,0.74,0.00
-2.60,1.00,0.00,0.50,0.00,0.74,0.00
-2.50,1.00,0.00,0.50,0.00,0.74,0.00
-2.40,1.00,0.00,0.50,0.00,0.74,0.00
-2.30,1.00,0.00,0.50,0.00,0.74,0.00
-2.20,1.00,0.00,0.50,0.00,0.74,0.00
-2.10,1.00,0.00,0.50,0.00,0.74,0.00
-2.00,1.00,0.00,0.50,0.00,0.74,0.00
-1.90,1.00,0.00,0.50,0.00,0.74,0.00
-1.80,1.00,0.00,0.50,0.00,0.74,0.00
-1.70,1.00,0.00,0.50,0.00,0.74,0.00
-1.60,0.99,0.01,0.50,-0.00,0.74,-0.00
-1.50,0.99,0.02,0.51,0.07,0.74,0.02
-1.40,0.99,0.03,0.51,0.07,0.74,0.02
-1.30,0.98,0.07,0.53,0.14,0.74,0.06
-1.20,0.98,0.10,0.54,0.16,0.74,0.08
-1.10,0.95,0.16,0.56,0.19,0.74,0.12
-1.00,0.91,0.19,0.55,0.14,0.74,0.10
-0.90,0.88,0.27,0.57,0.19,0.74,0.15
-0.80,0.84,0.32,0.58,0.19,0.74,0.16
-0.70,0.82,0.40,0.61,0.24,0.74,0.22
-0.60,0.79,0.46,0.62,0.26,0.74,0.25
-0.50,0.77,0.53,0.65,0.31,0.74,0.30
-0.40,0.75,0.59,0.67,0.34,0.74,0.34
-0.30,0.72,0.65,0.68,0.37,0.74,0.36
-0.20,0.68,0.71,0.70,0.40,0.74,0.40
-0.10,0.65,0.73,0.69,0.38,0.74,0.38
0.00,0.62,0.76,0.69,0.39,0.74,0.38
0.10,0.60,0.78,0.69,0.39,0.74,0.38
0.20,0.57,0.82,0.70,0.41,0.74,0.39
0.30,0.56,0.84,0.70,0.42,0.74,0.40
0.40,0.51,0.87,0.69,0.40,0.74,0.37
0.50,0.45,0.89,0.67,0.38,0.74,0.34
0.60,0.43,0.90,0.67,0.38,0.74,0.33
0.70,0.38,0.94,0.66,0.39,0.74,0.32
0.80,0.35,0.96,0.66,0.40,0.74,0.31
0.90,0.30,0.96,0.63,0.35,0.74,0.26
1.00,0.24,0.99,0.62,0.36,0.74,0.23
1.10,0.17,0.99,0.58,0.29,0.74,0.16
1.20,0.08,1.00,0.54,0.20,0.74,0.08
1.30,0.04,1.00,0.52,0.14,0.74,0.04
1.40,0.02,1.00,0.51,0.09,0.74,0.02
1.50,0.01,1.00,0.50,0.05,0.74,0.01
1.60,0.00,1.00,0.50,0.00,0.74,0.00
1.70,0.00,1.00,0.50,0.00,0.74,0.00
1.80,0.00,1.00,0.50,0.00,0.74,0.00
1.90,0.00,1.00,0.50,0.00,0.74,0.00
2.00,0.00,1.00,0.50,0.00,0.74,0.00
2.10,0.00,1.00,0.50,0.00,0.74,0.00
2.20,0.00,1.00,0.50,0.00,0.74,0.00
2.30,0.00,1.00,0.50,0.00,0.74,0.00
2.40,0.00,1.00,0.50,0.00,0.74,0.00
2.50,0.00,1.00,0.50,0.00,0.74,0.00
2.60,0.00,1.00,0.50,0.00,0.74,0.00
2.70,0.00,1.00,0.50,0.00,0.74,0.00
2.80,0.00,1.00,0.50,0.00,0.74,0.00
2.90,0.00,1.00,0.50,0.00,0.74,0.00

svm_kfold_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.48,0.00,0.68,0.00
-2.90,1.00,0.00,0.48,0.00,0.68,0.00
-2.80,1.00,0.00,0.48,0.00,0.68,0.00
-2.70,1.00,0.00,0.48,0.00,0.68,0.00
-2.60,1.00,0.00,0.48,0.00,0.68,0.00
-2.50,1.00,0.00,0.48,0.00,0.68,0.00
-2.40,1.00,0.00,0.48,0.00,0.68,0.00
-2.30,1.00,0.00,0.48,0.00,0.68,0.00
-2.20,1.00,0.00,0.48,0.00,0.68,0.00
-2.10,1.00,0.00,0.48,0.00,0.68,0.00
-2.00,1.00,0.00,0.48,0.00,0.68,0.00
-1.90,1.00,0.00,0.48,0.00,0.68,0.00
-1.80,1.00,0.00,0.48,0.00,0.68,0.00
-1.70,1.00,0.00,0.48,0.00,0.68,0.00
-1.60,1.00,0.00,0.48,0.00,0.68,0.00
-1.50,1.00,0.00,0.48,0.00,0.68,0.00
-1.40,1.00,0.00,0.48,0.00,0.68,0.00
-1.30,1.00,0.00,0.48,0.00,0.68,0.00
-1.20,1.00,0.00,0.48,0.00,0.68,0.00
-1.10,0.97,0.05,0.49,0.06,0.68,0.02
-1.00,0.97,0.10,0.52,0.15,0.68,0.07
-0.90,0.95,0.17,0.55,0.19,0.68,0.12
-0.80,0.86,0.28,0.56,0.17,0.68,0.14
-0.70,0.84,0.40,0.61,0.26,0.68,0.23
-0.60,0.78,0.42,0.60,0.22,0.68,0.21
-0.50,0.73,0.47,0.60,0.21,0.68,0.20
-0.40,0.70,0.55,0.62,0.26,0.68,0.25
-0.30,0.54,0.60,0.57,0.14,0.68,0.14
-0.20,0.54,0.65,0.60,0.19,0.68,0.19
-0.10,0.49,0.68,0.58,0.16,0.68,0.16
0.00,0.49,0.70,0.60,0.19,0.68,0.19
0.10,0.49,0.75,0.62,0.25,0.68,0.24
