Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 0.99 ,Specificity: 0.02 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.74 ,cohen scores: 0.01 
Threshold: 0.15 ,Senstivity: 0.99 ,Specificity: 0.03 ,Accuracy: 0.51 ,mcc scores: 0.06 ,roc-auc scores: 0.74 ,cohen scores: 0.02 
Threshold: 0.20 ,Senstivity: 0.98 ,Specificity: 0.07 ,Accuracy: 0.52 ,mcc scores: 0.13 ,roc-auc scores: 0.74 ,cohen scores: 0.05 
Threshold: 0.25 ,Senstivity: 0.95 ,Specificity: 0.14 ,Accuracy: 0.55 ,mcc scores: 0.17 ,roc-auc scores: 0.74 ,cohen scores: 0.10 
Threshold: 0.30 ,Senstivity: 0.91 ,Specificity: 0.22 ,Accuracy: 0.56 ,mcc scores: 0.18 ,roc-auc scores: 0.74 ,cohen scores: 0.13 
Threshold: 0.35 ,Senstivity: 0.85 ,Specificity: 0.31 ,Accuracy: 0.58 ,mcc scores: 0.19 ,roc-auc scores: 0.74 ,cohen scores: 0.16 
Threshold: 0.40 ,Senstivity: 0.80 ,Specificity: 0.46 ,Accuracy: 0.63 ,mcc scores: 0.28 ,roc-auc scores: 0.74 ,cohen scores: 0.27 
Threshold: 0.45 ,Senstivity: 0.73 ,Specificity: 0.58 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.74 ,cohen scores: 0.31 
Threshold: 0.50 ,Senstivity: 0.63 ,Specificity: 0.71 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.74 ,cohen scores: 0.34 
Threshold: 0.55 ,Senstivity: 0.53 ,Specificity: 0.80 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.74 ,cohen scores: 0.34 
Threshold: 0.60 ,Senstivity: 0.47 ,Specificity: 0.88 ,Accuracy: 0.68 ,mcc scores: 0.39 ,roc-auc scores: 0.74 ,cohen scores: 0.35 
Threshold: 0.65 ,Senstivity: 0.39 ,Specificity: 0.93 ,Accuracy: 0.66 ,mcc scores: 0.38 ,roc-auc scores: 0.74 ,cohen scores: 0.32 
Threshold: 0.70 ,Senstivity: 0.33 ,Specificity: 0.96 ,Accuracy: 0.65 ,mcc scores: 0.38 ,roc-auc scores: 0.74 ,cohen scores: 0.30 
Threshold: 0.75 ,Senstivity: 0.26 ,Specificity: 0.98 ,Accuracy: 0.62 ,mcc scores: 0.34 ,roc-auc scores: 0.74 ,cohen scores: 0.24 
Threshold: 0.80 ,Senstivity: 0.22 ,Specificity: 0.99 ,Accuracy: 0.61 ,mcc scores: 0.34 ,roc-auc scores: 0.74 ,cohen scores: 0.22 
Threshold: 0.85 ,Senstivity: 0.17 ,Specificity: 1.00 ,Accuracy: 0.59 ,mcc scores: 0.31 ,roc-auc scores: 0.74 ,cohen scores: 0.17 
Threshold: 0.90 ,Senstivity: 0.16 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.29 ,roc-auc scores: 0.74 ,cohen scores: 0.16 
Threshold: 0.95 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.19 ,roc-auc scores: 0.74 ,cohen scores: 0.07 
