Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.00 ,Senstivity: 0.95 ,Specificity: 0.09 ,Accuracy: 0.52 ,mcc scores: 0.09 ,roc-auc scores: 0.73 ,cohen scores: 0.05 
Threshold: -0.90 ,Senstivity: 0.89 ,Specificity: 0.24 ,Accuracy: 0.56 ,mcc scores: 0.17 ,roc-auc scores: 0.73 ,cohen scores: 0.13 
Threshold: -0.80 ,Senstivity: 0.89 ,Specificity: 0.24 ,Accuracy: 0.57 ,mcc scores: 0.18 ,roc-auc scores: 0.73 ,cohen scores: 0.13 
Threshold: -0.70 ,Senstivity: 0.89 ,Specificity: 0.26 ,Accuracy: 0.58 ,mcc scores: 0.19 ,roc-auc scores: 0.73 ,cohen scores: 0.15 
Threshold: -0.60 ,Senstivity: 0.89 ,Specificity: 0.28 ,Accuracy: 0.59 ,mcc scores: 0.22 ,roc-auc scores: 0.73 ,cohen scores: 0.17 
Threshold: -0.50 ,Senstivity: 0.89 ,Specificity: 0.30 ,Accuracy: 0.59 ,mcc scores: 0.22 ,roc-auc scores: 0.73 ,cohen scores: 0.18 
Threshold: -0.40 ,Senstivity: 0.87 ,Specificity: 0.35 ,Accuracy: 0.61 ,mcc scores: 0.26 ,roc-auc scores: 0.73 ,cohen scores: 0.22 
Threshold: -0.30 ,Senstivity: 0.85 ,Specificity: 0.42 ,Accuracy: 0.64 ,mcc scores: 0.31 ,roc-auc scores: 0.73 ,cohen scores: 0.28 
Threshold: -0.20 ,Senstivity: 0.80 ,Specificity: 0.55 ,Accuracy: 0.67 ,mcc scores: 0.36 ,roc-auc scores: 0.73 ,cohen scores: 0.35 
Threshold: -0.10 ,Senstivity: 0.69 ,Specificity: 0.67 ,Accuracy: 0.68 ,mcc scores: 0.37 ,roc-auc scores: 0.73 ,cohen scores: 0.37 
Threshold: 0.00 ,Senstivity: 0.64 ,Specificity: 0.75 ,Accuracy: 0.70 ,mcc scores: 0.40 ,roc-auc scores: 0.73 ,cohen scores: 0.39 
Threshold: 0.10 ,Senstivity: 0.60 ,Specificity: 0.79 ,Accuracy: 0.70 ,mcc scores: 0.40 ,roc-auc scores: 0.73 ,cohen scores: 0.39 
Threshold: 0.20 ,Senstivity: 0.56 ,Specificity: 0.82 ,Accuracy: 0.69 ,mcc scores: 0.39 ,roc-auc scores: 0.73 ,cohen scores: 0.38 
Threshold: 0.30 ,Senstivity: 0.54 ,Specificity: 0.83 ,Accuracy: 0.69 ,mcc scores: 0.40 ,roc-auc scores: 0.73 ,cohen scores: 0.38 
