Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 0.99 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.05 ,roc-auc scores: 0.71 ,cohen scores: 0.01 
Threshold: -1.20 ,Senstivity: 0.98 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -1.10 ,Senstivity: 0.97 ,Specificity: 0.06 ,Accuracy: 0.52 ,mcc scores: 0.08 ,roc-auc scores: 0.71 ,cohen scores: 0.03 
Threshold: -1.00 ,Senstivity: 0.94 ,Specificity: 0.10 ,Accuracy: 0.53 ,mcc scores: 0.08 ,roc-auc scores: 0.71 ,cohen scores: 0.05 
Threshold: -0.90 ,Senstivity: 0.89 ,Specificity: 0.18 ,Accuracy: 0.54 ,mcc scores: 0.11 ,roc-auc scores: 0.71 ,cohen scores: 0.08 
Threshold: -0.80 ,Senstivity: 0.88 ,Specificity: 0.26 ,Accuracy: 0.57 ,mcc scores: 0.18 ,roc-auc scores: 0.71 ,cohen scores: 0.14 
Threshold: -0.70 ,Senstivity: 0.84 ,Specificity: 0.35 ,Accuracy: 0.60 ,mcc scores: 0.22 ,roc-auc scores: 0.71 ,cohen scores: 0.19 
Threshold: -0.60 ,Senstivity: 0.79 ,Specificity: 0.44 ,Accuracy: 0.62 ,mcc scores: 0.25 ,roc-auc scores: 0.71 ,cohen scores: 0.23 
Threshold: -0.50 ,Senstivity: 0.77 ,Specificity: 0.49 ,Accuracy: 0.63 ,mcc scores: 0.28 ,roc-auc scores: 0.71 ,cohen scores: 0.27 
Threshold: -0.40 ,Senstivity: 0.72 ,Specificity: 0.53 ,Accuracy: 0.62 ,mcc scores: 0.25 ,roc-auc scores: 0.71 ,cohen scores: 0.25 
Threshold: -0.30 ,Senstivity: 0.67 ,Specificity: 0.57 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.71 ,cohen scores: 0.24 
Threshold: -0.20 ,Senstivity: 0.65 ,Specificity: 0.65 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.71 ,cohen scores: 0.30 
Threshold: -0.10 ,Senstivity: 0.61 ,Specificity: 0.69 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.71 ,cohen scores: 0.30 
Threshold: 0.00 ,Senstivity: 0.59 ,Specificity: 0.74 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.71 ,cohen scores: 0.33 
Threshold: 0.10 ,Senstivity: 0.56 ,Specificity: 0.78 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.71 ,cohen scores: 0.34 
Threshold: 0.20 ,Senstivity: 0.51 ,Specificity: 0.81 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.71 ,cohen scores: 0.31 
Threshold: 0.30 ,Senstivity: 0.49 ,Specificity: 0.83 ,Accuracy: 0.66 ,mcc scores: 0.35 ,roc-auc scores: 0.71 ,cohen scores: 0.33 
Threshold: 0.40 ,Senstivity: 0.48 ,Specificity: 0.86 ,Accuracy: 0.67 ,mcc scores: 0.38 ,roc-auc scores: 0.71 ,cohen scores: 0.35 
Threshold: 0.50 ,Senstivity: 0.46 ,Specificity: 0.89 ,Accuracy: 0.67 ,mcc scores: 0.39 ,roc-auc scores: 0.71 ,cohen scores: 0.35 
Threshold: 0.60 ,Senstivity: 0.43 ,Specificity: 0.91 ,Accuracy: 0.67 ,mcc scores: 0.39 ,roc-auc scores: 0.71 ,cohen scores: 0.34 
Threshold: 0.70 ,Senstivity: 0.39 ,Specificity: 0.94 ,Accuracy: 0.66 ,mcc scores: 0.39 ,roc-auc scores: 0.71 ,cohen scores: 0.32 
Threshold: 0.80 ,Senstivity: 0.33 ,Specificity: 0.97 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.71 ,cohen scores: 0.29 
Threshold: 0.90 ,Senstivity: 0.28 ,Specificity: 0.97 ,Accuracy: 0.62 ,mcc scores: 0.35 ,roc-auc scores: 0.71 ,cohen scores: 0.25 
Threshold: 1.00 ,Senstivity: 0.23 ,Specificity: 0.98 ,Accuracy: 0.60 ,mcc scores: 0.33 ,roc-auc scores: 0.71 ,cohen scores: 0.21 
Threshold: 1.10 ,Senstivity: 0.17 ,Specificity: 0.99 ,Accuracy: 0.58 ,mcc scores: 0.28 ,roc-auc scores: 0.71 ,cohen scores: 0.16 
Threshold: 1.20 ,Senstivity: 0.13 ,Specificity: 0.99 ,Accuracy: 0.55 ,mcc scores: 0.23 ,roc-auc scores: 0.71 ,cohen scores: 0.11 
Threshold: 1.30 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.19 ,roc-auc scores: 0.71 ,cohen scores: 0.07 
Threshold: 1.40 ,Senstivity: 0.04 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.15 ,roc-auc scores: 0.71 ,cohen scores: 0.04 
Threshold: 1.50 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.13 ,roc-auc scores: 0.71 ,cohen scores: 0.03 
Threshold: 1.60 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.07 ,roc-auc scores: 0.71 ,cohen scores: 0.01 
Threshold: 1.70 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.07 ,roc-auc scores: 0.71 ,cohen scores: 0.01 
