Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.00 ,Senstivity: 0.95 ,Specificity: 0.05 ,Accuracy: 0.48 ,mcc scores: -0.01 ,roc-auc scores: 0.69 ,cohen scores: -0.00 
Threshold: -0.90 ,Senstivity: 0.95 ,Specificity: 0.15 ,Accuracy: 0.53 ,mcc scores: 0.16 ,roc-auc scores: 0.69 ,cohen scores: 0.09 
Threshold: -0.80 ,Senstivity: 0.95 ,Specificity: 0.15 ,Accuracy: 0.53 ,mcc scores: 0.16 ,roc-auc scores: 0.69 ,cohen scores: 0.09 
Threshold: -0.70 ,Senstivity: 0.95 ,Specificity: 0.15 ,Accuracy: 0.53 ,mcc scores: 0.16 ,roc-auc scores: 0.69 ,cohen scores: 0.09 
Threshold: -0.60 ,Senstivity: 0.95 ,Specificity: 0.15 ,Accuracy: 0.53 ,mcc scores: 0.16 ,roc-auc scores: 0.69 ,cohen scores: 0.09 
Threshold: -0.50 ,Senstivity: 0.95 ,Specificity: 0.15 ,Accuracy: 0.53 ,mcc scores: 0.16 ,roc-auc scores: 0.69 ,cohen scores: 0.09 
Threshold: -0.40 ,Senstivity: 0.95 ,Specificity: 0.20 ,Accuracy: 0.56 ,mcc scores: 0.22 ,roc-auc scores: 0.69 ,cohen scores: 0.14 
Threshold: -0.30 ,Senstivity: 0.89 ,Specificity: 0.25 ,Accuracy: 0.56 ,mcc scores: 0.18 ,roc-auc scores: 0.69 ,cohen scores: 0.14 
Threshold: -0.20 ,Senstivity: 0.86 ,Specificity: 0.33 ,Accuracy: 0.58 ,mcc scores: 0.22 ,roc-auc scores: 0.69 ,cohen scores: 0.19 
Threshold: -0.10 ,Senstivity: 0.59 ,Specificity: 0.65 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.69 ,cohen scores: 0.24 
Threshold: 0.00 ,Senstivity: 0.43 ,Specificity: 0.80 ,Accuracy: 0.62 ,mcc scores: 0.25 ,roc-auc scores: 0.69 ,cohen scores: 0.24 
Threshold: 0.10 ,Senstivity: 0.38 ,Specificity: 0.93 ,Accuracy: 0.66 ,mcc scores: 0.37 ,roc-auc scores: 0.69 ,cohen scores: 0.31 
Threshold: 0.20 ,Senstivity: 0.27 ,Specificity: 0.97 ,Accuracy: 0.64 ,mcc scores: 0.35 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 0.30 ,Senstivity: 0.27 ,Specificity: 0.97 ,Accuracy: 0.64 ,mcc scores: 0.35 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 0.40 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 0.50 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 0.60 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 0.70 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 0.80 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 0.90 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 1.00 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.69 ,cohen scores: 0.03 
Threshold: 1.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
