Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.96 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.99 ,Specificity: 0.35 ,Accuracy: 0.67 ,mcc scores: 0.44 ,roc-auc scores: 0.96 ,cohen scores: 0.34 
Threshold: 0.10 ,Senstivity: 0.97 ,Specificity: 0.49 ,Accuracy: 0.73 ,mcc scores: 0.53 ,roc-auc scores: 0.96 ,cohen scores: 0.47 
Threshold: 0.15 ,Senstivity: 0.96 ,Specificity: 0.63 ,Accuracy: 0.80 ,mcc scores: 0.63 ,roc-auc scores: 0.96 ,cohen scores: 0.60 
Threshold: 0.20 ,Senstivity: 0.96 ,Specificity: 0.70 ,Accuracy: 0.83 ,mcc scores: 0.68 ,roc-auc scores: 0.96 ,cohen scores: 0.66 
Threshold: 0.25 ,Senstivity: 0.96 ,Specificity: 0.74 ,Accuracy: 0.85 ,mcc scores: 0.71 ,roc-auc scores: 0.96 ,cohen scores: 0.70 
Threshold: 0.30 ,Senstivity: 0.95 ,Specificity: 0.79 ,Accuracy: 0.87 ,mcc scores: 0.75 ,roc-auc scores: 0.96 ,cohen scores: 0.74 
Threshold: 0.35 ,Senstivity: 0.94 ,Specificity: 0.85 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.96 ,cohen scores: 0.78 
Threshold: 0.40 ,Senstivity: 0.92 ,Specificity: 0.87 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.96 ,cohen scores: 0.79 
Threshold: 0.45 ,Senstivity: 0.91 ,Specificity: 0.88 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.96 ,cohen scores: 0.79 
Threshold: 0.50 ,Senstivity: 0.90 ,Specificity: 0.91 ,Accuracy: 0.91 ,mcc scores: 0.81 ,roc-auc scores: 0.96 ,cohen scores: 0.81 
Threshold: 0.55 ,Senstivity: 0.88 ,Specificity: 0.93 ,Accuracy: 0.90 ,mcc scores: 0.81 ,roc-auc scores: 0.96 ,cohen scores: 0.81 
Threshold: 0.60 ,Senstivity: 0.83 ,Specificity: 0.94 ,Accuracy: 0.89 ,mcc scores: 0.78 ,roc-auc scores: 0.96 ,cohen scores: 0.77 
Threshold: 0.65 ,Senstivity: 0.81 ,Specificity: 0.96 ,Accuracy: 0.88 ,mcc scores: 0.78 ,roc-auc scores: 0.96 ,cohen scores: 0.77 
Threshold: 0.70 ,Senstivity: 0.79 ,Specificity: 0.97 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.96 ,cohen scores: 0.76 
Threshold: 0.75 ,Senstivity: 0.76 ,Specificity: 0.99 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.96 ,cohen scores: 0.75 
Threshold: 0.80 ,Senstivity: 0.72 ,Specificity: 0.99 ,Accuracy: 0.86 ,mcc scores: 0.74 ,roc-auc scores: 0.96 ,cohen scores: 0.71 
Threshold: 0.85 ,Senstivity: 0.64 ,Specificity: 0.99 ,Accuracy: 0.82 ,mcc scores: 0.68 ,roc-auc scores: 0.96 ,cohen scores: 0.64 
Threshold: 0.90 ,Senstivity: 0.60 ,Specificity: 0.99 ,Accuracy: 0.80 ,mcc scores: 0.65 ,roc-auc scores: 0.96 ,cohen scores: 0.60 
Threshold: 0.95 ,Senstivity: 0.51 ,Specificity: 0.99 ,Accuracy: 0.75 ,mcc scores: 0.58 ,roc-auc scores: 0.96 ,cohen scores: 0.50 
