Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.04 ,Accuracy: 0.52 ,mcc scores: 0.14 ,roc-auc scores: 0.97 ,cohen scores: 0.04 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.52 ,mcc scores: 0.16 ,roc-auc scores: 0.97 ,cohen scores: 0.05 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.53 ,mcc scores: 0.19 ,roc-auc scores: 0.97 ,cohen scores: 0.07 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.09 ,Accuracy: 0.55 ,mcc scores: 0.22 ,roc-auc scores: 0.97 ,cohen scores: 0.09 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.12 ,Accuracy: 0.56 ,mcc scores: 0.25 ,roc-auc scores: 0.97 ,cohen scores: 0.12 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.15 ,Accuracy: 0.57 ,mcc scores: 0.28 ,roc-auc scores: 0.97 ,cohen scores: 0.15 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.18 ,Accuracy: 0.59 ,mcc scores: 0.31 ,roc-auc scores: 0.97 ,cohen scores: 0.17 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.21 ,Accuracy: 0.60 ,mcc scores: 0.34 ,roc-auc scores: 0.97 ,cohen scores: 0.21 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.24 ,Accuracy: 0.62 ,mcc scores: 0.37 ,roc-auc scores: 0.97 ,cohen scores: 0.24 
Threshold: -2.10 ,Senstivity: 0.99 ,Specificity: 0.27 ,Accuracy: 0.63 ,mcc scores: 0.38 ,roc-auc scores: 0.97 ,cohen scores: 0.26 
Threshold: -2.00 ,Senstivity: 0.99 ,Specificity: 0.31 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.97 ,cohen scores: 0.30 
Threshold: -1.90 ,Senstivity: 0.99 ,Specificity: 0.35 ,Accuracy: 0.67 ,mcc scores: 0.44 ,roc-auc scores: 0.97 ,cohen scores: 0.33 
Threshold: -1.80 ,Senstivity: 0.99 ,Specificity: 0.40 ,Accuracy: 0.69 ,mcc scores: 0.48 ,roc-auc scores: 0.97 ,cohen scores: 0.39 
Threshold: -1.70 ,Senstivity: 0.99 ,Specificity: 0.42 ,Accuracy: 0.70 ,mcc scores: 0.50 ,roc-auc scores: 0.97 ,cohen scores: 0.41 
Threshold: -1.60 ,Senstivity: 0.99 ,Specificity: 0.47 ,Accuracy: 0.73 ,mcc scores: 0.54 ,roc-auc scores: 0.97 ,cohen scores: 0.46 
Threshold: -1.50 ,Senstivity: 0.99 ,Specificity: 0.51 ,Accuracy: 0.75 ,mcc scores: 0.57 ,roc-auc scores: 0.97 ,cohen scores: 0.49 
Threshold: -1.40 ,Senstivity: 0.99 ,Specificity: 0.55 ,Accuracy: 0.77 ,mcc scores: 0.60 ,roc-auc scores: 0.97 ,cohen scores: 0.54 
Threshold: -1.30 ,Senstivity: 0.99 ,Specificity: 0.58 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.97 ,cohen scores: 0.57 
Threshold: -1.20 ,Senstivity: 0.98 ,Specificity: 0.61 ,Accuracy: 0.80 ,mcc scores: 0.64 ,roc-auc scores: 0.97 ,cohen scores: 0.59 
Threshold: -1.10 ,Senstivity: 0.98 ,Specificity: 0.64 ,Accuracy: 0.81 ,mcc scores: 0.66 ,roc-auc scores: 0.97 ,cohen scores: 0.62 
Threshold: -1.00 ,Senstivity: 0.97 ,Specificity: 0.69 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.97 ,cohen scores: 0.66 
Threshold: -0.90 ,Senstivity: 0.96 ,Specificity: 0.72 ,Accuracy: 0.84 ,mcc scores: 0.70 ,roc-auc scores: 0.97 ,cohen scores: 0.68 
Threshold: -0.80 ,Senstivity: 0.96 ,Specificity: 0.75 ,Accuracy: 0.86 ,mcc scores: 0.73 ,roc-auc scores: 0.97 ,cohen scores: 0.71 
