Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.91 ,cohen scores: 0.01 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.91 ,cohen scores: 0.01 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.91 ,cohen scores: 0.02 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.04 ,Accuracy: 0.52 ,mcc scores: 0.14 ,roc-auc scores: 0.91 ,cohen scores: 0.04 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.52 ,mcc scores: 0.16 ,roc-auc scores: 0.91 ,cohen scores: 0.05 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.09 ,Accuracy: 0.55 ,mcc scores: 0.22 ,roc-auc scores: 0.91 ,cohen scores: 0.09 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.12 ,Accuracy: 0.56 ,mcc scores: 0.25 ,roc-auc scores: 0.91 ,cohen scores: 0.12 
Threshold: -1.60 ,Senstivity: 0.99 ,Specificity: 0.14 ,Accuracy: 0.57 ,mcc scores: 0.26 ,roc-auc scores: 0.91 ,cohen scores: 0.14 
Threshold: -1.50 ,Senstivity: 0.99 ,Specificity: 0.18 ,Accuracy: 0.58 ,mcc scores: 0.28 ,roc-auc scores: 0.91 ,cohen scores: 0.16 
Threshold: -1.40 ,Senstivity: 0.98 ,Specificity: 0.23 ,Accuracy: 0.61 ,mcc scores: 0.33 ,roc-auc scores: 0.91 ,cohen scores: 0.22 
Threshold: -1.30 ,Senstivity: 0.97 ,Specificity: 0.29 ,Accuracy: 0.63 ,mcc scores: 0.36 ,roc-auc scores: 0.91 ,cohen scores: 0.26 
Threshold: -1.20 ,Senstivity: 0.96 ,Specificity: 0.37 ,Accuracy: 0.66 ,mcc scores: 0.41 ,roc-auc scores: 0.91 ,cohen scores: 0.33 
Threshold: -1.10 ,Senstivity: 0.95 ,Specificity: 0.43 ,Accuracy: 0.69 ,mcc scores: 0.44 ,roc-auc scores: 0.91 ,cohen scores: 0.38 
Threshold: -1.00 ,Senstivity: 0.94 ,Specificity: 0.51 ,Accuracy: 0.72 ,mcc scores: 0.49 ,roc-auc scores: 0.91 ,cohen scores: 0.44 
Threshold: -0.90 ,Senstivity: 0.91 ,Specificity: 0.57 ,Accuracy: 0.74 ,mcc scores: 0.51 ,roc-auc scores: 0.91 ,cohen scores: 0.48 
Threshold: -0.80 ,Senstivity: 0.90 ,Specificity: 0.62 ,Accuracy: 0.76 ,mcc scores: 0.55 ,roc-auc scores: 0.91 ,cohen scores: 0.52 
Threshold: -0.70 ,Senstivity: 0.90 ,Specificity: 0.70 ,Accuracy: 0.80 ,mcc scores: 0.61 ,roc-auc scores: 0.91 ,cohen scores: 0.60 
Threshold: -0.60 ,Senstivity: 0.87 ,Specificity: 0.74 ,Accuracy: 0.81 ,mcc scores: 0.62 ,roc-auc scores: 0.91 ,cohen scores: 0.61 
Threshold: -0.50 ,Senstivity: 0.84 ,Specificity: 0.80 ,Accuracy: 0.82 ,mcc scores: 0.64 ,roc-auc scores: 0.91 ,cohen scores: 0.64 
Threshold: -0.40 ,Senstivity: 0.84 ,Specificity: 0.85 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.91 ,cohen scores: 0.70 
Threshold: -0.30 ,Senstivity: 0.83 ,Specificity: 0.87 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.91 ,cohen scores: 0.70 
Threshold: -0.20 ,Senstivity: 0.83 ,Specificity: 0.89 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.91 ,cohen scores: 0.72 
Threshold: -0.10 ,Senstivity: 0.82 ,Specificity: 0.90 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.91 ,cohen scores: 0.72 
Threshold: 0.00 ,Senstivity: 0.81 ,Specificity: 0.93 ,Accuracy: 0.87 ,mcc scores: 0.75 ,roc-auc scores: 0.91 ,cohen scores: 0.74 
Threshold: 0.10 ,Senstivity: 0.80 ,Specificity: 0.95 ,Accuracy: 0.88 ,mcc scores: 0.76 ,roc-auc scores: 0.91 ,cohen scores: 0.75 
Threshold: 0.20 ,Senstivity: 0.79 ,Specificity: 0.95 ,Accuracy: 0.87 ,mcc scores: 0.76 ,roc-auc scores: 0.91 ,cohen scores: 0.75 
Threshold: 0.30 ,Senstivity: 0.75 ,Specificity: 0.96 ,Accuracy: 0.85 ,mcc scores: 0.72 ,roc-auc scores: 0.91 ,cohen scores: 0.71 
Threshold: 0.40 ,Senstivity: 0.73 ,Specificity: 0.96 ,Accuracy: 0.84 ,mcc scores: 0.71 ,roc-auc scores: 0.91 ,cohen scores: 0.69 
Threshold: 0.50 ,Senstivity: 0.69 ,Specificity: 0.96 ,Accuracy: 0.83 ,mcc scores: 0.68 ,roc-auc scores: 0.91 ,cohen scores: 0.66 
Threshold: 0.60 ,Senstivity: 0.66 ,Specificity: 0.97 ,Accuracy: 0.81 ,mcc scores: 0.66 ,roc-auc scores: 0.91 ,cohen scores: 0.63 
Threshold: 0.70 ,Senstivity: 0.65 ,Specificity: 0.97 ,Accuracy: 0.81 ,mcc scores: 0.66 ,roc-auc scores: 0.91 ,cohen scores: 0.62 
Threshold: 0.80 ,Senstivity: 0.61 ,Specificity: 0.97 ,Accuracy: 0.79 ,mcc scores: 0.62 ,roc-auc scores: 0.91 ,cohen scores: 0.58 
Threshold: 0.90 ,Senstivity: 0.58 ,Specificity: 0.97 ,Accuracy: 0.78 ,mcc scores: 0.60 ,roc-auc scores: 0.91 ,cohen scores: 0.55 
Threshold: 1.00 ,Senstivity: 0.46 ,Specificity: 0.98 ,Accuracy: 0.72 ,mcc scores: 0.52 ,roc-auc scores: 0.91 ,cohen scores: 0.44 
Threshold: 1.10 ,Senstivity: 0.41 ,Specificity: 0.99 ,Accuracy: 0.70 ,mcc scores: 0.49 ,roc-auc scores: 0.91 ,cohen scores: 0.40 
Threshold: 1.20 ,Senstivity: 0.38 ,Specificity: 0.99 ,Accuracy: 0.68 ,mcc scores: 0.47 ,roc-auc scores: 0.91 ,cohen scores: 0.37 
Threshold: 1.30 ,Senstivity: 0.29 ,Specificity: 0.99 ,Accuracy: 0.64 ,mcc scores: 0.39 ,roc-auc scores: 0.91 ,cohen scores: 0.28 
Threshold: 1.40 ,Senstivity: 0.24 ,Specificity: 0.99 ,Accuracy: 0.61 ,mcc scores: 0.35 ,roc-auc scores: 0.91 ,cohen scores: 0.23 
Threshold: 1.50 ,Senstivity: 0.22 ,Specificity: 0.99 ,Accuracy: 0.60 ,mcc scores: 0.33 ,roc-auc scores: 0.91 ,cohen scores: 0.21 
Threshold: 1.60 ,Senstivity: 0.19 ,Specificity: 0.99 ,Accuracy: 0.59 ,mcc scores: 0.31 ,roc-auc scores: 0.91 ,cohen scores: 0.18 
Threshold: 1.70 ,Senstivity: 0.13 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.26 ,roc-auc scores: 0.91 ,cohen scores: 0.13 
Threshold: 1.80 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.19 ,roc-auc scores: 0.91 ,cohen scores: 0.07 
Threshold: 1.90 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.13 ,roc-auc scores: 0.91 ,cohen scores: 0.03 
Threshold: 2.00 ,Senstivity: 0.02 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.91 ,cohen scores: 0.02 
Threshold: 2.10 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.91 ,cohen scores: 0.01 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
