Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.49 ,mcc scores: 0.11 ,roc-auc scores: 0.80 ,cohen scores: 0.02 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.49 ,mcc scores: 0.11 ,roc-auc scores: 0.80 ,cohen scores: 0.02 
Threshold: -1.10 ,Senstivity: 0.97 ,Specificity: 0.05 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.80 ,cohen scores: 0.02 
Threshold: -1.00 ,Senstivity: 0.97 ,Specificity: 0.07 ,Accuracy: 0.51 ,mcc scores: 0.11 ,roc-auc scores: 0.80 ,cohen scores: 0.05 
Threshold: -0.90 ,Senstivity: 0.97 ,Specificity: 0.15 ,Accuracy: 0.55 ,mcc scores: 0.21 ,roc-auc scores: 0.80 ,cohen scores: 0.12 
Threshold: -0.80 ,Senstivity: 0.97 ,Specificity: 0.23 ,Accuracy: 0.58 ,mcc scores: 0.29 ,roc-auc scores: 0.80 ,cohen scores: 0.19 
Threshold: -0.70 ,Senstivity: 0.97 ,Specificity: 0.35 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.80 ,cohen scores: 0.31 
Threshold: -0.60 ,Senstivity: 0.92 ,Specificity: 0.40 ,Accuracy: 0.65 ,mcc scores: 0.37 ,roc-auc scores: 0.80 ,cohen scores: 0.31 
Threshold: -0.50 ,Senstivity: 0.86 ,Specificity: 0.40 ,Accuracy: 0.62 ,mcc scores: 0.30 ,roc-auc scores: 0.80 ,cohen scores: 0.26 
Threshold: -0.40 ,Senstivity: 0.81 ,Specificity: 0.50 ,Accuracy: 0.65 ,mcc scores: 0.33 ,roc-auc scores: 0.80 ,cohen scores: 0.31 
Threshold: -0.30 ,Senstivity: 0.81 ,Specificity: 0.62 ,Accuracy: 0.71 ,mcc scores: 0.44 ,roc-auc scores: 0.80 ,cohen scores: 0.43 
Threshold: -0.20 ,Senstivity: 0.76 ,Specificity: 0.65 ,Accuracy: 0.70 ,mcc scores: 0.41 ,roc-auc scores: 0.80 ,cohen scores: 0.40 
Threshold: -0.10 ,Senstivity: 0.73 ,Specificity: 0.70 ,Accuracy: 0.71 ,mcc scores: 0.43 ,roc-auc scores: 0.80 ,cohen scores: 0.43 
Threshold: 0.00 ,Senstivity: 0.68 ,Specificity: 0.78 ,Accuracy: 0.73 ,mcc scores: 0.45 ,roc-auc scores: 0.80 ,cohen scores: 0.45 
Threshold: 0.10 ,Senstivity: 0.65 ,Specificity: 0.80 ,Accuracy: 0.73 ,mcc scores: 0.45 ,roc-auc scores: 0.80 ,cohen scores: 0.45 
Threshold: 0.20 ,Senstivity: 0.62 ,Specificity: 0.85 ,Accuracy: 0.74 ,mcc scores: 0.49 ,roc-auc scores: 0.80 ,cohen scores: 0.48 
Threshold: 0.30 ,Senstivity: 0.54 ,Specificity: 0.85 ,Accuracy: 0.70 ,mcc scores: 0.41 ,roc-auc scores: 0.80 ,cohen scores: 0.39 
Threshold: 0.40 ,Senstivity: 0.49 ,Specificity: 0.90 ,Accuracy: 0.70 ,mcc scores: 0.43 ,roc-auc scores: 0.80 ,cohen scores: 0.39 
Threshold: 0.50 ,Senstivity: 0.49 ,Specificity: 0.93 ,Accuracy: 0.71 ,mcc scores: 0.46 ,roc-auc scores: 0.80 ,cohen scores: 0.42 
Threshold: 0.60 ,Senstivity: 0.43 ,Specificity: 0.97 ,Accuracy: 0.71 ,mcc scores: 0.49 ,roc-auc scores: 0.80 ,cohen scores: 0.42 
Threshold: 0.70 ,Senstivity: 0.38 ,Specificity: 1.00 ,Accuracy: 0.70 ,mcc scores: 0.49 ,roc-auc scores: 0.80 ,cohen scores: 0.39 
Threshold: 0.80 ,Senstivity: 0.38 ,Specificity: 1.00 ,Accuracy: 0.70 ,mcc scores: 0.49 ,roc-auc scores: 0.80 ,cohen scores: 0.39 
Threshold: 0.90 ,Senstivity: 0.30 ,Specificity: 1.00 ,Accuracy: 0.66 ,mcc scores: 0.42 ,roc-auc scores: 0.80 ,cohen scores: 0.31 
Threshold: 1.00 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.80 ,cohen scores: 0.25 
Threshold: 1.10 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.27 ,roc-auc scores: 0.80 ,cohen scores: 0.14 
Threshold: 1.20 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.80 ,cohen scores: 0.08 
Threshold: 1.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 1.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 1.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 1.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 1.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 2.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
