extra_trees_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.52,0.00,0.92,0.00
0.05,1.00,0.00,0.52,0.00,0.92,0.00
0.10,1.00,0.00,0.52,0.00,0.92,0.00
0.15,1.00,0.00,0.52,0.00,0.92,0.00
0.20,1.00,0.03,0.54,0.12,0.92,0.03
0.25,1.00,0.08,0.56,0.21,0.92,0.09
0.30,0.99,0.21,0.62,0.34,0.92,0.21
0.35,0.96,0.40,0.69,0.44,0.92,0.37
0.40,0.94,0.61,0.78,0.59,0.92,0.56
0.45,0.85,0.81,0.83,0.67,0.92,0.67
0.50,0.81,0.92,0.86,0.73,0.92,0.72
0.55,0.72,0.97,0.84,0.71,0.92,0.68
0.60,0.66,0.99,0.82,0.68,0.92,0.64
0.65,0.57,0.99,0.77,0.62,0.92,0.56
0.70,0.46,1.00,0.72,0.54,0.92,0.45
0.75,0.38,1.00,0.68,0.48,0.92,0.37
0.80,0.31,1.00,0.64,0.42,0.92,0.30
0.85,0.17,1.00,0.57,0.30,0.92,0.17
0.90,0.08,1.00,0.52,0.20,0.92,0.08
0.95,0.03,1.00,0.49,0.11,0.92,0.03

extra_trees_kfold_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.49,0.00,0.87,0.00
0.05,1.00,0.00,0.49,0.00,0.86,0.00
0.10,1.00,0.00,0.49,0.00,0.86,0.00
0.15,1.00,0.00,0.49,0.00,0.84,0.00
0.20,1.00,0.03,0.50,0.12,0.83,0.03
0.25,1.00,0.05,0.51,0.16,0.87,0.05
0.30,1.00,0.11,0.54,0.24,0.85,0.11
0.35,0.97,0.30,0.62,0.36,0.87,0.26
0.40,0.97,0.35,0.65,0.41,0.85,0.32
0.45,0.89,0.51,0.69,0.43,0.84,0.39
0.50,0.83,0.68,0.75,0.51,0.85,0.50
0.55,0.77,0.78,0.78,0.56,0.85,0.56
0.60,0.80,0.73,0.76,0.53,0.86,0.53
0.65,0.63,0.86,0.75,0.51,0.88,0.50
0.70,0.57,0.92,0.75,0.53,0.87,0.49
0.75,0.46,0.97,0.72,0.51,0.84,0.44
0.80,0.40,0.97,0.69,0.46,0.84,0.38
0.85,0.23,1.00,0.62,0.36,0.86,0.23
0.90,0.11,1.00,0.57,0.25,0.87,0.12
0.95,0.00,1.00,0.51,0.00,0.89,0.00

knn_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.52,0.00,0.67,0.00
0.05,0.90,0.45,0.69,0.39,0.67,0.36
0.10,0.90,0.45,0.69,0.39,0.67,0.36
0.15,0.90,0.45,0.69,0.39,0.67,0.36
0.20,0.90,0.45,0.69,0.39,0.67,0.36
0.25,0.90,0.45,0.69,0.39,0.67,0.36
0.30,0.90,0.45,0.69,0.39,0.67,0.36
0.35,0.90,0.45,0.69,0.39,0.67,0.36
0.40,0.90,0.45,0.69,0.39,0.67,0.36
