Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.54 ,mcc scores: 0.12 ,roc-auc scores: 0.92 ,cohen scores: 0.03 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.08 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.92 ,cohen scores: 0.09 
Threshold: 0.30 ,Senstivity: 0.99 ,Specificity: 0.21 ,Accuracy: 0.62 ,mcc scores: 0.34 ,roc-auc scores: 0.92 ,cohen scores: 0.21 
Threshold: 0.35 ,Senstivity: 0.96 ,Specificity: 0.40 ,Accuracy: 0.69 ,mcc scores: 0.44 ,roc-auc scores: 0.92 ,cohen scores: 0.37 
Threshold: 0.40 ,Senstivity: 0.94 ,Specificity: 0.61 ,Accuracy: 0.78 ,mcc scores: 0.59 ,roc-auc scores: 0.92 ,cohen scores: 0.56 
Threshold: 0.45 ,Senstivity: 0.85 ,Specificity: 0.81 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.92 ,cohen scores: 0.67 
Threshold: 0.50 ,Senstivity: 0.81 ,Specificity: 0.92 ,Accuracy: 0.86 ,mcc scores: 0.73 ,roc-auc scores: 0.92 ,cohen scores: 0.72 
Threshold: 0.55 ,Senstivity: 0.72 ,Specificity: 0.97 ,Accuracy: 0.84 ,mcc scores: 0.71 ,roc-auc scores: 0.92 ,cohen scores: 0.68 
Threshold: 0.60 ,Senstivity: 0.66 ,Specificity: 0.99 ,Accuracy: 0.82 ,mcc scores: 0.68 ,roc-auc scores: 0.92 ,cohen scores: 0.64 
Threshold: 0.65 ,Senstivity: 0.57 ,Specificity: 0.99 ,Accuracy: 0.77 ,mcc scores: 0.62 ,roc-auc scores: 0.92 ,cohen scores: 0.56 
Threshold: 0.70 ,Senstivity: 0.46 ,Specificity: 1.00 ,Accuracy: 0.72 ,mcc scores: 0.54 ,roc-auc scores: 0.92 ,cohen scores: 0.45 
Threshold: 0.75 ,Senstivity: 0.38 ,Specificity: 1.00 ,Accuracy: 0.68 ,mcc scores: 0.48 ,roc-auc scores: 0.92 ,cohen scores: 0.37 
Threshold: 0.80 ,Senstivity: 0.31 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.42 ,roc-auc scores: 0.92 ,cohen scores: 0.30 
Threshold: 0.85 ,Senstivity: 0.17 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.30 ,roc-auc scores: 0.92 ,cohen scores: 0.17 
Threshold: 0.90 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.20 ,roc-auc scores: 0.92 ,cohen scores: 0.08 
Threshold: 0.95 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.11 ,roc-auc scores: 0.92 ,cohen scores: 0.03 
