Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.53 ,mcc scores: 0.06 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.53 ,mcc scores: 0.06 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.53 ,mcc scores: 0.06 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.53 ,mcc scores: 0.08 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.54 ,mcc scores: 0.12 ,roc-auc scores: 0.92 ,cohen scores: 0.03 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.54 ,mcc scores: 0.14 ,roc-auc scores: 0.92 ,cohen scores: 0.04 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.55 ,mcc scores: 0.17 ,roc-auc scores: 0.92 ,cohen scores: 0.05 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.09 ,Accuracy: 0.57 ,mcc scores: 0.22 ,roc-auc scores: 0.92 ,cohen scores: 0.09 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.15 ,Accuracy: 0.59 ,mcc scores: 0.29 ,roc-auc scores: 0.92 ,cohen scores: 0.15 
Threshold: -1.10 ,Senstivity: 0.99 ,Specificity: 0.19 ,Accuracy: 0.61 ,mcc scores: 0.32 ,roc-auc scores: 0.92 ,cohen scores: 0.19 
Threshold: -1.00 ,Senstivity: 0.98 ,Specificity: 0.24 ,Accuracy: 0.63 ,mcc scores: 0.33 ,roc-auc scores: 0.92 ,cohen scores: 0.23 
Threshold: -0.90 ,Senstivity: 0.98 ,Specificity: 0.28 ,Accuracy: 0.65 ,mcc scores: 0.37 ,roc-auc scores: 0.92 ,cohen scores: 0.27 
Threshold: -0.80 ,Senstivity: 0.95 ,Specificity: 0.37 ,Accuracy: 0.67 ,mcc scores: 0.40 ,roc-auc scores: 0.92 ,cohen scores: 0.33 
Threshold: -0.70 ,Senstivity: 0.94 ,Specificity: 0.49 ,Accuracy: 0.73 ,mcc scores: 0.49 ,roc-auc scores: 0.92 ,cohen scores: 0.44 
Threshold: -0.60 ,Senstivity: 0.93 ,Specificity: 0.59 ,Accuracy: 0.77 ,mcc scores: 0.56 ,roc-auc scores: 0.92 ,cohen scores: 0.53 
Threshold: -0.50 ,Senstivity: 0.89 ,Specificity: 0.70 ,Accuracy: 0.80 ,mcc scores: 0.61 ,roc-auc scores: 0.92 ,cohen scores: 0.60 
Threshold: -0.40 ,Senstivity: 0.86 ,Specificity: 0.76 ,Accuracy: 0.81 ,mcc scores: 0.62 ,roc-auc scores: 0.92 ,cohen scores: 0.62 
Threshold: -0.30 ,Senstivity: 0.84 ,Specificity: 0.83 ,Accuracy: 0.83 ,mcc scores: 0.66 ,roc-auc scores: 0.92 ,cohen scores: 0.66 
Threshold: -0.20 ,Senstivity: 0.82 ,Specificity: 0.87 ,Accuracy: 0.84 ,mcc scores: 0.68 ,roc-auc scores: 0.92 ,cohen scores: 0.68 
Threshold: -0.10 ,Senstivity: 0.78 ,Specificity: 0.90 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.92 ,cohen scores: 0.68 
Threshold: 0.00 ,Senstivity: 0.78 ,Specificity: 0.92 ,Accuracy: 0.85 ,mcc scores: 0.71 ,roc-auc scores: 0.92 ,cohen scores: 0.70 
Threshold: 0.10 ,Senstivity: 0.77 ,Specificity: 0.94 ,Accuracy: 0.85 ,mcc scores: 0.72 ,roc-auc scores: 0.92 ,cohen scores: 0.70 
