Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.87 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.85 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.54 ,mcc scores: 0.19 ,roc-auc scores: 0.89 ,cohen scores: 0.07 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.54 ,mcc scores: 0.19 ,roc-auc scores: 0.86 ,cohen scores: 0.07 
Threshold: 0.25 ,Senstivity: 0.97 ,Specificity: 0.17 ,Accuracy: 0.58 ,mcc scores: 0.23 ,roc-auc scores: 0.85 ,cohen scores: 0.14 
Threshold: 0.30 ,Senstivity: 0.97 ,Specificity: 0.34 ,Accuracy: 0.66 ,mcc scores: 0.40 ,roc-auc scores: 0.88 ,cohen scores: 0.31 
Threshold: 0.35 ,Senstivity: 0.93 ,Specificity: 0.48 ,Accuracy: 0.71 ,mcc scores: 0.47 ,roc-auc scores: 0.88 ,cohen scores: 0.42 
Threshold: 0.40 ,Senstivity: 0.93 ,Specificity: 0.45 ,Accuracy: 0.69 ,mcc scores: 0.44 ,roc-auc scores: 0.89 ,cohen scores: 0.38 
Threshold: 0.45 ,Senstivity: 0.90 ,Specificity: 0.62 ,Accuracy: 0.76 ,mcc scores: 0.54 ,roc-auc scores: 0.89 ,cohen scores: 0.52 
Threshold: 0.50 ,Senstivity: 0.77 ,Specificity: 0.72 ,Accuracy: 0.75 ,mcc scores: 0.49 ,roc-auc scores: 0.88 ,cohen scores: 0.49 
Threshold: 0.55 ,Senstivity: 0.70 ,Specificity: 0.86 ,Accuracy: 0.78 ,mcc scores: 0.57 ,roc-auc scores: 0.88 ,cohen scores: 0.56 
Threshold: 0.60 ,Senstivity: 0.73 ,Specificity: 0.83 ,Accuracy: 0.78 ,mcc scores: 0.56 ,roc-auc scores: 0.89 ,cohen scores: 0.56 
Threshold: 0.65 ,Senstivity: 0.63 ,Specificity: 0.93 ,Accuracy: 0.78 ,mcc scores: 0.59 ,roc-auc scores: 0.88 ,cohen scores: 0.56 
Threshold: 0.70 ,Senstivity: 0.47 ,Specificity: 0.97 ,Accuracy: 0.71 ,mcc scores: 0.50 ,roc-auc scores: 0.92 ,cohen scores: 0.43 
Threshold: 0.75 ,Senstivity: 0.43 ,Specificity: 1.00 ,Accuracy: 0.71 ,mcc scores: 0.52 ,roc-auc scores: 0.87 ,cohen scores: 0.43 
Threshold: 0.80 ,Senstivity: 0.33 ,Specificity: 0.97 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.90 ,cohen scores: 0.30 
Threshold: 0.85 ,Senstivity: 0.33 ,Specificity: 1.00 ,Accuracy: 0.66 ,mcc scores: 0.44 ,roc-auc scores: 0.89 ,cohen scores: 0.33 
Threshold: 0.90 ,Senstivity: 0.10 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.23 ,roc-auc scores: 0.89 ,cohen scores: 0.10 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.87 ,cohen scores: 0.00 
