Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.85 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.83 ,Specificity: 0.59 ,Accuracy: 0.71 ,mcc scores: 0.43 ,roc-auc scores: 0.80 ,cohen scores: 0.42 
Threshold: 0.10 ,Senstivity: 0.83 ,Specificity: 0.72 ,Accuracy: 0.78 ,mcc scores: 0.56 ,roc-auc scores: 0.85 ,cohen scores: 0.56 
Threshold: 0.15 ,Senstivity: 0.80 ,Specificity: 0.69 ,Accuracy: 0.75 ,mcc scores: 0.49 ,roc-auc scores: 0.82 ,cohen scores: 0.49 
Threshold: 0.20 ,Senstivity: 0.83 ,Specificity: 0.66 ,Accuracy: 0.75 ,mcc scores: 0.50 ,roc-auc scores: 0.83 ,cohen scores: 0.49 
Threshold: 0.25 ,Senstivity: 0.83 ,Specificity: 0.76 ,Accuracy: 0.80 ,mcc scores: 0.59 ,roc-auc scores: 0.86 ,cohen scores: 0.59 
Threshold: 0.30 ,Senstivity: 0.77 ,Specificity: 0.76 ,Accuracy: 0.76 ,mcc scores: 0.53 ,roc-auc scores: 0.74 ,cohen scores: 0.53 
Threshold: 0.35 ,Senstivity: 0.83 ,Specificity: 0.72 ,Accuracy: 0.78 ,mcc scores: 0.56 ,roc-auc scores: 0.81 ,cohen scores: 0.56 
Threshold: 0.40 ,Senstivity: 0.90 ,Specificity: 0.48 ,Accuracy: 0.69 ,mcc scores: 0.42 ,roc-auc scores: 0.68 ,cohen scores: 0.39 
Threshold: 0.45 ,Senstivity: 0.77 ,Specificity: 0.83 ,Accuracy: 0.80 ,mcc scores: 0.59 ,roc-auc scores: 0.77 ,cohen scores: 0.59 
Threshold: 0.50 ,Senstivity: 0.80 ,Specificity: 0.76 ,Accuracy: 0.78 ,mcc scores: 0.56 ,roc-auc scores: 0.84 ,cohen scores: 0.56 
Threshold: 0.55 ,Senstivity: 0.87 ,Specificity: 0.62 ,Accuracy: 0.75 ,mcc scores: 0.50 ,roc-auc scores: 0.84 ,cohen scores: 0.49 
Threshold: 0.60 ,Senstivity: 0.83 ,Specificity: 0.72 ,Accuracy: 0.78 ,mcc scores: 0.56 ,roc-auc scores: 0.84 ,cohen scores: 0.56 
Threshold: 0.65 ,Senstivity: 0.80 ,Specificity: 0.76 ,Accuracy: 0.78 ,mcc scores: 0.56 ,roc-auc scores: 0.83 ,cohen scores: 0.56 
Threshold: 0.70 ,Senstivity: 0.83 ,Specificity: 0.66 ,Accuracy: 0.75 ,mcc scores: 0.50 ,roc-auc scores: 0.88 ,cohen scores: 0.49 
Threshold: 0.75 ,Senstivity: 0.87 ,Specificity: 0.69 ,Accuracy: 0.78 ,mcc scores: 0.57 ,roc-auc scores: 0.80 ,cohen scores: 0.56 
Threshold: 0.80 ,Senstivity: 0.87 ,Specificity: 0.72 ,Accuracy: 0.80 ,mcc scores: 0.60 ,roc-auc scores: 0.83 ,cohen scores: 0.59 
Threshold: 0.85 ,Senstivity: 0.83 ,Specificity: 0.66 ,Accuracy: 0.75 ,mcc scores: 0.50 ,roc-auc scores: 0.84 ,cohen scores: 0.49 
Threshold: 0.90 ,Senstivity: 0.80 ,Specificity: 0.72 ,Accuracy: 0.76 ,mcc scores: 0.53 ,roc-auc scores: 0.88 ,cohen scores: 0.52 
Threshold: 0.95 ,Senstivity: 0.80 ,Specificity: 0.76 ,Accuracy: 0.78 ,mcc scores: 0.56 ,roc-auc scores: 0.87 ,cohen scores: 0.56 
