Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.50 ,mcc scores: 0.11 ,roc-auc scores: 0.90 ,cohen scores: 0.03 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.09 ,Accuracy: 0.53 ,mcc scores: 0.18 ,roc-auc scores: 0.90 ,cohen scores: 0.08 
Threshold: 0.25 ,Senstivity: 0.99 ,Specificity: 0.26 ,Accuracy: 0.61 ,mcc scores: 0.35 ,roc-auc scores: 0.90 ,cohen scores: 0.24 
Threshold: 0.30 ,Senstivity: 0.97 ,Specificity: 0.47 ,Accuracy: 0.71 ,mcc scores: 0.49 ,roc-auc scores: 0.90 ,cohen scores: 0.43 
Threshold: 0.35 ,Senstivity: 0.94 ,Specificity: 0.60 ,Accuracy: 0.76 ,mcc scores: 0.57 ,roc-auc scores: 0.90 ,cohen scores: 0.53 
Threshold: 0.40 ,Senstivity: 0.86 ,Specificity: 0.70 ,Accuracy: 0.78 ,mcc scores: 0.57 ,roc-auc scores: 0.90 ,cohen scores: 0.56 
Threshold: 0.45 ,Senstivity: 0.80 ,Specificity: 0.80 ,Accuracy: 0.80 ,mcc scores: 0.60 ,roc-auc scores: 0.90 ,cohen scores: 0.60 
Threshold: 0.50 ,Senstivity: 0.72 ,Specificity: 0.88 ,Accuracy: 0.80 ,mcc scores: 0.60 ,roc-auc scores: 0.90 ,cohen scores: 0.60 
Threshold: 0.55 ,Senstivity: 0.69 ,Specificity: 0.96 ,Accuracy: 0.83 ,mcc scores: 0.68 ,roc-auc scores: 0.90 ,cohen scores: 0.65 
Threshold: 0.60 ,Senstivity: 0.62 ,Specificity: 0.97 ,Accuracy: 0.80 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.59 
Threshold: 0.65 ,Senstivity: 0.55 ,Specificity: 0.98 ,Accuracy: 0.77 ,mcc scores: 0.59 ,roc-auc scores: 0.90 ,cohen scores: 0.53 
Threshold: 0.70 ,Senstivity: 0.48 ,Specificity: 0.99 ,Accuracy: 0.74 ,mcc scores: 0.54 ,roc-auc scores: 0.90 ,cohen scores: 0.47 
Threshold: 0.75 ,Senstivity: 0.39 ,Specificity: 1.00 ,Accuracy: 0.71 ,mcc scores: 0.50 ,roc-auc scores: 0.90 ,cohen scores: 0.40 
Threshold: 0.80 ,Senstivity: 0.34 ,Specificity: 1.00 ,Accuracy: 0.68 ,mcc scores: 0.46 ,roc-auc scores: 0.90 ,cohen scores: 0.35 
Threshold: 0.85 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.63 ,mcc scores: 0.37 ,roc-auc scores: 0.90 ,cohen scores: 0.24 
Threshold: 0.90 ,Senstivity: 0.15 ,Specificity: 1.00 ,Accuracy: 0.59 ,mcc scores: 0.29 ,roc-auc scores: 0.90 ,cohen scores: 0.15 
Threshold: 0.95 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.14 ,roc-auc scores: 0.90 ,cohen scores: 0.04 
