Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.84 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.83 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.80 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.51 ,mcc scores: 0.16 ,roc-auc scores: 0.83 ,cohen scores: 0.05 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.12 ,Accuracy: 0.55 ,mcc scores: 0.25 ,roc-auc scores: 0.79 ,cohen scores: 0.12 
Threshold: 0.25 ,Senstivity: 0.97 ,Specificity: 0.17 ,Accuracy: 0.56 ,mcc scores: 0.24 ,roc-auc scores: 0.84 ,cohen scores: 0.14 
Threshold: 0.30 ,Senstivity: 0.89 ,Specificity: 0.35 ,Accuracy: 0.61 ,mcc scores: 0.29 ,roc-auc scores: 0.81 ,cohen scores: 0.24 
Threshold: 0.35 ,Senstivity: 0.89 ,Specificity: 0.45 ,Accuracy: 0.66 ,mcc scores: 0.38 ,roc-auc scores: 0.82 ,cohen scores: 0.34 
Threshold: 0.40 ,Senstivity: 0.86 ,Specificity: 0.62 ,Accuracy: 0.74 ,mcc scores: 0.50 ,roc-auc scores: 0.82 ,cohen scores: 0.48 
Threshold: 0.45 ,Senstivity: 0.70 ,Specificity: 0.72 ,Accuracy: 0.71 ,mcc scores: 0.43 ,roc-auc scores: 0.78 ,cohen scores: 0.43 
Threshold: 0.50 ,Senstivity: 0.65 ,Specificity: 0.88 ,Accuracy: 0.77 ,mcc scores: 0.54 ,roc-auc scores: 0.80 ,cohen scores: 0.53 
Threshold: 0.55 ,Senstivity: 0.62 ,Specificity: 0.88 ,Accuracy: 0.75 ,mcc scores: 0.52 ,roc-auc scores: 0.79 ,cohen scores: 0.50 
Threshold: 0.60 ,Senstivity: 0.62 ,Specificity: 0.90 ,Accuracy: 0.77 ,mcc scores: 0.55 ,roc-auc scores: 0.83 ,cohen scores: 0.53 
Threshold: 0.65 ,Senstivity: 0.51 ,Specificity: 0.93 ,Accuracy: 0.73 ,mcc scores: 0.48 ,roc-auc scores: 0.85 ,cohen scores: 0.45 
Threshold: 0.70 ,Senstivity: 0.43 ,Specificity: 0.95 ,Accuracy: 0.70 ,mcc scores: 0.45 ,roc-auc scores: 0.81 ,cohen scores: 0.39 
Threshold: 0.75 ,Senstivity: 0.38 ,Specificity: 0.95 ,Accuracy: 0.68 ,mcc scores: 0.40 ,roc-auc scores: 0.84 ,cohen scores: 0.34 
Threshold: 0.80 ,Senstivity: 0.32 ,Specificity: 0.97 ,Accuracy: 0.66 ,mcc scores: 0.40 ,roc-auc scores: 0.82 ,cohen scores: 0.31 
Threshold: 0.85 ,Senstivity: 0.19 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.33 ,roc-auc scores: 0.82 ,cohen scores: 0.20 
Threshold: 0.90 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.27 ,roc-auc scores: 0.83 ,cohen scores: 0.14 
Threshold: 0.95 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.17 ,roc-auc scores: 0.84 ,cohen scores: 0.06 
