Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.53 ,mcc scores: 0.06 ,roc-auc scores: 0.94 ,cohen scores: 0.01 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.53 ,mcc scores: 0.08 ,roc-auc scores: 0.94 ,cohen scores: 0.01 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.06 ,Accuracy: 0.55 ,mcc scores: 0.18 ,roc-auc scores: 0.94 ,cohen scores: 0.06 
Threshold: 0.25 ,Senstivity: 0.99 ,Specificity: 0.16 ,Accuracy: 0.60 ,mcc scores: 0.28 ,roc-auc scores: 0.94 ,cohen scores: 0.16 
Threshold: 0.30 ,Senstivity: 0.97 ,Specificity: 0.37 ,Accuracy: 0.69 ,mcc scores: 0.43 ,roc-auc scores: 0.94 ,cohen scores: 0.35 
Threshold: 0.35 ,Senstivity: 0.95 ,Specificity: 0.57 ,Accuracy: 0.77 ,mcc scores: 0.57 ,roc-auc scores: 0.94 ,cohen scores: 0.53 
Threshold: 0.40 ,Senstivity: 0.93 ,Specificity: 0.76 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.94 ,cohen scores: 0.69 
Threshold: 0.45 ,Senstivity: 0.87 ,Specificity: 0.88 ,Accuracy: 0.88 ,mcc scores: 0.75 ,roc-auc scores: 0.94 ,cohen scores: 0.75 
Threshold: 0.50 ,Senstivity: 0.80 ,Specificity: 0.94 ,Accuracy: 0.86 ,mcc scores: 0.74 ,roc-auc scores: 0.94 ,cohen scores: 0.73 
Threshold: 0.55 ,Senstivity: 0.74 ,Specificity: 0.95 ,Accuracy: 0.84 ,mcc scores: 0.71 ,roc-auc scores: 0.94 ,cohen scores: 0.69 
Threshold: 0.60 ,Senstivity: 0.71 ,Specificity: 0.99 ,Accuracy: 0.85 ,mcc scores: 0.73 ,roc-auc scores: 0.94 ,cohen scores: 0.69 
Threshold: 0.65 ,Senstivity: 0.59 ,Specificity: 0.99 ,Accuracy: 0.78 ,mcc scores: 0.63 ,roc-auc scores: 0.94 ,cohen scores: 0.57 
Threshold: 0.70 ,Senstivity: 0.51 ,Specificity: 0.99 ,Accuracy: 0.74 ,mcc scores: 0.57 ,roc-auc scores: 0.94 ,cohen scores: 0.49 
Threshold: 0.75 ,Senstivity: 0.43 ,Specificity: 1.00 ,Accuracy: 0.70 ,mcc scores: 0.51 ,roc-auc scores: 0.94 ,cohen scores: 0.41 
Threshold: 0.80 ,Senstivity: 0.33 ,Specificity: 1.00 ,Accuracy: 0.65 ,mcc scores: 0.43 ,roc-auc scores: 0.94 ,cohen scores: 0.32 
Threshold: 0.85 ,Senstivity: 0.17 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.30 ,roc-auc scores: 0.94 ,cohen scores: 0.16 
Threshold: 0.90 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.18 ,roc-auc scores: 0.94 ,cohen scores: 0.07 
Threshold: 0.95 ,Senstivity: 0.04 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.13 ,roc-auc scores: 0.94 ,cohen scores: 0.04 
