Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.52 ,mcc scores: 0.19 ,roc-auc scores: 0.94 ,cohen scores: 0.07 
Threshold: 0.20 ,Senstivity: 0.98 ,Specificity: 0.24 ,Accuracy: 0.60 ,mcc scores: 0.32 ,roc-auc scores: 0.94 ,cohen scores: 0.21 
Threshold: 0.25 ,Senstivity: 0.97 ,Specificity: 0.45 ,Accuracy: 0.70 ,mcc scores: 0.48 ,roc-auc scores: 0.94 ,cohen scores: 0.41 
Threshold: 0.30 ,Senstivity: 0.94 ,Specificity: 0.65 ,Accuracy: 0.79 ,mcc scores: 0.62 ,roc-auc scores: 0.94 ,cohen scores: 0.59 
Threshold: 0.35 ,Senstivity: 0.92 ,Specificity: 0.78 ,Accuracy: 0.84 ,mcc scores: 0.70 ,roc-auc scores: 0.94 ,cohen scores: 0.69 
Threshold: 0.40 ,Senstivity: 0.89 ,Specificity: 0.84 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.94 ,cohen scores: 0.72 
Threshold: 0.45 ,Senstivity: 0.85 ,Specificity: 0.91 ,Accuracy: 0.88 ,mcc scores: 0.76 ,roc-auc scores: 0.94 ,cohen scores: 0.76 
Threshold: 0.50 ,Senstivity: 0.80 ,Specificity: 0.95 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.94 ,cohen scores: 0.76 
Threshold: 0.55 ,Senstivity: 0.76 ,Specificity: 0.98 ,Accuracy: 0.87 ,mcc scores: 0.76 ,roc-auc scores: 0.94 ,cohen scores: 0.75 
Threshold: 0.60 ,Senstivity: 0.73 ,Specificity: 1.00 ,Accuracy: 0.87 ,mcc scores: 0.76 ,roc-auc scores: 0.94 ,cohen scores: 0.73 
Threshold: 0.65 ,Senstivity: 0.71 ,Specificity: 1.00 ,Accuracy: 0.86 ,mcc scores: 0.74 ,roc-auc scores: 0.94 ,cohen scores: 0.71 
Threshold: 0.70 ,Senstivity: 0.60 ,Specificity: 1.00 ,Accuracy: 0.81 ,mcc scores: 0.66 ,roc-auc scores: 0.94 ,cohen scores: 0.61 
Threshold: 0.75 ,Senstivity: 0.50 ,Specificity: 1.00 ,Accuracy: 0.76 ,mcc scores: 0.58 ,roc-auc scores: 0.94 ,cohen scores: 0.50 
Threshold: 0.80 ,Senstivity: 0.36 ,Specificity: 1.00 ,Accuracy: 0.69 ,mcc scores: 0.48 ,roc-auc scores: 0.94 ,cohen scores: 0.37 
Threshold: 0.85 ,Senstivity: 0.32 ,Specificity: 1.00 ,Accuracy: 0.67 ,mcc scores: 0.44 ,roc-auc scores: 0.94 ,cohen scores: 0.33 
Threshold: 0.90 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.63 ,mcc scores: 0.38 ,roc-auc scores: 0.94 ,cohen scores: 0.25 
Threshold: 0.95 ,Senstivity: 0.13 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.26 ,roc-auc scores: 0.94 ,cohen scores: 0.13 
