Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.91 ,cohen scores: 0.02 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.04 ,Accuracy: 0.52 ,mcc scores: 0.14 ,roc-auc scores: 0.91 ,cohen scores: 0.04 
Threshold: -1.10 ,Senstivity: 0.99 ,Specificity: 0.05 ,Accuracy: 0.52 ,mcc scores: 0.14 ,roc-auc scores: 0.91 ,cohen scores: 0.05 
Threshold: -1.00 ,Senstivity: 0.99 ,Specificity: 0.10 ,Accuracy: 0.55 ,mcc scores: 0.21 ,roc-auc scores: 0.91 ,cohen scores: 0.09 
Threshold: -0.90 ,Senstivity: 0.99 ,Specificity: 0.19 ,Accuracy: 0.59 ,mcc scores: 0.29 ,roc-auc scores: 0.91 ,cohen scores: 0.17 
Threshold: -0.80 ,Senstivity: 0.98 ,Specificity: 0.25 ,Accuracy: 0.61 ,mcc scores: 0.34 ,roc-auc scores: 0.91 ,cohen scores: 0.23 
Threshold: -0.70 ,Senstivity: 0.96 ,Specificity: 0.34 ,Accuracy: 0.65 ,mcc scores: 0.38 ,roc-auc scores: 0.91 ,cohen scores: 0.30 
Threshold: -0.60 ,Senstivity: 0.95 ,Specificity: 0.47 ,Accuracy: 0.71 ,mcc scores: 0.48 ,roc-auc scores: 0.91 ,cohen scores: 0.42 
Threshold: -0.50 ,Senstivity: 0.94 ,Specificity: 0.55 ,Accuracy: 0.74 ,mcc scores: 0.53 ,roc-auc scores: 0.91 ,cohen scores: 0.49 
Threshold: -0.40 ,Senstivity: 0.93 ,Specificity: 0.61 ,Accuracy: 0.77 ,mcc scores: 0.57 ,roc-auc scores: 0.91 ,cohen scores: 0.54 
Threshold: -0.30 ,Senstivity: 0.91 ,Specificity: 0.71 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.91 ,cohen scores: 0.62 
Threshold: -0.20 ,Senstivity: 0.88 ,Specificity: 0.77 ,Accuracy: 0.83 ,mcc scores: 0.66 ,roc-auc scores: 0.91 ,cohen scores: 0.65 
Threshold: -0.10 ,Senstivity: 0.84 ,Specificity: 0.81 ,Accuracy: 0.83 ,mcc scores: 0.66 ,roc-auc scores: 0.91 ,cohen scores: 0.66 
Threshold: 0.00 ,Senstivity: 0.82 ,Specificity: 0.84 ,Accuracy: 0.83 ,mcc scores: 0.66 ,roc-auc scores: 0.91 ,cohen scores: 0.66 
Threshold: 0.10 ,Senstivity: 0.76 ,Specificity: 0.88 ,Accuracy: 0.82 ,mcc scores: 0.65 ,roc-auc scores: 0.91 ,cohen scores: 0.64 
Threshold: 0.20 ,Senstivity: 0.70 ,Specificity: 0.92 ,Accuracy: 0.81 ,mcc scores: 0.64 ,roc-auc scores: 0.91 ,cohen scores: 0.63 
Threshold: 0.30 ,Senstivity: 0.68 ,Specificity: 0.94 ,Accuracy: 0.81 ,mcc scores: 0.64 ,roc-auc scores: 0.91 ,cohen scores: 0.62 
Threshold: 0.40 ,Senstivity: 0.65 ,Specificity: 0.95 ,Accuracy: 0.80 ,mcc scores: 0.63 ,roc-auc scores: 0.91 ,cohen scores: 0.60 
Threshold: 0.50 ,Senstivity: 0.58 ,Specificity: 0.96 ,Accuracy: 0.77 ,mcc scores: 0.59 ,roc-auc scores: 0.91 ,cohen scores: 0.54 
Threshold: 0.60 ,Senstivity: 0.49 ,Specificity: 0.98 ,Accuracy: 0.74 ,mcc scores: 0.55 ,roc-auc scores: 0.91 ,cohen scores: 0.48 
Threshold: 0.70 ,Senstivity: 0.44 ,Specificity: 0.98 ,Accuracy: 0.71 ,mcc scores: 0.50 ,roc-auc scores: 0.91 ,cohen scores: 0.42 
Threshold: 0.80 ,Senstivity: 0.31 ,Specificity: 1.00 ,Accuracy: 0.65 ,mcc scores: 0.43 ,roc-auc scores: 0.91 ,cohen scores: 0.31 
Threshold: 0.90 ,Senstivity: 0.16 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.30 ,roc-auc scores: 0.91 ,cohen scores: 0.16 
Threshold: 1.00 ,Senstivity: 0.09 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.21 ,roc-auc scores: 0.91 ,cohen scores: 0.09 
Threshold: 1.10 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.19 ,roc-auc scores: 0.91 ,cohen scores: 0.07 
Threshold: 1.20 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.13 ,roc-auc scores: 0.91 ,cohen scores: 0.03 
Threshold: 1.30 ,Senstivity: 0.02 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.91 ,cohen scores: 0.02 
Threshold: 1.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 1.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 1.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 1.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
