Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.96 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.96 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.96 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.53 ,mcc scores: 0.08 ,roc-auc scores: 0.96 ,cohen scores: 0.01 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.05 ,Accuracy: 0.55 ,mcc scores: 0.14 ,roc-auc scores: 0.96 ,cohen scores: 0.05 
Threshold: 0.25 ,Senstivity: 0.99 ,Specificity: 0.22 ,Accuracy: 0.62 ,mcc scores: 0.34 ,roc-auc scores: 0.96 ,cohen scores: 0.22 
Threshold: 0.30 ,Senstivity: 0.99 ,Specificity: 0.45 ,Accuracy: 0.73 ,mcc scores: 0.53 ,roc-auc scores: 0.96 ,cohen scores: 0.45 
Threshold: 0.35 ,Senstivity: 0.95 ,Specificity: 0.72 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.96 ,cohen scores: 0.67 
Threshold: 0.40 ,Senstivity: 0.89 ,Specificity: 0.84 ,Accuracy: 0.87 ,mcc scores: 0.73 ,roc-auc scores: 0.96 ,cohen scores: 0.73 
Threshold: 0.45 ,Senstivity: 0.85 ,Specificity: 0.93 ,Accuracy: 0.89 ,mcc scores: 0.78 ,roc-auc scores: 0.96 ,cohen scores: 0.77 
Threshold: 0.50 ,Senstivity: 0.80 ,Specificity: 0.97 ,Accuracy: 0.88 ,mcc scores: 0.78 ,roc-auc scores: 0.96 ,cohen scores: 0.76 
Threshold: 0.55 ,Senstivity: 0.74 ,Specificity: 0.99 ,Accuracy: 0.86 ,mcc scores: 0.75 ,roc-auc scores: 0.96 ,cohen scores: 0.72 
Threshold: 0.60 ,Senstivity: 0.69 ,Specificity: 0.99 ,Accuracy: 0.83 ,mcc scores: 0.71 ,roc-auc scores: 0.96 ,cohen scores: 0.67 
Threshold: 0.65 ,Senstivity: 0.61 ,Specificity: 0.99 ,Accuracy: 0.79 ,mcc scores: 0.64 ,roc-auc scores: 0.96 ,cohen scores: 0.59 
Threshold: 0.70 ,Senstivity: 0.55 ,Specificity: 1.00 ,Accuracy: 0.76 ,mcc scores: 0.60 ,roc-auc scores: 0.96 ,cohen scores: 0.53 
Threshold: 0.75 ,Senstivity: 0.51 ,Specificity: 1.00 ,Accuracy: 0.74 ,mcc scores: 0.58 ,roc-auc scores: 0.96 ,cohen scores: 0.50 
Threshold: 0.80 ,Senstivity: 0.41 ,Specificity: 1.00 ,Accuracy: 0.69 ,mcc scores: 0.50 ,roc-auc scores: 0.96 ,cohen scores: 0.40 
Threshold: 0.85 ,Senstivity: 0.31 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.42 ,roc-auc scores: 0.96 ,cohen scores: 0.29 
Threshold: 0.90 ,Senstivity: 0.19 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.32 ,roc-auc scores: 0.96 ,cohen scores: 0.19 
Threshold: 0.95 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.19 ,roc-auc scores: 0.96 ,cohen scores: 0.07 
