Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.53 ,mcc scores: 0.10 ,roc-auc scores: 0.95 ,cohen scores: 0.02 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.54 ,mcc scores: 0.12 ,roc-auc scores: 0.95 ,cohen scores: 0.03 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.10 ,Accuracy: 0.57 ,mcc scores: 0.24 ,roc-auc scores: 0.95 ,cohen scores: 0.11 
Threshold: 0.30 ,Senstivity: 0.98 ,Specificity: 0.32 ,Accuracy: 0.67 ,mcc scores: 0.41 ,roc-auc scores: 0.95 ,cohen scores: 0.31 
Threshold: 0.35 ,Senstivity: 0.96 ,Specificity: 0.64 ,Accuracy: 0.81 ,mcc scores: 0.64 ,roc-auc scores: 0.95 ,cohen scores: 0.61 
Threshold: 0.40 ,Senstivity: 0.92 ,Specificity: 0.80 ,Accuracy: 0.86 ,mcc scores: 0.73 ,roc-auc scores: 0.95 ,cohen scores: 0.72 
Threshold: 0.45 ,Senstivity: 0.90 ,Specificity: 0.87 ,Accuracy: 0.89 ,mcc scores: 0.77 ,roc-auc scores: 0.95 ,cohen scores: 0.77 
Threshold: 0.50 ,Senstivity: 0.82 ,Specificity: 0.95 ,Accuracy: 0.88 ,mcc scores: 0.78 ,roc-auc scores: 0.95 ,cohen scores: 0.77 
Threshold: 0.55 ,Senstivity: 0.77 ,Specificity: 0.98 ,Accuracy: 0.87 ,mcc scores: 0.76 ,roc-auc scores: 0.95 ,cohen scores: 0.74 
Threshold: 0.60 ,Senstivity: 0.69 ,Specificity: 0.99 ,Accuracy: 0.83 ,mcc scores: 0.71 ,roc-auc scores: 0.95 ,cohen scores: 0.67 
Threshold: 0.65 ,Senstivity: 0.64 ,Specificity: 0.99 ,Accuracy: 0.81 ,mcc scores: 0.67 ,roc-auc scores: 0.95 ,cohen scores: 0.62 
Threshold: 0.70 ,Senstivity: 0.55 ,Specificity: 1.00 ,Accuracy: 0.77 ,mcc scores: 0.61 ,roc-auc scores: 0.95 ,cohen scores: 0.54 
Threshold: 0.75 ,Senstivity: 0.47 ,Specificity: 1.00 ,Accuracy: 0.72 ,mcc scores: 0.54 ,roc-auc scores: 0.95 ,cohen scores: 0.46 
Threshold: 0.80 ,Senstivity: 0.36 ,Specificity: 1.00 ,Accuracy: 0.66 ,mcc scores: 0.46 ,roc-auc scores: 0.95 ,cohen scores: 0.35 
Threshold: 0.85 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.36 ,roc-auc scores: 0.95 ,cohen scores: 0.23 
Threshold: 0.90 ,Senstivity: 0.11 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.23 ,roc-auc scores: 0.95 ,cohen scores: 0.10 
Threshold: 0.95 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.15 ,roc-auc scores: 0.95 ,cohen scores: 0.05 
