extra_trees_bin_nc5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.94,0.00
0.05,1.00,0.00,0.50,0.00,0.94,0.00
0.10,1.00,0.03,0.51,0.13,0.94,0.03
0.15,1.00,0.11,0.55,0.24,0.94,0.11
0.20,0.99,0.22,0.60,0.33,0.94,0.21
0.25,0.96,0.48,0.72,0.50,0.94,0.44
0.30,0.92,0.72,0.82,0.65,0.94,0.64
0.35,0.89,0.78,0.84,0.68,0.94,0.67
0.40,0.88,0.85,0.87,0.73,0.94,0.73
0.45,0.85,0.90,0.88,0.75,0.94,0.75
0.50,0.82,0.92,0.87,0.75,0.94,0.74
0.55,0.78,0.95,0.87,0.74,0.94,0.73
0.60,0.74,0.98,0.86,0.74,0.94,0.72
0.65,0.70,0.99,0.85,0.73,0.94,0.70
0.70,0.68,0.99,0.84,0.71,0.94,0.68
0.75,0.61,0.99,0.80,0.66,0.94,0.61
0.80,0.56,0.99,0.78,0.62,0.94,0.56
0.85,0.50,1.00,0.75,0.58,0.94,0.50
0.90,0.42,1.00,0.71,0.52,0.94,0.42
0.95,0.22,1.00,0.61,0.35,0.94,0.22

extra_trees_kfold_bin_nc5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.90,0.00
0.05,1.00,0.00,0.48,0.00,0.89,0.00
0.10,1.00,0.07,0.52,0.19,0.89,0.07
0.15,1.00,0.10,0.53,0.23,0.89,0.10
0.20,0.97,0.30,0.62,0.36,0.88,0.27
0.25,0.95,0.47,0.70,0.47,0.89,0.41
0.30,0.97,0.60,0.78,0.61,0.90,0.56
0.35,0.95,0.62,0.78,0.60,0.90,0.56
0.40,0.92,0.68,0.79,0.61,0.90,0.59
0.45,0.92,0.78,0.84,0.70,0.92,0.69
0.50,0.84,0.78,0.81,0.61,0.90,0.61
0.55,0.81,0.82,0.82,0.64,0.90,0.64
0.60,0.76,0.90,0.83,0.67,0.90,0.66
0.65,0.73,0.85,0.79,0.59,0.90,0.58
0.70,0.59,0.95,0.78,0.59,0.90,0.55
0.75,0.57,0.93,0.75,0.53,0.90,0.50
0.80,0.46,0.97,0.73,0.51,0.88,0.44
0.85,0.43,0.97,0.71,0.49,0.88,0.42
0.90,0.24,0.97,0.62,0.32,0.89,0.22
0.95,0.14,0.97,0.57,0.21,0.91,0.11

knn_bin_nc5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.72,0.00
0.05,0.95,0.49,0.72,0.49,0.72,0.44
0.10,0.95,0.49,0.72,0.49,0.72,0.44
0.15,0.95,0.49,0.72,0.49,0.72,0.44
0.20,0.95,0.49,0.72,0.49,0.72,0.44
0.25,0.95,0.49,0.72,0.49,0.72,0.44
0.30,0.95,0.49,0.72,0.49,0.72,0.44
0.35,0.95,0.49,0.72,0.49,0.72,0.44
0.40,0.95,0.49,0.72,0.49,0.72,0.44
0.45,0.95,0.49,0.72,0.49,0.72,0.44
0.50,0.95,0.49,0.72,0.49,0.72,0.44
0.55,0.95,0.49,0.72,0.49,0.72,0.44
0.60,0.95,0.49,0.72,0.49,0.72,0.44
0.65,0.95,0.49,0.72,0.49,0.72,0.44
0.70,0.95,0.49,0.72,0.49,0.72,0.44
0.75,0.95,0.49,0.72,0.49,0.72,0.44
0.80,0.95,0.49,0.72,0.49,0.72,0.44
0.85,0.95,0.49,0.72,0.49,0.72,0.44
