Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.78 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.85 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.82 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.84 ,cohen scores: 0.00 
Threshold: 0.25 ,Senstivity: 0.95 ,Specificity: 0.30 ,Accuracy: 0.61 ,mcc scores: 0.32 ,roc-auc scores: 0.86 ,cohen scores: 0.24 
Threshold: 0.30 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.51 ,mcc scores: 0.16 ,roc-auc scores: 0.89 ,cohen scores: 0.05 
Threshold: 0.35 ,Senstivity: 0.89 ,Specificity: 0.23 ,Accuracy: 0.55 ,mcc scores: 0.16 ,roc-auc scores: 0.81 ,cohen scores: 0.11 
Threshold: 0.40 ,Senstivity: 0.84 ,Specificity: 0.55 ,Accuracy: 0.69 ,mcc scores: 0.40 ,roc-auc scores: 0.82 ,cohen scores: 0.38 
Threshold: 0.45 ,Senstivity: 0.86 ,Specificity: 0.57 ,Accuracy: 0.71 ,mcc scores: 0.46 ,roc-auc scores: 0.79 ,cohen scores: 0.43 
Threshold: 0.50 ,Senstivity: 0.73 ,Specificity: 0.88 ,Accuracy: 0.81 ,mcc scores: 0.61 ,roc-auc scores: 0.85 ,cohen scores: 0.61 
Threshold: 0.55 ,Senstivity: 0.57 ,Specificity: 0.95 ,Accuracy: 0.77 ,mcc scores: 0.56 ,roc-auc scores: 0.85 ,cohen scores: 0.53 
Threshold: 0.60 ,Senstivity: 0.35 ,Specificity: 0.97 ,Accuracy: 0.68 ,mcc scores: 0.42 ,roc-auc scores: 0.79 ,cohen scores: 0.33 
Threshold: 0.65 ,Senstivity: 0.24 ,Specificity: 0.97 ,Accuracy: 0.62 ,mcc scores: 0.32 ,roc-auc scores: 0.72 ,cohen scores: 0.22 
Threshold: 0.70 ,Senstivity: 0.38 ,Specificity: 1.00 ,Accuracy: 0.70 ,mcc scores: 0.49 ,roc-auc scores: 0.83 ,cohen scores: 0.39 
Threshold: 0.75 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.69 ,cohen scores: 0.08 
Threshold: 0.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: 0.85 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.79 ,cohen scores: 0.00 
Threshold: 0.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.82 ,cohen scores: 0.00 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.82 ,cohen scores: 0.00 
