Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.07 ,roc-auc scores: 0.95 ,cohen scores: 0.01 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.95 ,cohen scores: 0.02 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.95 ,cohen scores: 0.02 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.53 ,mcc scores: 0.19 ,roc-auc scores: 0.95 ,cohen scores: 0.07 
Threshold: -1.30 ,Senstivity: 0.99 ,Specificity: 0.11 ,Accuracy: 0.55 ,mcc scores: 0.23 ,roc-auc scores: 0.95 ,cohen scores: 0.11 
Threshold: -1.20 ,Senstivity: 0.99 ,Specificity: 0.15 ,Accuracy: 0.57 ,mcc scores: 0.28 ,roc-auc scores: 0.95 ,cohen scores: 0.15 
Threshold: -1.10 ,Senstivity: 0.99 ,Specificity: 0.24 ,Accuracy: 0.62 ,mcc scores: 0.36 ,roc-auc scores: 0.95 ,cohen scores: 0.24 
Threshold: -1.00 ,Senstivity: 0.98 ,Specificity: 0.34 ,Accuracy: 0.66 ,mcc scores: 0.41 ,roc-auc scores: 0.95 ,cohen scores: 0.32 
Threshold: -0.90 ,Senstivity: 0.97 ,Specificity: 0.45 ,Accuracy: 0.71 ,mcc scores: 0.50 ,roc-auc scores: 0.95 ,cohen scores: 0.42 
Threshold: -0.80 ,Senstivity: 0.97 ,Specificity: 0.54 ,Accuracy: 0.75 ,mcc scores: 0.56 ,roc-auc scores: 0.95 ,cohen scores: 0.51 
Threshold: -0.70 ,Senstivity: 0.95 ,Specificity: 0.64 ,Accuracy: 0.80 ,mcc scores: 0.63 ,roc-auc scores: 0.95 ,cohen scores: 0.60 
Threshold: -0.60 ,Senstivity: 0.93 ,Specificity: 0.71 ,Accuracy: 0.82 ,mcc scores: 0.65 ,roc-auc scores: 0.95 ,cohen scores: 0.64 
Threshold: -0.50 ,Senstivity: 0.92 ,Specificity: 0.74 ,Accuracy: 0.83 ,mcc scores: 0.68 ,roc-auc scores: 0.95 ,cohen scores: 0.66 
Threshold: -0.40 ,Senstivity: 0.91 ,Specificity: 0.81 ,Accuracy: 0.86 ,mcc scores: 0.73 ,roc-auc scores: 0.95 ,cohen scores: 0.73 
Threshold: -0.30 ,Senstivity: 0.90 ,Specificity: 0.85 ,Accuracy: 0.87 ,mcc scores: 0.75 ,roc-auc scores: 0.95 ,cohen scores: 0.75 
Threshold: -0.20 ,Senstivity: 0.88 ,Specificity: 0.88 ,Accuracy: 0.88 ,mcc scores: 0.76 ,roc-auc scores: 0.95 ,cohen scores: 0.76 
Threshold: -0.10 ,Senstivity: 0.85 ,Specificity: 0.91 ,Accuracy: 0.88 ,mcc scores: 0.76 ,roc-auc scores: 0.95 ,cohen scores: 0.76 
Threshold: 0.00 ,Senstivity: 0.81 ,Specificity: 0.95 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.95 ,cohen scores: 0.76 
Threshold: 0.10 ,Senstivity: 0.78 ,Specificity: 0.97 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.95 ,cohen scores: 0.75 
Threshold: 0.20 ,Senstivity: 0.77 ,Specificity: 0.98 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.95 ,cohen scores: 0.75 
Threshold: 0.30 ,Senstivity: 0.75 ,Specificity: 0.99 ,Accuracy: 0.87 ,mcc scores: 0.77 ,roc-auc scores: 0.95 ,cohen scores: 0.75 
