Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.52 ,mcc scores: 0.15 ,roc-auc scores: 0.95 ,cohen scores: 0.05 
Threshold: 0.25 ,Senstivity: 0.99 ,Specificity: 0.16 ,Accuracy: 0.58 ,mcc scores: 0.28 ,roc-auc scores: 0.95 ,cohen scores: 0.15 
Threshold: 0.30 ,Senstivity: 0.99 ,Specificity: 0.37 ,Accuracy: 0.68 ,mcc scores: 0.47 ,roc-auc scores: 0.95 ,cohen scores: 0.37 
Threshold: 0.35 ,Senstivity: 0.96 ,Specificity: 0.51 ,Accuracy: 0.73 ,mcc scores: 0.53 ,roc-auc scores: 0.95 ,cohen scores: 0.47 
Threshold: 0.40 ,Senstivity: 0.95 ,Specificity: 0.71 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.95 ,cohen scores: 0.65 
Threshold: 0.45 ,Senstivity: 0.92 ,Specificity: 0.84 ,Accuracy: 0.88 ,mcc scores: 0.76 ,roc-auc scores: 0.95 ,cohen scores: 0.76 
Threshold: 0.50 ,Senstivity: 0.87 ,Specificity: 0.89 ,Accuracy: 0.88 ,mcc scores: 0.76 ,roc-auc scores: 0.95 ,cohen scores: 0.76 
Threshold: 0.55 ,Senstivity: 0.79 ,Specificity: 0.96 ,Accuracy: 0.88 ,mcc scores: 0.76 ,roc-auc scores: 0.95 ,cohen scores: 0.75 
Threshold: 0.60 ,Senstivity: 0.68 ,Specificity: 0.99 ,Accuracy: 0.83 ,mcc scores: 0.70 ,roc-auc scores: 0.95 ,cohen scores: 0.67 
Threshold: 0.65 ,Senstivity: 0.58 ,Specificity: 1.00 ,Accuracy: 0.79 ,mcc scores: 0.64 ,roc-auc scores: 0.95 ,cohen scores: 0.58 
Threshold: 0.70 ,Senstivity: 0.42 ,Specificity: 1.00 ,Accuracy: 0.71 ,mcc scores: 0.52 ,roc-auc scores: 0.95 ,cohen scores: 0.43 
Threshold: 0.75 ,Senstivity: 0.29 ,Specificity: 1.00 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.95 ,cohen scores: 0.29 
Threshold: 0.80 ,Senstivity: 0.21 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.34 ,roc-auc scores: 0.95 ,cohen scores: 0.21 
Threshold: 0.85 ,Senstivity: 0.13 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.26 ,roc-auc scores: 0.95 ,cohen scores: 0.13 
Threshold: 0.90 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.07 ,roc-auc scores: 0.95 ,cohen scores: 0.01 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
