Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.15 ,Accuracy: 0.56 ,mcc scores: 0.28 ,roc-auc scores: 0.93 ,cohen scores: 0.15 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.25 ,Accuracy: 0.61 ,mcc scores: 0.37 ,roc-auc scores: 0.96 ,cohen scores: 0.24 
Threshold: 0.30 ,Senstivity: 1.00 ,Specificity: 0.38 ,Accuracy: 0.68 ,mcc scores: 0.47 ,roc-auc scores: 0.95 ,cohen scores: 0.37 
Threshold: 0.35 ,Senstivity: 0.97 ,Specificity: 0.57 ,Accuracy: 0.77 ,mcc scores: 0.59 ,roc-auc scores: 0.94 ,cohen scores: 0.54 
Threshold: 0.40 ,Senstivity: 0.92 ,Specificity: 0.70 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.92 ,cohen scores: 0.61 
Threshold: 0.45 ,Senstivity: 0.89 ,Specificity: 0.90 ,Accuracy: 0.90 ,mcc scores: 0.79 ,roc-auc scores: 0.93 ,cohen scores: 0.79 
Threshold: 0.50 ,Senstivity: 0.81 ,Specificity: 0.90 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.94 ,cohen scores: 0.71 
Threshold: 0.55 ,Senstivity: 0.78 ,Specificity: 0.93 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.92 ,cohen scores: 0.71 
Threshold: 0.60 ,Senstivity: 0.65 ,Specificity: 0.97 ,Accuracy: 0.82 ,mcc scores: 0.67 ,roc-auc scores: 0.94 ,cohen scores: 0.63 
Threshold: 0.65 ,Senstivity: 0.59 ,Specificity: 0.97 ,Accuracy: 0.79 ,mcc scores: 0.62 ,roc-auc scores: 0.94 ,cohen scores: 0.58 
Threshold: 0.70 ,Senstivity: 0.30 ,Specificity: 1.00 ,Accuracy: 0.66 ,mcc scores: 0.42 ,roc-auc scores: 0.94 ,cohen scores: 0.31 
Threshold: 0.75 ,Senstivity: 0.27 ,Specificity: 1.00 ,Accuracy: 0.65 ,mcc scores: 0.40 ,roc-auc scores: 0.96 ,cohen scores: 0.28 
Threshold: 0.80 ,Senstivity: 0.19 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.33 ,roc-auc scores: 0.91 ,cohen scores: 0.20 
Threshold: 0.85 ,Senstivity: 0.11 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.24 ,roc-auc scores: 0.92 ,cohen scores: 0.11 
Threshold: 0.90 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.17 ,roc-auc scores: 0.94 ,cohen scores: 0.06 
Threshold: 0.95 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.92 ,cohen scores: 0.03 
