Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.87 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.15 ,Accuracy: 0.56 ,mcc scores: 0.28 ,roc-auc scores: 0.86 ,cohen scores: 0.15 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.28 ,Accuracy: 0.62 ,mcc scores: 0.39 ,roc-auc scores: 0.84 ,cohen scores: 0.27 
Threshold: 0.15 ,Senstivity: 0.89 ,Specificity: 0.55 ,Accuracy: 0.71 ,mcc scores: 0.47 ,roc-auc scores: 0.87 ,cohen scores: 0.44 
Threshold: 0.20 ,Senstivity: 0.86 ,Specificity: 0.57 ,Accuracy: 0.71 ,mcc scores: 0.46 ,roc-auc scores: 0.82 ,cohen scores: 0.43 
Threshold: 0.25 ,Senstivity: 0.86 ,Specificity: 0.60 ,Accuracy: 0.73 ,mcc scores: 0.48 ,roc-auc scores: 0.84 ,cohen scores: 0.46 
Threshold: 0.30 ,Senstivity: 1.00 ,Specificity: 0.40 ,Accuracy: 0.69 ,mcc scores: 0.49 ,roc-auc scores: 0.84 ,cohen scores: 0.39 
Threshold: 0.35 ,Senstivity: 0.84 ,Specificity: 0.72 ,Accuracy: 0.78 ,mcc scores: 0.56 ,roc-auc scores: 0.86 ,cohen scores: 0.56 
Threshold: 0.40 ,Senstivity: 0.76 ,Specificity: 0.75 ,Accuracy: 0.75 ,mcc scores: 0.51 ,roc-auc scores: 0.79 ,cohen scores: 0.51 
Threshold: 0.45 ,Senstivity: 0.86 ,Specificity: 0.78 ,Accuracy: 0.82 ,mcc scores: 0.64 ,roc-auc scores: 0.87 ,cohen scores: 0.64 
Threshold: 0.50 ,Senstivity: 0.76 ,Specificity: 0.88 ,Accuracy: 0.82 ,mcc scores: 0.64 ,roc-auc scores: 0.90 ,cohen scores: 0.63 
Threshold: 0.55 ,Senstivity: 0.62 ,Specificity: 0.85 ,Accuracy: 0.74 ,mcc scores: 0.49 ,roc-auc scores: 0.81 ,cohen scores: 0.48 
Threshold: 0.60 ,Senstivity: 0.70 ,Specificity: 0.88 ,Accuracy: 0.79 ,mcc scores: 0.59 ,roc-auc scores: 0.87 ,cohen scores: 0.58 
Threshold: 0.65 ,Senstivity: 0.59 ,Specificity: 0.93 ,Accuracy: 0.77 ,mcc scores: 0.55 ,roc-auc scores: 0.86 ,cohen scores: 0.53 
Threshold: 0.70 ,Senstivity: 0.59 ,Specificity: 0.90 ,Accuracy: 0.75 ,mcc scores: 0.52 ,roc-auc scores: 0.86 ,cohen scores: 0.50 
Threshold: 0.75 ,Senstivity: 0.62 ,Specificity: 0.90 ,Accuracy: 0.77 ,mcc scores: 0.55 ,roc-auc scores: 0.85 ,cohen scores: 0.53 
Threshold: 0.80 ,Senstivity: 0.35 ,Specificity: 0.90 ,Accuracy: 0.64 ,mcc scores: 0.30 ,roc-auc scores: 0.83 ,cohen scores: 0.26 
Threshold: 0.85 ,Senstivity: 0.30 ,Specificity: 0.95 ,Accuracy: 0.64 ,mcc scores: 0.33 ,roc-auc scores: 0.82 ,cohen scores: 0.25 
Threshold: 0.90 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.27 ,roc-auc scores: 0.85 ,cohen scores: 0.14 
Threshold: 0.95 ,Senstivity: 0.27 ,Specificity: 0.97 ,Accuracy: 0.64 ,mcc scores: 0.35 ,roc-auc scores: 0.88 ,cohen scores: 0.25 
