Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.93 ,cohen scores: 0.01 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.49 ,mcc scores: 0.08 ,roc-auc scores: 0.93 ,cohen scores: 0.01 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.50 ,mcc scores: 0.11 ,roc-auc scores: 0.93 ,cohen scores: 0.03 
Threshold: -1.60 ,Senstivity: 0.99 ,Specificity: 0.04 ,Accuracy: 0.50 ,mcc scores: 0.08 ,roc-auc scores: 0.93 ,cohen scores: 0.02 
Threshold: -1.50 ,Senstivity: 0.99 ,Specificity: 0.07 ,Accuracy: 0.51 ,mcc scores: 0.13 ,roc-auc scores: 0.93 ,cohen scores: 0.05 
Threshold: -1.40 ,Senstivity: 0.99 ,Specificity: 0.07 ,Accuracy: 0.52 ,mcc scores: 0.14 ,roc-auc scores: 0.93 ,cohen scores: 0.06 
Threshold: -1.30 ,Senstivity: 0.98 ,Specificity: 0.12 ,Accuracy: 0.54 ,mcc scores: 0.19 ,roc-auc scores: 0.93 ,cohen scores: 0.09 
Threshold: -1.20 ,Senstivity: 0.98 ,Specificity: 0.14 ,Accuracy: 0.55 ,mcc scores: 0.21 ,roc-auc scores: 0.93 ,cohen scores: 0.11 
Threshold: -1.10 ,Senstivity: 0.98 ,Specificity: 0.22 ,Accuracy: 0.59 ,mcc scores: 0.30 ,roc-auc scores: 0.93 ,cohen scores: 0.19 
Threshold: -1.00 ,Senstivity: 0.97 ,Specificity: 0.30 ,Accuracy: 0.62 ,mcc scores: 0.36 ,roc-auc scores: 0.93 ,cohen scores: 0.26 
Threshold: -0.90 ,Senstivity: 0.97 ,Specificity: 0.34 ,Accuracy: 0.64 ,mcc scores: 0.39 ,roc-auc scores: 0.93 ,cohen scores: 0.30 
Threshold: -0.80 ,Senstivity: 0.97 ,Specificity: 0.43 ,Accuracy: 0.69 ,mcc scores: 0.47 ,roc-auc scores: 0.93 ,cohen scores: 0.39 
Threshold: -0.70 ,Senstivity: 0.97 ,Specificity: 0.51 ,Accuracy: 0.73 ,mcc scores: 0.53 ,roc-auc scores: 0.93 ,cohen scores: 0.47 
Threshold: -0.60 ,Senstivity: 0.95 ,Specificity: 0.55 ,Accuracy: 0.74 ,mcc scores: 0.54 ,roc-auc scores: 0.93 ,cohen scores: 0.49 
Threshold: -0.50 ,Senstivity: 0.92 ,Specificity: 0.61 ,Accuracy: 0.76 ,mcc scores: 0.55 ,roc-auc scores: 0.93 ,cohen scores: 0.52 
Threshold: -0.40 ,Senstivity: 0.92 ,Specificity: 0.70 ,Accuracy: 0.81 ,mcc scores: 0.64 ,roc-auc scores: 0.93 ,cohen scores: 0.62 
Threshold: -0.30 ,Senstivity: 0.89 ,Specificity: 0.77 ,Accuracy: 0.83 ,mcc scores: 0.66 ,roc-auc scores: 0.93 ,cohen scores: 0.66 
Threshold: -0.20 ,Senstivity: 0.87 ,Specificity: 0.86 ,Accuracy: 0.87 ,mcc scores: 0.74 ,roc-auc scores: 0.93 ,cohen scores: 0.74 
Threshold: -0.10 ,Senstivity: 0.85 ,Specificity: 0.91 ,Accuracy: 0.88 ,mcc scores: 0.76 ,roc-auc scores: 0.93 ,cohen scores: 0.76 
Threshold: 0.00 ,Senstivity: 0.85 ,Specificity: 0.94 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.93 ,cohen scores: 0.79 
Threshold: 0.10 ,Senstivity: 0.84 ,Specificity: 0.95 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.93 ,cohen scores: 0.79 
Threshold: 0.20 ,Senstivity: 0.81 ,Specificity: 0.97 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.93 ,cohen scores: 0.78 
Threshold: 0.30 ,Senstivity: 0.79 ,Specificity: 0.99 ,Accuracy: 0.89 ,mcc scores: 0.80 ,roc-auc scores: 0.93 ,cohen scores: 0.78 
Threshold: 0.40 ,Senstivity: 0.76 ,Specificity: 0.99 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.93 ,cohen scores: 0.75 
Threshold: 0.50 ,Senstivity: 0.71 ,Specificity: 0.99 ,Accuracy: 0.86 ,mcc scores: 0.74 ,roc-auc scores: 0.93 ,cohen scores: 0.71 
Threshold: 0.60 ,Senstivity: 0.68 ,Specificity: 0.99 ,Accuracy: 0.84 ,mcc scores: 0.71 ,roc-auc scores: 0.93 ,cohen scores: 0.68 
Threshold: 0.70 ,Senstivity: 0.60 ,Specificity: 0.99 ,Accuracy: 0.80 ,mcc scores: 0.65 ,roc-auc scores: 0.93 ,cohen scores: 0.60 
Threshold: 0.80 ,Senstivity: 0.56 ,Specificity: 1.00 ,Accuracy: 0.79 ,mcc scores: 0.63 ,roc-auc scores: 0.93 ,cohen scores: 0.57 
Threshold: 0.90 ,Senstivity: 0.52 ,Specificity: 1.00 ,Accuracy: 0.77 ,mcc scores: 0.60 ,roc-auc scores: 0.93 ,cohen scores: 0.52 
Threshold: 1.00 ,Senstivity: 0.41 ,Specificity: 1.00 ,Accuracy: 0.72 ,mcc scores: 0.52 ,roc-auc scores: 0.93 ,cohen scores: 0.42 
Threshold: 1.10 ,Senstivity: 0.25 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.93 ,cohen scores: 0.26 
Threshold: 1.20 ,Senstivity: 0.19 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.33 ,roc-auc scores: 0.93 ,cohen scores: 0.19 
Threshold: 1.30 ,Senstivity: 0.13 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.27 ,roc-auc scores: 0.93 ,cohen scores: 0.14 
