Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.95 ,cohen scores: 0.01 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.49 ,mcc scores: 0.10 ,roc-auc scores: 0.95 ,cohen scores: 0.02 
Threshold: -1.90 ,Senstivity: 0.99 ,Specificity: 0.04 ,Accuracy: 0.50 ,mcc scores: 0.11 ,roc-auc scores: 0.95 ,cohen scores: 0.03 
Threshold: -1.80 ,Senstivity: 0.99 ,Specificity: 0.09 ,Accuracy: 0.52 ,mcc scores: 0.16 ,roc-auc scores: 0.95 ,cohen scores: 0.07 
Threshold: -1.70 ,Senstivity: 0.99 ,Specificity: 0.14 ,Accuracy: 0.55 ,mcc scores: 0.23 ,roc-auc scores: 0.95 ,cohen scores: 0.12 
Threshold: -1.60 ,Senstivity: 0.99 ,Specificity: 0.19 ,Accuracy: 0.58 ,mcc scores: 0.29 ,roc-auc scores: 0.95 ,cohen scores: 0.17 
Threshold: -1.50 ,Senstivity: 0.99 ,Specificity: 0.26 ,Accuracy: 0.61 ,mcc scores: 0.35 ,roc-auc scores: 0.95 ,cohen scores: 0.24 
Threshold: -1.40 ,Senstivity: 0.99 ,Specificity: 0.32 ,Accuracy: 0.64 ,mcc scores: 0.40 ,roc-auc scores: 0.95 ,cohen scores: 0.30 
Threshold: -1.30 ,Senstivity: 0.97 ,Specificity: 0.37 ,Accuracy: 0.66 ,mcc scores: 0.42 ,roc-auc scores: 0.95 ,cohen scores: 0.33 
Threshold: -1.20 ,Senstivity: 0.97 ,Specificity: 0.44 ,Accuracy: 0.70 ,mcc scores: 0.48 ,roc-auc scores: 0.95 ,cohen scores: 0.41 
Threshold: -1.10 ,Senstivity: 0.97 ,Specificity: 0.49 ,Accuracy: 0.72 ,mcc scores: 0.52 ,roc-auc scores: 0.95 ,cohen scores: 0.45 
Threshold: -1.00 ,Senstivity: 0.97 ,Specificity: 0.55 ,Accuracy: 0.75 ,mcc scores: 0.57 ,roc-auc scores: 0.95 ,cohen scores: 0.51 
