Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -0.90 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.53 ,mcc scores: 0.13 ,roc-auc scores: 0.90 ,cohen scores: 0.04 
Threshold: -0.80 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.54 ,mcc scores: 0.19 ,roc-auc scores: 0.90 ,cohen scores: 0.07 
Threshold: -0.70 ,Senstivity: 1.00 ,Specificity: 0.14 ,Accuracy: 0.58 ,mcc scores: 0.27 ,roc-auc scores: 0.90 ,cohen scores: 0.14 
Threshold: -0.60 ,Senstivity: 0.97 ,Specificity: 0.24 ,Accuracy: 0.61 ,mcc scores: 0.30 ,roc-auc scores: 0.90 ,cohen scores: 0.21 
Threshold: -0.50 ,Senstivity: 0.93 ,Specificity: 0.38 ,Accuracy: 0.66 ,mcc scores: 0.38 ,roc-auc scores: 0.90 ,cohen scores: 0.32 
Threshold: -0.40 ,Senstivity: 0.93 ,Specificity: 0.59 ,Accuracy: 0.76 ,mcc scores: 0.56 ,roc-auc scores: 0.90 ,cohen scores: 0.52 
Threshold: -0.30 ,Senstivity: 0.93 ,Specificity: 0.66 ,Accuracy: 0.80 ,mcc scores: 0.61 ,roc-auc scores: 0.90 ,cohen scores: 0.59 
Threshold: -0.20 ,Senstivity: 0.87 ,Specificity: 0.76 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.63 
Threshold: -0.10 ,Senstivity: 0.80 ,Specificity: 0.83 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.63 
Threshold: 0.00 ,Senstivity: 0.70 ,Specificity: 0.97 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.90 ,cohen scores: 0.66 
Threshold: 0.10 ,Senstivity: 0.70 ,Specificity: 0.97 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.90 ,cohen scores: 0.66 
Threshold: 0.20 ,Senstivity: 0.67 ,Specificity: 0.97 ,Accuracy: 0.81 ,mcc scores: 0.66 ,roc-auc scores: 0.90 ,cohen scores: 0.63 
Threshold: 0.30 ,Senstivity: 0.63 ,Specificity: 0.97 ,Accuracy: 0.80 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.60 
Threshold: 0.40 ,Senstivity: 0.60 ,Specificity: 1.00 ,Accuracy: 0.80 ,mcc scores: 0.65 ,roc-auc scores: 0.90 ,cohen scores: 0.60 
Threshold: 0.50 ,Senstivity: 0.60 ,Specificity: 1.00 ,Accuracy: 0.80 ,mcc scores: 0.65 ,roc-auc scores: 0.90 ,cohen scores: 0.60 
Threshold: 0.60 ,Senstivity: 0.53 ,Specificity: 1.00 ,Accuracy: 0.76 ,mcc scores: 0.60 ,roc-auc scores: 0.90 ,cohen scores: 0.53 
Threshold: 0.70 ,Senstivity: 0.50 ,Specificity: 1.00 ,Accuracy: 0.75 ,mcc scores: 0.57 ,roc-auc scores: 0.90 ,cohen scores: 0.50 
Threshold: 0.80 ,Senstivity: 0.43 ,Specificity: 1.00 ,Accuracy: 0.71 ,mcc scores: 0.52 ,roc-auc scores: 0.90 ,cohen scores: 0.43 
Threshold: 0.90 ,Senstivity: 0.37 ,Specificity: 1.00 ,Accuracy: 0.68 ,mcc scores: 0.47 ,roc-auc scores: 0.90 ,cohen scores: 0.36 
Threshold: 1.00 ,Senstivity: 0.17 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.30 ,roc-auc scores: 0.90 ,cohen scores: 0.16 
Threshold: 1.10 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.13 ,roc-auc scores: 0.90 ,cohen scores: 0.03 
Threshold: 1.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
