extra_trees_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.97,0.00
0.05,1.00,0.24,0.62,0.37,0.97,0.24
0.10,1.00,0.40,0.70,0.50,0.97,0.40
0.15,0.99,0.56,0.77,0.61,0.97,0.55
0.20,0.98,0.67,0.83,0.69,0.97,0.65
0.25,0.97,0.74,0.86,0.73,0.97,0.71
0.30,0.96,0.78,0.87,0.75,0.97,0.74
0.35,0.95,0.84,0.89,0.79,0.97,0.79
0.40,0.93,0.87,0.90,0.81,0.97,0.80
0.45,0.90,0.91,0.91,0.81,0.97,0.81
0.50,0.89,0.93,0.91,0.82,0.97,0.82
0.55,0.88,0.95,0.91,0.83,0.97,0.83
0.60,0.85,0.96,0.91,0.82,0.97,0.81
0.65,0.85,0.97,0.91,0.83,0.97,0.82
0.70,0.82,0.98,0.90,0.82,0.97,0.81
0.75,0.76,0.99,0.88,0.78,0.97,0.76
0.80,0.72,0.99,0.86,0.74,0.97,0.71
0.85,0.69,0.99,0.84,0.72,0.97,0.68
0.90,0.64,0.99,0.82,0.68,0.97,0.63
0.95,0.52,0.99,0.76,0.59,0.97,0.52

extra_trees_kfold_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.96,0.00
0.05,1.00,0.12,0.55,0.25,0.95,0.12
0.10,0.97,0.10,0.52,0.15,0.95,0.07
0.15,0.97,0.47,0.71,0.51,0.95,0.44
0.20,0.97,0.68,0.82,0.67,0.95,0.64
0.25,0.95,0.68,0.81,0.64,0.95,0.61
0.30,0.95,0.88,0.91,0.82,0.96,0.82
0.35,0.92,0.85,0.88,0.77,0.96,0.77
0.40,0.89,0.90,0.90,0.79,0.96,0.79
0.45,0.81,0.95,0.88,0.77,0.94,0.76
0.50,0.73,0.93,0.83,0.67,0.94,0.66
0.55,0.78,0.97,0.88,0.78,0.93,0.76
0.60,0.76,1.00,0.88,0.79,0.95,0.76
0.65,0.65,0.97,0.82,0.67,0.94,0.63
0.70,0.65,1.00,0.83,0.70,0.98,0.66
0.75,0.62,1.00,0.82,0.68,0.95,0.63
0.80,0.59,1.00,0.81,0.66,0.95,0.60
0.85,0.49,1.00,0.75,0.57,0.97,0.50
0.90,0.51,1.00,0.77,0.60,0.98,0.52
