extra_trees_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.90,0.00
0.05,1.00,0.00,0.48,0.00,0.90,0.00
0.10,0.99,0.01,0.49,0.03,0.90,0.01
0.15,0.99,0.06,0.51,0.14,0.90,0.05
0.20,0.99,0.14,0.55,0.23,0.90,0.12
0.25,0.97,0.28,0.62,0.35,0.90,0.25
0.30,0.95,0.48,0.71,0.48,0.90,0.42
0.35,0.88,0.69,0.78,0.58,0.90,0.57
0.40,0.85,0.83,0.84,0.67,0.90,0.67
0.45,0.80,0.88,0.84,0.69,0.90,0.69
0.50,0.73,0.89,0.81,0.63,0.90,0.63
0.55,0.65,0.95,0.80,0.63,0.90,0.60
0.60,0.61,0.97,0.79,0.62,0.90,0.58
0.65,0.55,0.97,0.77,0.58,0.90,0.53
0.70,0.48,0.99,0.74,0.54,0.90,0.47
0.75,0.41,1.00,0.72,0.52,0.90,0.42
0.80,0.34,1.00,0.68,0.45,0.90,0.34
0.85,0.29,1.00,0.66,0.42,0.90,0.30
0.90,0.22,1.00,0.62,0.36,0.90,0.23
0.95,0.11,1.00,0.57,0.25,0.90,0.11

extra_trees_kfold_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.51,0.00,0.87,0.00
0.05,1.00,0.00,0.51,0.00,0.94,0.00
0.10,1.00,0.00,0.51,0.00,0.85,0.00
0.15,1.00,0.07,0.54,0.19,0.89,0.07
0.20,1.00,0.07,0.54,0.19,0.86,0.07
0.25,0.97,0.17,0.58,0.23,0.85,0.14
0.30,0.97,0.34,0.66,0.40,0.88,0.31
0.35,0.93,0.48,0.71,0.47,0.88,0.42
0.40,0.93,0.45,0.69,0.44,0.89,0.38
0.45,0.90,0.62,0.76,0.54,0.89,0.52
0.50,0.77,0.72,0.75,0.49,0.88,0.49
0.55,0.70,0.86,0.78,0.57,0.88,0.56
0.60,0.73,0.83,0.78,0.56,0.89,0.56
0.65,0.63,0.93,0.78,0.59,0.88,0.56
0.70,0.47,0.97,0.71,0.50,0.92,0.43
0.75,0.43,1.00,0.71,0.52,0.87,0.43
0.80,0.33,0.97,0.64,0.38,0.90,0.30
0.85,0.33,1.00,0.66,0.44,0.89,0.33
0.90,0.10,1.00,0.54,0.23,0.89,0.10
0.95,0.00,1.00,0.49,0.00,0.87,0.00

knn_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.67,0.00
0.05,0.92,0.41,0.66,0.38,0.67,0.33
0.10,0.92,0.41,0.66,0.38,0.67,0.33
0.15,0.92,0.41,0.66,0.38,0.67,0.33
0.20,0.92,0.41,0.66,0.38,0.67,0.33
0.25,0.92,0.41,0.66,0.38,0.67,0.33
0.30,0.92,0.41,0.66,0.38,0.67,0.33
0.35,0.92,0.41,0.66,0.38,0.67,0.33
0.40,0.92,0.41,0.66,0.38,0.67,0.33
0.45,0.92,0.41,0.66,0.38,0.67,0.33
0.50,0.92,0.41,0.66,0.38,0.67,0.33
0.55,0.92,0.41,0.66,0.38,0.67,0.33
0.60,0.92,0.41,0.66,0.38,0.67,0.33
0.65,0.92,0.41,0.66,0.38,0.67,0.33
0.70,0.92,0.41,0.66,0.38,0.67,0.33
0.75,0.92,0.41,0.66,0.38,0.67,0.33
0.80,0.92,0.41,0.66,0.38,0.67,0.33
0.85,0.92,0.41,0.66,0.38,0.67,0.33
0.90,0.92,0.41,0.66,0.38,0.67,0.33
0.95,0.92,0.41,0.66,0.38,0.67,0.33

knn_kfold_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.51,0.00,0.64,0.00
0.05,0.83,0.45,0.64,0.31,0.64,0.28
0.10,0.83,0.45,0.64,0.31,0.64,0.28
0.15,0.83,0.45,0.64,0.31,0.64,0.28
0.20,0.83,0.45,0.64,0.31,0.64,0.28
0.25,0.83,0.45,0.64,0.31,0.64,0.28
0.30,0.83,0.45,0.64,0.31,0.64,0.28
0.35,0.83,0.45,0.64,0.31,0.64,0.28
0.40,0.83,0.45,0.64,0.31,0.64,0.28
0.45,0.83,0.45,0.64,0.31,0.64,0.28
0.50,0.83,0.45,0.64,0.31,0.64,0.28
0.55,0.83,0.45,0.64,0.31,0.64,0.28
0.60,0.83,0.45,0.64,0.31,0.64,0.28
0.65,0.83,0.45,0.64,0.31,0.64,0.28
0.70,0.83,0.45,0.64,0.31,0.64,0.28
0.75,0.83,0.45,0.64,0.31,0.64,0.28
0.80,0.83,0.45,0.64,0.31,0.64,0.28
0.85,0.83,0.45,0.64,0.31,0.64,0.28
0.90,0.83,0.45,0.64,0.31,0.64,0.28
0.95,0.83,0.45,0.64,0.31,0.64,0.28

mlp_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.84,0.00
0.05,0.80,0.83,0.82,0.63,0.84,0.63
0.10,0.80,0.83,0.82,0.63,0.84,0.63
0.15,0.80,0.83,0.82,0.63,0.84,0.63
0.20,0.80,0.83,0.82,0.63,0.84,0.63
0.25,0.80,0.83,0.81,0.63,0.84,0.63
0.30,0.80,0.84,0.82,0.63,0.84,0.63
0.35,0.79,0.84,0.81,0.63,0.84,0.63
0.40,0.78,0.84,0.81,0.62,0.84,0.62
0.45,0.78,0.84,0.81,0.62,0.84,0.62
0.50,0.78,0.84,0.81,0.62,0.84,0.62
0.55,0.78,0.84,0.81,0.62,0.84,0.62
0.60,0.78,0.84,0.81,0.62,0.84,0.62
0.65,0.78,0.84,0.81,0.62,0.84,0.62
0.70,0.78,0.84,0.81,0.62,0.84,0.62
0.75,0.78,0.84,0.81,0.62,0.84,0.62
0.80,0.78,0.84,0.81,0.62,0.84,0.62
0.85,0.78,0.84,0.81,0.62,0.84,0.62
0.90,0.78,0.84,0.81,0.62,0.84,0.62
0.95,0.78,0.84,0.81,0.63,0.84,0.63

mlp_kfold_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.51,0.00,0.85,0.00
0.05,0.83,0.59,0.71,0.43,0.80,0.42
0.10,0.83,0.72,0.78,0.56,0.85,0.56
0.15,0.80,0.69,0.75,0.49,0.82,0.49
0.20,0.83,0.66,0.75,0.50,0.83,0.49
0.25,0.83,0.76,0.80,0.59,0.86,0.59
0.30,0.77,0.76,0.76,0.53,0.74,0.53
0.35,0.83,0.72,0.78,0.56,0.81,0.56
0.40,0.90,0.48,0.69,0.42,0.68,0.39
0.45,0.77,0.83,0.80,0.59,0.77,0.59
0.50,0.80,0.76,0.78,0.56,0.84,0.56
0.55,0.87,0.62,0.75,0.50,0.84,0.49
0.60,0.83,0.72,0.78,0.56,0.84,0.56
0.65,0.80,0.76,0.78,0.56,0.83,0.56
0.70,0.83,0.66,0.75,0.50,0.88,0.49
0.75,0.87,0.69,0.78,0.57,0.80,0.56
0.80,0.87,0.72,0.80,0.60,0.83,0.59
0.85,0.83,0.66,0.75,0.50,0.84,0.49
0.90,0.80,0.72,0.76,0.53,0.88,0.52
0.95,0.80,0.76,0.78,0.56,0.87,0.56

rf_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.90,0.00
0.05,1.00,0.00,0.48,0.00,0.90,0.00
0.10,1.00,0.00,0.48,0.00,0.90,0.00
0.15,1.00,0.03,0.50,0.11,0.90,0.03
0.20,0.99,0.09,0.53,0.18,0.90,0.08
0.25,0.99,0.26,0.61,0.35,0.90,0.24
0.30,0.97,0.47,0.71,0.49,0.90,0.43
0.35,0.94,0.60,0.76,0.57,0.90,0.53
0.40,0.86,0.70,0.78,0.57,0.90,0.56
0.45,0.80,0.80,0.80,0.60,0.90,0.60
0.50,0.72,0.88,0.80,0.60,0.90,0.60
0.55,0.69,0.96,0.83,0.68,0.90,0.65
0.60,0.62,0.97,0.80,0.63,0.90,0.59
0.65,0.55,0.98,0.77,0.59,0.90,0.53
0.70,0.48,0.99,0.74,0.54,0.90,0.47
0.75,0.39,1.00,0.71,0.50,0.90,0.40
0.80,0.34,1.00,0.68,0.46,0.90,0.35
0.85,0.24,1.00,0.63,0.37,0.90,0.24
0.90,0.15,1.00,0.59,0.29,0.90,0.15
0.95,0.03,1.00,0.53,0.14,0.90,0.04

rf_kfold_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.51,0.00,0.89,0.00
0.05,1.00,0.00,0.51,0.00,0.90,0.00
0.10,1.00,0.00,0.51,0.00,0.89,0.00
0.15,1.00,0.00,0.51,0.00,0.85,0.00
0.20,1.00,0.03,0.53,0.13,0.93,0.04
0.25,1.00,0.17,0.59,0.31,0.92,0.17
0.30,1.00,0.14,0.58,0.27,0.86,0.14
0.35,0.97,0.17,0.58,0.23,0.92,0.14
0.40,1.00,0.62,0.81,0.67,0.92,0.62
0.45,0.97,0.62,0.80,0.63,0.91,0.59
0.50,0.83,0.79,0.81,0.63,0.87,0.63
0.55,0.70,0.79,0.75,0.49,0.87,0.49
0.60,0.70,0.97,0.83,0.69,0.88,0.66
0.65,0.53,1.00,0.76,0.60,0.92,0.53
0.70,0.47,1.00,0.73,0.55,0.87,0.46
0.75,0.40,1.00,0.69,0.50,0.89,0.40
0.80,0.23,1.00,0.61,0.36,0.86,0.23
0.85,0.23,1.00,0.61,0.36,0.84,0.23
0.90,0.10,1.00,0.54,0.23,0.84,0.10
0.95,0.00,1.00,0.49,0.00,0.87,0.00

ridge_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.48,0.00,0.91,0.00
-2.90,1.00,0.00,0.48,0.00,0.91,0.00
-2.80,1.00,0.00,0.48,0.00,0.91,0.00
-2.70,1.00,0.00,0.48,0.00,0.91,0.00
-2.60,1.00,0.00,0.48,0.00,0.91,0.00
-2.50,1.00,0.00,0.48,0.00,0.91,0.00
-2.40,1.00,0.00,0.48,0.00,0.91,0.00
-2.30,1.00,0.00,0.48,0.00,0.91,0.00
-2.20,1.00,0.00,0.48,0.00,0.91,0.00
-2.10,1.00,0.00,0.48,0.00,0.91,0.00
-2.00,1.00,0.00,0.48,0.00,0.91,0.00
-1.90,1.00,0.00,0.48,0.00,0.91,0.00
-1.80,1.00,0.00,0.48,0.00,0.91,0.00
-1.70,1.00,0.01,0.49,0.06,0.91,0.01
-1.60,1.00,0.01,0.49,0.06,0.91,0.01
-1.50,1.00,0.02,0.49,0.10,0.91,0.02
-1.40,1.00,0.02,0.49,0.10,0.91,0.02
-1.30,1.00,0.03,0.50,0.11,0.91,0.03
-1.20,1.00,0.03,0.50,0.11,0.91,0.03
-1.10,1.00,0.04,0.51,0.14,0.91,0.04
-1.00,1.00,0.07,0.52,0.18,0.91,0.06
-0.90,1.00,0.13,0.55,0.26,0.91,0.13
-0.80,1.00,0.22,0.60,0.34,0.91,0.21
-0.70,0.99,0.28,0.62,0.37,0.91,0.26
-0.60,0.97,0.37,0.66,0.42,0.91,0.33
-0.50,0.97,0.45,0.70,0.48,0.91,0.41
-0.40,0.91,0.59,0.75,0.53,0.91,0.50
-0.30,0.88,0.71,0.79,0.60,0.91,0.59
-0.20,0.85,0.80,0.83,0.66,0.91,0.65
-0.10,0.82,0.85,0.83,0.67,0.91,0.67
0.00,0.78,0.89,0.84,0.68,0.91,0.68
0.10,0.76,0.94,0.85,0.71,0.91,0.70
0.20,0.69,0.97,0.83,0.68,0.91,0.66
0.30,0.62,0.98,0.80,0.64,0.91,0.60
0.40,0.49,0.98,0.74,0.54,0.91,0.48
0.50,0.48,0.99,0.74,0.55,0.91,0.48
0.60,0.36,0.99,0.68,0.46,0.91,0.36
0.70,0.28,0.99,0.65,0.39,0.91,0.28
0.80,0.20,1.00,0.61,0.33,0.91,0.20
0.90,0.15,1.00,0.59,0.29,0.91,0.16
1.00,0.06,1.00,0.55,0.18,0.91,0.06
1.10,0.03,1.00,0.53,0.12,0.91,0.03
1.20,0.01,1.00,0.52,0.06,0.91,0.01
1.30,0.00,1.00,0.52,0.00,0.91,0.00
1.40,0.00,1.00,0.52,0.00,0.91,0.00
1.50,0.00,1.00,0.52,0.00,0.91,0.00
1.60,0.00,1.00,0.52,0.00,0.91,0.00
1.70,0.00,1.00,0.52,0.00,0.91,0.00
1.80,0.00,1.00,0.52,0.00,0.91,0.00
1.90,0.00,1.00,0.52,0.00,0.91,0.00
2.00,0.00,1.00,0.52,0.00,0.91,0.00
2.10,0.00,1.00,0.52,0.00,0.91,0.00
2.20,0.00,1.00,0.52,0.00,0.91,0.00
2.30,0.00,1.00,0.52,0.00,0.91,0.00
2.40,0.00,1.00,0.52,0.00,0.91,0.00
2.50,0.00,1.00,0.52,0.00,0.91,0.00
2.60,0.00,1.00,0.52,0.00,0.91,0.00
2.70,0.00,1.00,0.52,0.00,0.91,0.00
2.80,0.00,1.00,0.52,0.00,0.91,0.00
2.90,0.00,1.00,0.52,0.00,0.91,0.00

ridge_kfold_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.51,0.00,0.88,0.00
-2.90,1.00,0.00,0.51,0.00,0.88,0.00
-2.80,1.00,0.00,0.51,0.00,0.88,0.00
-2.70,1.00,0.00,0.51,0.00,0.88,0.00
-2.60,1.00,0.00,0.51,0.00,0.88,0.00
-2.50,1.00,0.00,0.51,0.00,0.88,0.00
-2.40,1.00,0.00,0.51,0.00,0.88,0.00
-2.30,1.00,0.00,0.51,0.00,0.88,0.00
-2.20,1.00,0.00,0.51,0.00,0.88,0.00
-2.10,1.00,0.00,0.51,0.00,0.88,0.00
-2.00,1.00,0.00,0.51,0.00,0.88,0.00
-1.90,1.00,0.00,0.51,0.00,0.88,0.00
-1.80,1.00,0.00,0.51,0.00,0.88,0.00
-1.70,1.00,0.00,0.51,0.00,0.88,0.00
-1.60,1.00,0.00,0.51,0.00,0.88,0.00
-1.50,1.00,0.00,0.51,0.00,0.88,0.00
-1.40,1.00,0.00,0.51,0.00,0.88,0.00
-1.30,1.00,0.00,0.51,0.00,0.88,0.00
-1.20,1.00,0.00,0.51,0.00,0.88,0.00
-1.10,1.00,0.00,0.51,0.00,0.88,0.00
-1.00,1.00,0.00,0.51,0.00,0.88,0.00
-0.90,1.00,0.00,0.51,0.00,0.88,0.00
-0.80,1.00,0.00,0.51,0.00,0.88,0.00
-0.70,1.00,0.03,0.53,0.13,0.88,0.04
-0.60,1.00,0.07,0.54,0.19,0.88,0.07
-0.50,1.00,0.07,0.54,0.19,0.88,0.07
-0.40,1.00,0.17,0.59,0.31,0.88,0.17
-0.30,1.00,0.31,0.66,0.43,0.88,0.31
-0.20,0.97,0.45,0.71,0.49,0.88,0.42
-0.10,0.80,0.69,0.75,0.49,0.88,0.49
0.00,0.73,0.83,0.78,0.56,0.88,0.56
0.10,0.63,0.97,0.80,0.63,0.88,0.60
0.20,0.43,1.00,0.71,0.52,0.88,0.43
0.30,0.40,1.00,0.69,0.50,0.88,0.40
0.40,0.30,1.00,0.64,0.42,0.88,0.30
0.50,0.20,1.00,0.59,0.33,0.88,0.20
0.60,0.17,1.00,0.58,0.30,0.88,0.16
0.70,0.03,1.00,0.51,0.13,0.88,0.03
0.80,0.00,1.00,0.49,0.00,0.88,0.00
0.90,0.00,1.00,0.49,0.00,0.88,0.00
1.00,0.00,1.00,0.49,0.00,0.88,0.00
1.10,0.00,1.00,0.49,0.00,0.88,0.00
1.20,0.00,1.00,0.49,0.00,0.88,0.00
1.30,0.00,1.00,0.49,0.00,0.88,0.00
1.40,0.00,1.00,0.49,0.00,0.88,0.00
1.50,0.00,1.00,0.49,0.00,0.88,0.00
1.60,0.00,1.00,0.49,0.00,0.88,0.00
1.70,0.00,1.00,0.49,0.00,0.88,0.00
1.80,0.00,1.00,0.49,0.00,0.88,0.00
1.90,0.00,1.00,0.49,0.00,0.88,0.00
2.00,0.00,1.00,0.49,0.00,0.88,0.00
2.10,0.00,1.00,0.49,0.00,0.88,0.00
2.20,0.00,1.00,0.49,0.00,0.88,0.00
2.30,0.00,1.00,0.49,0.00,0.88,0.00
2.40,0.00,1.00,0.49,0.00,0.88,0.00
2.50,0.00,1.00,0.49,0.00,0.88,0.00
2.60,0.00,1.00,0.49,0.00,0.88,0.00
2.70,0.00,1.00,0.49,0.00,0.88,0.00
2.80,0.00,1.00,0.49,0.00,0.88,0.00
2.90,0.00,1.00,0.49,0.00,0.88,0.00

svm_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.48,0.00,0.94,0.00
-2.90,1.00,0.00,0.48,0.00,0.94,0.00
-2.80,1.00,0.00,0.48,0.00,0.94,0.00
-2.70,1.00,0.00,0.48,0.00,0.94,0.00
-2.60,1.00,0.00,0.48,0.00,0.94,0.00
-2.50,1.00,0.00,0.48,0.00,0.94,0.00
-2.40,1.00,0.00,0.48,0.00,0.94,0.00
-2.30,1.00,0.00,0.48,0.00,0.94,0.00
-2.20,1.00,0.00,0.48,0.00,0.94,0.00
-2.10,1.00,0.00,0.48,0.00,0.94,0.00
-2.00,1.00,0.00,0.48,0.00,0.94,0.00
-1.90,1.00,0.00,0.48,0.00,0.94,0.00
-1.80,1.00,0.00,0.48,0.00,0.94,0.00
-1.70,1.00,0.00,0.48,0.00,0.94,0.00
-1.60,1.00,0.00,0.48,0.00,0.94,0.00
-1.50,1.00,0.00,0.48,0.00,0.94,0.00
-1.40,1.00,0.01,0.49,0.06,0.94,0.01
-1.30,1.00,0.01,0.49,0.08,0.94,0.01
-1.20,1.00,0.02,0.49,0.10,0.94,0.02
-1.10,1.00,0.03,0.50,0.11,0.94,0.03
-1.00,1.00,0.05,0.51,0.15,0.94,0.04
-0.90,1.00,0.10,0.54,0.22,0.94,0.10
-0.80,1.00,0.17,0.57,0.30,0.94,0.17
-0.70,0.99,0.30,0.63,0.39,0.94,0.28
