extra_trees_bin_n5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.92,0.00
0.05,1.00,0.01,0.50,0.05,0.92,0.01
0.10,0.99,0.06,0.52,0.15,0.92,0.05
0.15,0.99,0.19,0.59,0.29,0.92,0.17
0.20,0.97,0.39,0.68,0.44,0.92,0.35
0.25,0.95,0.64,0.79,0.62,0.92,0.59
0.30,0.89,0.73,0.81,0.63,0.92,0.62
0.35,0.85,0.79,0.82,0.64,0.92,0.64
0.40,0.82,0.86,0.84,0.67,0.92,0.67
0.45,0.80,0.89,0.84,0.69,0.92,0.68
0.50,0.78,0.92,0.85,0.71,0.92,0.71
0.55,0.77,0.94,0.86,0.72,0.92,0.71
0.60,0.73,0.96,0.84,0.71,0.92,0.69
0.65,0.70,0.96,0.83,0.69,0.92,0.66
0.70,0.68,0.96,0.82,0.68,0.92,0.65
0.75,0.66,0.98,0.82,0.68,0.92,0.64
0.80,0.64,0.98,0.81,0.67,0.92,0.63
0.85,0.61,0.99,0.80,0.65,0.92,0.60
0.90,0.53,0.99,0.76,0.60,0.92,0.53
0.95,0.45,1.00,0.72,0.54,0.92,0.45

extra_trees_kfold_bin_n5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.87,0.00
0.05,1.00,0.00,0.48,0.00,0.87,0.00
0.10,1.00,0.15,0.56,0.28,0.87,0.15
0.15,0.95,0.42,0.68,0.43,0.86,0.36
0.20,0.95,0.42,0.68,0.43,0.86,0.36
0.25,0.92,0.57,0.74,0.52,0.87,0.49
0.30,0.89,0.57,0.73,0.49,0.86,0.46
0.35,0.84,0.57,0.70,0.43,0.87,0.41
0.40,0.81,0.65,0.73,0.47,0.86,0.46
0.45,0.81,0.68,0.74,0.49,0.87,0.48
0.50,0.76,0.78,0.77,0.53,0.88,0.53
0.55,0.76,0.75,0.75,0.51,0.86,0.51
0.60,0.70,0.88,0.79,0.59,0.88,0.58
0.65,0.70,0.85,0.78,0.56,0.87,0.56
0.70,0.65,0.93,0.79,0.60,0.88,0.58
