Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.77 ,cohen scores: 0.01 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.77 ,cohen scores: 0.02 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.53 ,mcc scores: 0.16 ,roc-auc scores: 0.77 ,cohen scores: 0.06 
Threshold: 0.25 ,Senstivity: 0.97 ,Specificity: 0.10 ,Accuracy: 0.54 ,mcc scores: 0.16 ,roc-auc scores: 0.77 ,cohen scores: 0.08 
Threshold: 0.30 ,Senstivity: 0.92 ,Specificity: 0.18 ,Accuracy: 0.55 ,mcc scores: 0.15 ,roc-auc scores: 0.77 ,cohen scores: 0.10 
Threshold: 0.35 ,Senstivity: 0.88 ,Specificity: 0.30 ,Accuracy: 0.59 ,mcc scores: 0.22 ,roc-auc scores: 0.77 ,cohen scores: 0.18 
Threshold: 0.40 ,Senstivity: 0.79 ,Specificity: 0.48 ,Accuracy: 0.64 ,mcc scores: 0.29 ,roc-auc scores: 0.77 ,cohen scores: 0.27 
Threshold: 0.45 ,Senstivity: 0.70 ,Specificity: 0.69 ,Accuracy: 0.70 ,mcc scores: 0.39 ,roc-auc scores: 0.77 ,cohen scores: 0.39 
Threshold: 0.50 ,Senstivity: 0.62 ,Specificity: 0.84 ,Accuracy: 0.73 ,mcc scores: 0.47 ,roc-auc scores: 0.77 ,cohen scores: 0.46 
Threshold: 0.55 ,Senstivity: 0.53 ,Specificity: 0.87 ,Accuracy: 0.70 ,mcc scores: 0.43 ,roc-auc scores: 0.77 ,cohen scores: 0.40 
Threshold: 0.60 ,Senstivity: 0.47 ,Specificity: 0.95 ,Accuracy: 0.71 ,mcc scores: 0.48 ,roc-auc scores: 0.77 ,cohen scores: 0.42 
Threshold: 0.65 ,Senstivity: 0.41 ,Specificity: 0.96 ,Accuracy: 0.68 ,mcc scores: 0.44 ,roc-auc scores: 0.77 ,cohen scores: 0.37 
Threshold: 0.70 ,Senstivity: 0.36 ,Specificity: 0.98 ,Accuracy: 0.67 ,mcc scores: 0.44 ,roc-auc scores: 0.77 ,cohen scores: 0.35 
Threshold: 0.75 ,Senstivity: 0.31 ,Specificity: 0.99 ,Accuracy: 0.65 ,mcc scores: 0.42 ,roc-auc scores: 0.77 ,cohen scores: 0.30 
Threshold: 0.80 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.62 ,mcc scores: 0.37 ,roc-auc scores: 0.77 ,cohen scores: 0.24 
Threshold: 0.85 ,Senstivity: 0.20 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.34 ,roc-auc scores: 0.77 ,cohen scores: 0.20 
Threshold: 0.90 ,Senstivity: 0.17 ,Specificity: 1.00 ,Accuracy: 0.59 ,mcc scores: 0.31 ,roc-auc scores: 0.77 ,cohen scores: 0.17 
Threshold: 0.95 ,Senstivity: 0.11 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.24 ,roc-auc scores: 0.77 ,cohen scores: 0.11 
