Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.75 ,cohen scores: 0.02 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.04 ,Accuracy: 0.51 ,mcc scores: 0.11 ,roc-auc scores: 0.75 ,cohen scores: 0.03 
Threshold: 0.25 ,Senstivity: 0.90 ,Specificity: 0.23 ,Accuracy: 0.57 ,mcc scores: 0.18 ,roc-auc scores: 0.75 ,cohen scores: 0.13 
Threshold: 0.30 ,Senstivity: 0.85 ,Specificity: 0.31 ,Accuracy: 0.58 ,mcc scores: 0.19 ,roc-auc scores: 0.75 ,cohen scores: 0.16 
Threshold: 0.35 ,Senstivity: 0.83 ,Specificity: 0.39 ,Accuracy: 0.61 ,mcc scores: 0.25 ,roc-auc scores: 0.75 ,cohen scores: 0.22 
Threshold: 0.40 ,Senstivity: 0.76 ,Specificity: 0.57 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.75 ,cohen scores: 0.33 
Threshold: 0.45 ,Senstivity: 0.70 ,Specificity: 0.63 ,Accuracy: 0.67 ,mcc scores: 0.33 ,roc-auc scores: 0.75 ,cohen scores: 0.33 
Threshold: 0.50 ,Senstivity: 0.64 ,Specificity: 0.75 ,Accuracy: 0.70 ,mcc scores: 0.39 ,roc-auc scores: 0.75 ,cohen scores: 0.39 
Threshold: 0.55 ,Senstivity: 0.56 ,Specificity: 0.86 ,Accuracy: 0.71 ,mcc scores: 0.43 ,roc-auc scores: 0.75 ,cohen scores: 0.42 
Threshold: 0.60 ,Senstivity: 0.49 ,Specificity: 0.90 ,Accuracy: 0.70 ,mcc scores: 0.43 ,roc-auc scores: 0.75 ,cohen scores: 0.39 
Threshold: 0.65 ,Senstivity: 0.39 ,Specificity: 0.96 ,Accuracy: 0.68 ,mcc scores: 0.43 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: 0.70 ,Senstivity: 0.34 ,Specificity: 0.99 ,Accuracy: 0.66 ,mcc scores: 0.43 ,roc-auc scores: 0.75 ,cohen scores: 0.33 
Threshold: 0.75 ,Senstivity: 0.29 ,Specificity: 0.99 ,Accuracy: 0.64 ,mcc scores: 0.39 ,roc-auc scores: 0.75 ,cohen scores: 0.28 
Threshold: 0.80 ,Senstivity: 0.27 ,Specificity: 0.99 ,Accuracy: 0.63 ,mcc scores: 0.38 ,roc-auc scores: 0.75 ,cohen scores: 0.26 
Threshold: 0.85 ,Senstivity: 0.25 ,Specificity: 1.00 ,Accuracy: 0.63 ,mcc scores: 0.38 ,roc-auc scores: 0.75 ,cohen scores: 0.25 
Threshold: 0.90 ,Senstivity: 0.21 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.34 ,roc-auc scores: 0.75 ,cohen scores: 0.21 
Threshold: 0.95 ,Senstivity: 0.10 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.23 ,roc-auc scores: 0.75 ,cohen scores: 0.10 
