Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.65 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.62 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 0.89 ,Specificity: 0.15 ,Accuracy: 0.51 ,mcc scores: 0.06 ,roc-auc scores: 0.64 ,cohen scores: 0.04 
Threshold: 0.15 ,Senstivity: 0.92 ,Specificity: 0.17 ,Accuracy: 0.53 ,mcc scores: 0.14 ,roc-auc scores: 0.65 ,cohen scores: 0.09 
Threshold: 0.20 ,Senstivity: 0.89 ,Specificity: 0.25 ,Accuracy: 0.56 ,mcc scores: 0.18 ,roc-auc scores: 0.62 ,cohen scores: 0.14 
Threshold: 0.25 ,Senstivity: 0.76 ,Specificity: 0.38 ,Accuracy: 0.56 ,mcc scores: 0.14 ,roc-auc scores: 0.67 ,cohen scores: 0.13 
Threshold: 0.30 ,Senstivity: 0.65 ,Specificity: 0.38 ,Accuracy: 0.51 ,mcc scores: 0.02 ,roc-auc scores: 0.63 ,cohen scores: 0.02 
Threshold: 0.35 ,Senstivity: 0.68 ,Specificity: 0.42 ,Accuracy: 0.55 ,mcc scores: 0.10 ,roc-auc scores: 0.66 ,cohen scores: 0.10 
Threshold: 0.40 ,Senstivity: 0.62 ,Specificity: 0.53 ,Accuracy: 0.57 ,mcc scores: 0.15 ,roc-auc scores: 0.65 ,cohen scores: 0.15 
Threshold: 0.45 ,Senstivity: 0.57 ,Specificity: 0.53 ,Accuracy: 0.55 ,mcc scores: 0.09 ,roc-auc scores: 0.63 ,cohen scores: 0.09 
Threshold: 0.50 ,Senstivity: 0.54 ,Specificity: 0.62 ,Accuracy: 0.58 ,mcc scores: 0.17 ,roc-auc scores: 0.63 ,cohen scores: 0.17 
Threshold: 0.55 ,Senstivity: 0.57 ,Specificity: 0.62 ,Accuracy: 0.60 ,mcc scores: 0.19 ,roc-auc scores: 0.66 ,cohen scores: 0.19 
Threshold: 0.60 ,Senstivity: 0.51 ,Specificity: 0.70 ,Accuracy: 0.61 ,mcc scores: 0.22 ,roc-auc scores: 0.65 ,cohen scores: 0.21 
Threshold: 0.65 ,Senstivity: 0.46 ,Specificity: 0.82 ,Accuracy: 0.65 ,mcc scores: 0.31 ,roc-auc scores: 0.63 ,cohen scores: 0.29 
Threshold: 0.70 ,Senstivity: 0.43 ,Specificity: 0.85 ,Accuracy: 0.65 ,mcc scores: 0.31 ,roc-auc scores: 0.64 ,cohen scores: 0.29 
Threshold: 0.75 ,Senstivity: 0.35 ,Specificity: 0.85 ,Accuracy: 0.61 ,mcc scores: 0.23 ,roc-auc scores: 0.64 ,cohen scores: 0.21 
Threshold: 0.80 ,Senstivity: 0.35 ,Specificity: 0.95 ,Accuracy: 0.66 ,mcc scores: 0.38 ,roc-auc scores: 0.62 ,cohen scores: 0.31 
Threshold: 0.85 ,Senstivity: 0.22 ,Specificity: 0.97 ,Accuracy: 0.61 ,mcc scores: 0.30 ,roc-auc scores: 0.63 ,cohen scores: 0.20 
Threshold: 0.90 ,Senstivity: 0.19 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.33 ,roc-auc scores: 0.66 ,cohen scores: 0.20 
Threshold: 0.95 ,Senstivity: 0.16 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.30 ,roc-auc scores: 0.61 ,cohen scores: 0.17 
