Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -1.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -0.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: -0.80 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.07 ,roc-auc scores: 0.68 ,cohen scores: 0.01 
Threshold: -0.70 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.68 ,cohen scores: 0.02 
Threshold: -0.60 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.52 ,mcc scores: 0.15 ,roc-auc scores: 0.68 ,cohen scores: 0.05 
Threshold: -0.50 ,Senstivity: 0.99 ,Specificity: 0.10 ,Accuracy: 0.54 ,mcc scores: 0.19 ,roc-auc scores: 0.68 ,cohen scores: 0.09 
Threshold: -0.40 ,Senstivity: 0.95 ,Specificity: 0.18 ,Accuracy: 0.57 ,mcc scores: 0.21 ,roc-auc scores: 0.68 ,cohen scores: 0.13 
Threshold: -0.30 ,Senstivity: 0.89 ,Specificity: 0.27 ,Accuracy: 0.58 ,mcc scores: 0.20 ,roc-auc scores: 0.68 ,cohen scores: 0.16 
Threshold: -0.20 ,Senstivity: 0.80 ,Specificity: 0.42 ,Accuracy: 0.61 ,mcc scores: 0.24 ,roc-auc scores: 0.68 ,cohen scores: 0.22 
Threshold: -0.10 ,Senstivity: 0.68 ,Specificity: 0.58 ,Accuracy: 0.63 ,mcc scores: 0.26 ,roc-auc scores: 0.68 ,cohen scores: 0.26 
Threshold: 0.00 ,Senstivity: 0.56 ,Specificity: 0.69 ,Accuracy: 0.63 ,mcc scores: 0.25 ,roc-auc scores: 0.68 ,cohen scores: 0.25 
Threshold: 0.10 ,Senstivity: 0.45 ,Specificity: 0.78 ,Accuracy: 0.61 ,mcc scores: 0.24 ,roc-auc scores: 0.68 ,cohen scores: 0.22 
Threshold: 0.20 ,Senstivity: 0.35 ,Specificity: 0.84 ,Accuracy: 0.59 ,mcc scores: 0.21 ,roc-auc scores: 0.68 ,cohen scores: 0.19 
Threshold: 0.30 ,Senstivity: 0.31 ,Specificity: 0.90 ,Accuracy: 0.60 ,mcc scores: 0.26 ,roc-auc scores: 0.68 ,cohen scores: 0.21 
Threshold: 0.40 ,Senstivity: 0.24 ,Specificity: 0.96 ,Accuracy: 0.60 ,mcc scores: 0.29 ,roc-auc scores: 0.68 ,cohen scores: 0.20 
