Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.62 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.62 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.62 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.62 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.62 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.62 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.62 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.62 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.62 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.62 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.07 ,roc-auc scores: 0.62 ,cohen scores: 0.01 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.07 ,roc-auc scores: 0.62 ,cohen scores: 0.01 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.62 ,cohen scores: 0.02 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.62 ,cohen scores: 0.02 
Threshold: -1.60 ,Senstivity: 0.99 ,Specificity: 0.03 ,Accuracy: 0.51 ,mcc scores: 0.06 ,roc-auc scores: 0.62 ,cohen scores: 0.02 
Threshold: -1.50 ,Senstivity: 0.99 ,Specificity: 0.04 ,Accuracy: 0.52 ,mcc scores: 0.09 ,roc-auc scores: 0.62 ,cohen scores: 0.03 
Threshold: -1.40 ,Senstivity: 0.99 ,Specificity: 0.05 ,Accuracy: 0.53 ,mcc scores: 0.11 ,roc-auc scores: 0.62 ,cohen scores: 0.04 
Threshold: -1.30 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.53 ,mcc scores: 0.13 ,roc-auc scores: 0.62 ,cohen scores: 0.05 
Threshold: -1.20 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.53 ,mcc scores: 0.14 ,roc-auc scores: 0.62 ,cohen scores: 0.06 
Threshold: -1.10 ,Senstivity: 0.98 ,Specificity: 0.09 ,Accuracy: 0.54 ,mcc scores: 0.17 ,roc-auc scores: 0.62 ,cohen scores: 0.08 
Threshold: -1.00 ,Senstivity: 0.98 ,Specificity: 0.10 ,Accuracy: 0.54 ,mcc scores: 0.16 ,roc-auc scores: 0.62 ,cohen scores: 0.08 
Threshold: -0.90 ,Senstivity: 0.97 ,Specificity: 0.10 ,Accuracy: 0.54 ,mcc scores: 0.16 ,roc-auc scores: 0.62 ,cohen scores: 0.08 
Threshold: -0.80 ,Senstivity: 0.97 ,Specificity: 0.11 ,Accuracy: 0.54 ,mcc scores: 0.15 ,roc-auc scores: 0.62 ,cohen scores: 0.08 
Threshold: -0.70 ,Senstivity: 0.96 ,Specificity: 0.14 ,Accuracy: 0.55 ,mcc scores: 0.17 ,roc-auc scores: 0.62 ,cohen scores: 0.10 
Threshold: -0.60 ,Senstivity: 0.96 ,Specificity: 0.15 ,Accuracy: 0.56 ,mcc scores: 0.19 ,roc-auc scores: 0.62 ,cohen scores: 0.11 
Threshold: -0.50 ,Senstivity: 0.95 ,Specificity: 0.16 ,Accuracy: 0.56 ,mcc scores: 0.18 ,roc-auc scores: 0.62 ,cohen scores: 0.11 
Threshold: -0.40 ,Senstivity: 0.93 ,Specificity: 0.17 ,Accuracy: 0.55 ,mcc scores: 0.15 ,roc-auc scores: 0.62 ,cohen scores: 0.10 
Threshold: -0.30 ,Senstivity: 0.91 ,Specificity: 0.18 ,Accuracy: 0.55 ,mcc scores: 0.14 ,roc-auc scores: 0.62 ,cohen scores: 0.10 
Threshold: -0.20 ,Senstivity: 0.91 ,Specificity: 0.19 ,Accuracy: 0.55 ,mcc scores: 0.14 ,roc-auc scores: 0.62 ,cohen scores: 0.10 
Threshold: -0.10 ,Senstivity: 0.88 ,Specificity: 0.21 ,Accuracy: 0.55 ,mcc scores: 0.13 ,roc-auc scores: 0.62 ,cohen scores: 0.10 
Threshold: 0.00 ,Senstivity: 0.86 ,Specificity: 0.24 ,Accuracy: 0.56 ,mcc scores: 0.14 ,roc-auc scores: 0.62 ,cohen scores: 0.11 
Threshold: 0.10 ,Senstivity: 0.84 ,Specificity: 0.25 ,Accuracy: 0.55 ,mcc scores: 0.11 ,roc-auc scores: 0.62 ,cohen scores: 0.09 
Threshold: 0.20 ,Senstivity: 0.83 ,Specificity: 0.26 ,Accuracy: 0.55 ,mcc scores: 0.11 ,roc-auc scores: 0.62 ,cohen scores: 0.09 
Threshold: 0.30 ,Senstivity: 0.81 ,Specificity: 0.30 ,Accuracy: 0.55 ,mcc scores: 0.12 ,roc-auc scores: 0.62 ,cohen scores: 0.10 
Threshold: 0.40 ,Senstivity: 0.79 ,Specificity: 0.34 ,Accuracy: 0.57 ,mcc scores: 0.15 ,roc-auc scores: 0.62 ,cohen scores: 0.13 
Threshold: 0.50 ,Senstivity: 0.79 ,Specificity: 0.37 ,Accuracy: 0.58 ,mcc scores: 0.17 ,roc-auc scores: 0.62 ,cohen scores: 0.16 
