Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: 0.11 ,roc-auc scores: 0.61 ,cohen scores: 0.02 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: 0.11 ,roc-auc scores: 0.61 ,cohen scores: 0.02 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: 0.11 ,roc-auc scores: 0.61 ,cohen scores: 0.02 
Threshold: -1.10 ,Senstivity: 0.97 ,Specificity: 0.03 ,Accuracy: 0.47 ,mcc scores: -0.01 ,roc-auc scores: 0.61 ,cohen scores: -0.00 
Threshold: -1.00 ,Senstivity: 0.89 ,Specificity: 0.05 ,Accuracy: 0.44 ,mcc scores: -0.12 ,roc-auc scores: 0.61 ,cohen scores: -0.06 
Threshold: -0.90 ,Senstivity: 0.89 ,Specificity: 0.15 ,Accuracy: 0.49 ,mcc scores: 0.05 ,roc-auc scores: 0.61 ,cohen scores: 0.03 
Threshold: -0.80 ,Senstivity: 0.86 ,Specificity: 0.15 ,Accuracy: 0.48 ,mcc scores: 0.01 ,roc-auc scores: 0.61 ,cohen scores: 0.01 
Threshold: -0.70 ,Senstivity: 0.80 ,Specificity: 0.20 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: -0.60 ,Senstivity: 0.77 ,Specificity: 0.28 ,Accuracy: 0.51 ,mcc scores: 0.05 ,roc-auc scores: 0.61 ,cohen scores: 0.04 
Threshold: -0.50 ,Senstivity: 0.71 ,Specificity: 0.33 ,Accuracy: 0.51 ,mcc scores: 0.04 ,roc-auc scores: 0.61 ,cohen scores: 0.04 
Threshold: -0.40 ,Senstivity: 0.66 ,Specificity: 0.40 ,Accuracy: 0.52 ,mcc scores: 0.06 ,roc-auc scores: 0.61 ,cohen scores: 0.06 
Threshold: -0.30 ,Senstivity: 0.63 ,Specificity: 0.45 ,Accuracy: 0.53 ,mcc scores: 0.08 ,roc-auc scores: 0.61 ,cohen scores: 0.08 
Threshold: -0.20 ,Senstivity: 0.60 ,Specificity: 0.53 ,Accuracy: 0.56 ,mcc scores: 0.12 ,roc-auc scores: 0.61 ,cohen scores: 0.12 
Threshold: -0.10 ,Senstivity: 0.60 ,Specificity: 0.60 ,Accuracy: 0.60 ,mcc scores: 0.20 ,roc-auc scores: 0.61 ,cohen scores: 0.20 
Threshold: 0.00 ,Senstivity: 0.57 ,Specificity: 0.62 ,Accuracy: 0.60 ,mcc scores: 0.20 ,roc-auc scores: 0.61 ,cohen scores: 0.20 
Threshold: 0.10 ,Senstivity: 0.51 ,Specificity: 0.70 ,Accuracy: 0.61 ,mcc scores: 0.22 ,roc-auc scores: 0.61 ,cohen scores: 0.22 
Threshold: 0.20 ,Senstivity: 0.51 ,Specificity: 0.70 ,Accuracy: 0.61 ,mcc scores: 0.22 ,roc-auc scores: 0.61 ,cohen scores: 0.22 
Threshold: 0.30 ,Senstivity: 0.49 ,Specificity: 0.75 ,Accuracy: 0.63 ,mcc scores: 0.24 ,roc-auc scores: 0.61 ,cohen scores: 0.24 
Threshold: 0.40 ,Senstivity: 0.49 ,Specificity: 0.78 ,Accuracy: 0.64 ,mcc scores: 0.27 ,roc-auc scores: 0.61 ,cohen scores: 0.26 
Threshold: 0.50 ,Senstivity: 0.46 ,Specificity: 0.78 ,Accuracy: 0.63 ,mcc scores: 0.25 ,roc-auc scores: 0.61 ,cohen scores: 0.24 
Threshold: 0.60 ,Senstivity: 0.40 ,Specificity: 0.82 ,Accuracy: 0.63 ,mcc scores: 0.25 ,roc-auc scores: 0.61 ,cohen scores: 0.23 
Threshold: 0.70 ,Senstivity: 0.40 ,Specificity: 0.85 ,Accuracy: 0.64 ,mcc scores: 0.28 ,roc-auc scores: 0.61 ,cohen scores: 0.26 
Threshold: 0.80 ,Senstivity: 0.40 ,Specificity: 0.88 ,Accuracy: 0.65 ,mcc scores: 0.32 ,roc-auc scores: 0.61 ,cohen scores: 0.28 
Threshold: 0.90 ,Senstivity: 0.37 ,Specificity: 0.93 ,Accuracy: 0.67 ,mcc scores: 0.36 ,roc-auc scores: 0.61 ,cohen scores: 0.31 
Threshold: 1.00 ,Senstivity: 0.29 ,Specificity: 0.93 ,Accuracy: 0.63 ,mcc scores: 0.28 ,roc-auc scores: 0.61 ,cohen scores: 0.22 
Threshold: 1.10 ,Senstivity: 0.03 ,Specificity: 0.95 ,Accuracy: 0.52 ,mcc scores: -0.05 ,roc-auc scores: 0.61 ,cohen scores: -0.02 
