extra_trees_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.51,0.00,0.70,0.00
0.05,1.00,0.00,0.51,0.00,0.70,0.00
0.10,1.00,0.00,0.51,0.00,0.70,0.00
0.15,1.00,0.00,0.51,0.00,0.70,0.00
0.20,1.00,0.03,0.52,0.13,0.70,0.03
0.25,0.98,0.07,0.53,0.12,0.70,0.05
0.30,0.97,0.14,0.56,0.20,0.70,0.11
0.35,0.92,0.15,0.54,0.10,0.70,0.07
0.40,0.86,0.32,0.59,0.21,0.70,0.18
0.45,0.75,0.49,0.62,0.24,0.70,0.23
0.50,0.61,0.68,0.65,0.29,0.70,0.29
0.55,0.49,0.83,0.66,0.34,0.70,0.32
0.60,0.35,0.90,0.62,0.30,0.70,0.25
0.65,0.30,0.96,0.62,0.34,0.70,0.25
0.70,0.23,0.98,0.60,0.31,0.70,0.20
0.75,0.14,0.99,0.56,0.25,0.70,0.13
0.80,0.07,1.00,0.53,0.19,0.70,0.07
0.85,0.02,1.00,0.50,0.10,0.70,0.02
0.90,0.00,1.00,0.49,0.00,0.70,0.00
0.95,0.00,1.00,0.49,0.00,0.70,0.00

extra_trees_kfold_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.62,0.00
0.05,1.00,0.00,0.47,0.00,0.64,0.00
0.10,1.00,0.00,0.47,0.00,0.60,0.00
0.15,1.00,0.00,0.47,0.00,0.62,0.00
0.20,1.00,0.03,0.48,0.11,0.64,0.02
0.25,0.94,0.03,0.45,-0.08,0.63,-0.03
0.30,0.91,0.07,0.47,-0.02,0.62,-0.01
0.35,0.86,0.15,0.48,0.01,0.61,0.01
0.40,0.83,0.17,0.48,0.00,0.64,0.00
0.45,0.71,0.35,0.52,0.07,0.62,0.06
0.50,0.60,0.62,0.61,0.22,0.62,0.22
0.55,0.51,0.72,0.63,0.25,0.66,0.24
0.60,0.40,0.78,0.60,0.19,0.61,0.18
0.65,0.37,0.90,0.65,0.32,0.62,0.28
0.70,0.17,0.95,0.59,0.20,0.63,0.13
0.75,0.17,0.97,0.60,0.25,0.65,0.15
0.80,0.14,0.97,0.59,0.22,0.62,0.12
0.85,0.00,0.97,0.52,-0.11,0.62,-0.03
0.90,0.00,1.00,0.53,0.00,0.62,0.00
0.95,0.00,1.00,0.53,0.00,0.63,0.00

knn_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.51,0.00,0.66,0.00
0.05,0.95,0.09,0.53,0.08,0.66,0.04
0.10,0.95,0.09,0.53,0.08,0.66,0.04
0.15,0.95,0.09,0.53,0.08,0.66,0.04
0.20,0.95,0.09,0.53,0.08,0.66,0.04
0.25,0.88,0.18,0.54,0.10,0.66,0.07
0.30,0.88,0.18,0.54,0.10,0.66,0.07
0.35,0.88,0.18,0.54,0.10,0.66,0.07
0.40,0.88,0.18,0.54,0.10,0.66,0.07
0.45,0.82,0.31,0.57,0.16,0.66,0.14
0.50,0.82,0.31,0.57,0.16,0.66,0.14
0.55,0.82,0.31,0.57,0.16,0.66,0.14
0.60,0.67,0.52,0.60,0.20,0.66,0.20
0.65,0.67,0.52,0.60,0.20,0.66,0.20
0.70,0.67,0.52,0.60,0.20,0.66,0.20
0.75,0.67,0.52,0.60,0.20,0.66,0.20
0.80,0.67,0.52,0.60,0.20,0.66,0.20
0.85,0.46,0.85,0.65,0.34,0.66,0.31
0.90,0.46,0.85,0.65,0.34,0.66,0.31
0.95,0.46,0.85,0.65,0.34,0.66,0.31

knn_kfold_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.61,0.00
0.05,0.91,0.07,0.47,-0.02,0.61,-0.01
0.10,0.91,0.07,0.47,-0.02,0.61,-0.01
0.15,0.91,0.07,0.47,-0.02,0.61,-0.01
0.20,0.91,0.07,0.47,-0.02,0.61,-0.01
0.25,0.89,0.17,0.51,0.09,0.61,0.06
0.30,0.89,0.17,0.51,0.09,0.61,0.06
0.35,0.89,0.17,0.51,0.09,0.61,0.06
0.40,0.89,0.17,0.51,0.09,0.61,0.06
0.45,0.74,0.42,0.57,0.18,0.61,0.16
0.50,0.74,0.42,0.57,0.18,0.61,0.16
0.55,0.74,0.42,0.57,0.18,0.61,0.16
0.60,0.60,0.62,0.61,0.22,0.61,0.22
0.65,0.60,0.62,0.61,0.22,0.61,0.22
0.70,0.60,0.62,0.61,0.22,0.61,0.22
0.75,0.60,0.62,0.61,0.22,0.61,0.22
0.80,0.60,0.62,0.61,0.22,0.61,0.22
0.85,0.29,0.82,0.57,0.13,0.61,0.11
0.90,0.29,0.82,0.57,0.13,0.61,0.11
0.95,0.29,0.82,0.57,0.13,0.61,0.11

mlp_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.51,0.00,0.62,0.00
0.05,0.75,0.37,0.57,0.14,0.62,0.13
0.10,0.73,0.41,0.57,0.14,0.62,0.13
0.15,0.71,0.41,0.56,0.13,0.62,0.12
0.20,0.69,0.43,0.56,0.12,0.62,0.12
0.25,0.67,0.44,0.56,0.11,0.62,0.11
0.30,0.67,0.45,0.56,0.12,0.62,0.12
0.35,0.66,0.46,0.57,0.13,0.62,0.13
0.40,0.66,0.48,0.57,0.14,0.62,0.13
0.45,0.65,0.49,0.57,0.14,0.62,0.14
0.50,0.63,0.50,0.57,0.14,0.62,0.13
0.55,0.63,0.52,0.58,0.15,0.62,0.15
0.60,0.62,0.54,0.58,0.16,0.62,0.16
0.65,0.61,0.56,0.58,0.17,0.62,0.17
0.70,0.60,0.56,0.58,0.16,0.62,0.16
0.75,0.59,0.58,0.59,0.17,0.62,0.17
0.80,0.58,0.61,0.60,0.20,0.62,0.19
0.85,0.55,0.63,0.59,0.18,0.62,0.18
0.90,0.53,0.64,0.58,0.17,0.62,0.17
0.95,0.50,0.73,0.61,0.24,0.62,0.23

mlp_kfold_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.59,0.00
0.05,0.74,0.42,0.57,0.18,0.64,0.16
0.10,0.71,0.42,0.56,0.14,0.63,0.14
0.15,0.74,0.40,0.56,0.15,0.64,0.14
0.20,0.66,0.60,0.63,0.26,0.61,0.26
0.25,0.74,0.42,0.57,0.18,0.64,0.16
0.30,0.66,0.40,0.52,0.06,0.60,0.06
0.35,0.66,0.47,0.56,0.13,0.60,0.13
0.40,0.69,0.50,0.59,0.19,0.65,0.18
0.45,0.66,0.53,0.59,0.18,0.63,0.18
0.50,0.66,0.45,0.55,0.11,0.62,0.11
0.55,0.77,0.35,0.55,0.13,0.67,0.12
0.60,0.71,0.45,0.57,0.17,0.65,0.16
0.65,0.69,0.55,0.61,0.24,0.64,0.23
0.70,0.63,0.62,0.63,0.25,0.66,0.25
0.75,0.63,0.57,0.60,0.20,0.60,0.20
0.80,0.63,0.68,0.65,0.30,0.66,0.30
0.85,0.63,0.60,0.61,0.23,0.65,0.23
0.90,0.57,0.72,0.65,0.30,0.61,0.30
0.95,0.43,0.78,0.61,0.22,0.61,0.21

rf_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.51,0.00,0.71,0.00
0.05,1.00,0.00,0.51,0.00,0.71,0.00
0.10,1.00,0.00,0.51,0.00,0.71,0.00
0.15,1.00,0.00,0.51,0.00,0.71,0.00
0.20,1.00,0.01,0.51,0.05,0.71,0.01
0.25,0.98,0.08,0.54,0.14,0.71,0.06
0.30,0.96,0.11,0.54,0.15,0.71,0.08
0.35,0.95,0.17,0.57,0.20,0.71,0.13
0.40,0.85,0.30,0.58,0.17,0.71,0.15
0.45,0.73,0.47,0.60,0.21,0.71,0.20
0.50,0.60,0.70,0.65,0.30,0.71,0.30
0.55,0.49,0.86,0.67,0.38,0.71,0.35
0.60,0.41,0.94,0.67,0.40,0.71,0.34
0.65,0.28,0.96,0.62,0.32,0.71,0.24
0.70,0.21,0.98,0.59,0.30,0.71,0.19
0.75,0.14,1.00,0.57,0.27,0.71,0.14
0.80,0.07,1.00,0.53,0.19,0.71,0.07
0.85,0.04,1.00,0.51,0.15,0.71,0.04
0.90,0.02,1.00,0.50,0.09,0.71,0.02
0.95,0.00,1.00,0.49,0.00,0.71,0.00

rf_kfold_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.63,0.00
0.05,1.00,0.00,0.47,0.00,0.61,0.00
0.10,1.00,0.00,0.47,0.00,0.65,0.00
0.15,1.00,0.00,0.47,0.00,0.59,0.00
0.20,0.97,0.00,0.45,-0.12,0.62,-0.03
