Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.05 ,roc-auc scores: 0.71 ,cohen scores: 0.01 
Threshold: 0.25 ,Senstivity: 0.98 ,Specificity: 0.08 ,Accuracy: 0.54 ,mcc scores: 0.14 ,roc-auc scores: 0.71 ,cohen scores: 0.06 
Threshold: 0.30 ,Senstivity: 0.96 ,Specificity: 0.11 ,Accuracy: 0.54 ,mcc scores: 0.15 ,roc-auc scores: 0.71 ,cohen scores: 0.08 
Threshold: 0.35 ,Senstivity: 0.95 ,Specificity: 0.17 ,Accuracy: 0.57 ,mcc scores: 0.20 ,roc-auc scores: 0.71 ,cohen scores: 0.13 
Threshold: 0.40 ,Senstivity: 0.85 ,Specificity: 0.30 ,Accuracy: 0.58 ,mcc scores: 0.17 ,roc-auc scores: 0.71 ,cohen scores: 0.15 
Threshold: 0.45 ,Senstivity: 0.73 ,Specificity: 0.47 ,Accuracy: 0.60 ,mcc scores: 0.21 ,roc-auc scores: 0.71 ,cohen scores: 0.20 
Threshold: 0.50 ,Senstivity: 0.60 ,Specificity: 0.70 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.71 ,cohen scores: 0.30 
Threshold: 0.55 ,Senstivity: 0.49 ,Specificity: 0.86 ,Accuracy: 0.67 ,mcc scores: 0.38 ,roc-auc scores: 0.71 ,cohen scores: 0.35 
Threshold: 0.60 ,Senstivity: 0.41 ,Specificity: 0.94 ,Accuracy: 0.67 ,mcc scores: 0.40 ,roc-auc scores: 0.71 ,cohen scores: 0.34 
Threshold: 0.65 ,Senstivity: 0.28 ,Specificity: 0.96 ,Accuracy: 0.62 ,mcc scores: 0.32 ,roc-auc scores: 0.71 ,cohen scores: 0.24 
Threshold: 0.70 ,Senstivity: 0.21 ,Specificity: 0.98 ,Accuracy: 0.59 ,mcc scores: 0.30 ,roc-auc scores: 0.71 ,cohen scores: 0.19 
Threshold: 0.75 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.27 ,roc-auc scores: 0.71 ,cohen scores: 0.14 
Threshold: 0.80 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.19 ,roc-auc scores: 0.71 ,cohen scores: 0.07 
Threshold: 0.85 ,Senstivity: 0.04 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.15 ,roc-auc scores: 0.71 ,cohen scores: 0.04 
Threshold: 0.90 ,Senstivity: 0.02 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.09 ,roc-auc scores: 0.71 ,cohen scores: 0.02 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
