Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.05 ,roc-auc scores: 0.70 ,cohen scores: 0.01 
Threshold: -1.40 ,Senstivity: 0.99 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 0.99 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.02 ,roc-auc scores: 0.70 ,cohen scores: 0.01 
Threshold: -1.20 ,Senstivity: 0.99 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.04 ,roc-auc scores: 0.70 ,cohen scores: 0.01 
Threshold: -1.10 ,Senstivity: 0.98 ,Specificity: 0.04 ,Accuracy: 0.51 ,mcc scores: 0.05 ,roc-auc scores: 0.70 ,cohen scores: 0.02 
Threshold: -1.00 ,Senstivity: 0.93 ,Specificity: 0.11 ,Accuracy: 0.53 ,mcc scores: 0.07 ,roc-auc scores: 0.70 ,cohen scores: 0.04 
Threshold: -0.90 ,Senstivity: 0.88 ,Specificity: 0.17 ,Accuracy: 0.53 ,mcc scores: 0.07 ,roc-auc scores: 0.70 ,cohen scores: 0.05 
Threshold: -0.80 ,Senstivity: 0.86 ,Specificity: 0.23 ,Accuracy: 0.55 ,mcc scores: 0.12 ,roc-auc scores: 0.70 ,cohen scores: 0.09 
Threshold: -0.70 ,Senstivity: 0.83 ,Specificity: 0.31 ,Accuracy: 0.57 ,mcc scores: 0.16 ,roc-auc scores: 0.70 ,cohen scores: 0.14 
Threshold: -0.60 ,Senstivity: 0.80 ,Specificity: 0.35 ,Accuracy: 0.58 ,mcc scores: 0.17 ,roc-auc scores: 0.70 ,cohen scores: 0.15 
Threshold: -0.50 ,Senstivity: 0.77 ,Specificity: 0.42 ,Accuracy: 0.60 ,mcc scores: 0.20 ,roc-auc scores: 0.70 ,cohen scores: 0.19 
Threshold: -0.40 ,Senstivity: 0.75 ,Specificity: 0.49 ,Accuracy: 0.62 ,mcc scores: 0.25 ,roc-auc scores: 0.70 ,cohen scores: 0.24 
Threshold: -0.30 ,Senstivity: 0.72 ,Specificity: 0.55 ,Accuracy: 0.64 ,mcc scores: 0.28 ,roc-auc scores: 0.70 ,cohen scores: 0.27 
Threshold: -0.20 ,Senstivity: 0.69 ,Specificity: 0.62 ,Accuracy: 0.65 ,mcc scores: 0.31 ,roc-auc scores: 0.70 ,cohen scores: 0.31 
Threshold: -0.10 ,Senstivity: 0.66 ,Specificity: 0.66 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.70 ,cohen scores: 0.33 
Threshold: 0.00 ,Senstivity: 0.63 ,Specificity: 0.70 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.70 ,cohen scores: 0.32 
Threshold: 0.10 ,Senstivity: 0.61 ,Specificity: 0.75 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.70 ,cohen scores: 0.36 
Threshold: 0.20 ,Senstivity: 0.58 ,Specificity: 0.78 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.70 ,cohen scores: 0.36 
Threshold: 0.30 ,Senstivity: 0.55 ,Specificity: 0.81 ,Accuracy: 0.68 ,mcc scores: 0.38 ,roc-auc scores: 0.70 ,cohen scores: 0.36 
Threshold: 0.40 ,Senstivity: 0.49 ,Specificity: 0.83 ,Accuracy: 0.66 ,mcc scores: 0.34 ,roc-auc scores: 0.70 ,cohen scores: 0.32 
Threshold: 0.50 ,Senstivity: 0.47 ,Specificity: 0.85 ,Accuracy: 0.66 ,mcc scores: 0.35 ,roc-auc scores: 0.70 ,cohen scores: 0.32 
Threshold: 0.60 ,Senstivity: 0.44 ,Specificity: 0.90 ,Accuracy: 0.67 ,mcc scores: 0.38 ,roc-auc scores: 0.70 ,cohen scores: 0.34 
Threshold: 0.70 ,Senstivity: 0.38 ,Specificity: 0.92 ,Accuracy: 0.65 ,mcc scores: 0.36 ,roc-auc scores: 0.70 ,cohen scores: 0.30 
Threshold: 0.80 ,Senstivity: 0.32 ,Specificity: 0.95 ,Accuracy: 0.63 ,mcc scores: 0.34 ,roc-auc scores: 0.70 ,cohen scores: 0.26 
Threshold: 0.90 ,Senstivity: 0.28 ,Specificity: 0.95 ,Accuracy: 0.61 ,mcc scores: 0.31 ,roc-auc scores: 0.70 ,cohen scores: 0.23 
Threshold: 1.00 ,Senstivity: 0.18 ,Specificity: 0.99 ,Accuracy: 0.58 ,mcc scores: 0.29 ,roc-auc scores: 0.70 ,cohen scores: 0.17 
Threshold: 1.10 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.20 ,roc-auc scores: 0.70 ,cohen scores: 0.08 
