Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.64 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.96 ,Specificity: 0.12 ,Accuracy: 0.50 ,mcc scores: 0.15 ,roc-auc scores: 0.64 ,cohen scores: 0.08 
Threshold: 0.10 ,Senstivity: 0.96 ,Specificity: 0.12 ,Accuracy: 0.50 ,mcc scores: 0.15 ,roc-auc scores: 0.64 ,cohen scores: 0.08 
Threshold: 0.15 ,Senstivity: 0.96 ,Specificity: 0.12 ,Accuracy: 0.50 ,mcc scores: 0.15 ,roc-auc scores: 0.64 ,cohen scores: 0.08 
Threshold: 0.20 ,Senstivity: 0.96 ,Specificity: 0.12 ,Accuracy: 0.50 ,mcc scores: 0.15 ,roc-auc scores: 0.64 ,cohen scores: 0.08 
Threshold: 0.25 ,Senstivity: 0.85 ,Specificity: 0.21 ,Accuracy: 0.50 ,mcc scores: 0.08 ,roc-auc scores: 0.64 ,cohen scores: 0.06 
Threshold: 0.30 ,Senstivity: 0.85 ,Specificity: 0.21 ,Accuracy: 0.50 ,mcc scores: 0.08 ,roc-auc scores: 0.64 ,cohen scores: 0.06 
Threshold: 0.35 ,Senstivity: 0.85 ,Specificity: 0.21 ,Accuracy: 0.50 ,mcc scores: 0.08 ,roc-auc scores: 0.64 ,cohen scores: 0.06 
Threshold: 0.40 ,Senstivity: 0.85 ,Specificity: 0.21 ,Accuracy: 0.50 ,mcc scores: 0.08 ,roc-auc scores: 0.64 ,cohen scores: 0.06 
Threshold: 0.45 ,Senstivity: 0.78 ,Specificity: 0.42 ,Accuracy: 0.58 ,mcc scores: 0.21 ,roc-auc scores: 0.64 ,cohen scores: 0.19 
Threshold: 0.50 ,Senstivity: 0.78 ,Specificity: 0.42 ,Accuracy: 0.58 ,mcc scores: 0.21 ,roc-auc scores: 0.64 ,cohen scores: 0.19 
Threshold: 0.55 ,Senstivity: 0.78 ,Specificity: 0.42 ,Accuracy: 0.58 ,mcc scores: 0.21 ,roc-auc scores: 0.64 ,cohen scores: 0.19 
Threshold: 0.60 ,Senstivity: 0.59 ,Specificity: 0.73 ,Accuracy: 0.67 ,mcc scores: 0.32 ,roc-auc scores: 0.64 ,cohen scores: 0.32 
Threshold: 0.65 ,Senstivity: 0.59 ,Specificity: 0.73 ,Accuracy: 0.67 ,mcc scores: 0.32 ,roc-auc scores: 0.64 ,cohen scores: 0.32 
Threshold: 0.70 ,Senstivity: 0.59 ,Specificity: 0.73 ,Accuracy: 0.67 ,mcc scores: 0.32 ,roc-auc scores: 0.64 ,cohen scores: 0.32 
Threshold: 0.75 ,Senstivity: 0.59 ,Specificity: 0.73 ,Accuracy: 0.67 ,mcc scores: 0.32 ,roc-auc scores: 0.64 ,cohen scores: 0.32 
Threshold: 0.80 ,Senstivity: 0.59 ,Specificity: 0.73 ,Accuracy: 0.67 ,mcc scores: 0.32 ,roc-auc scores: 0.64 ,cohen scores: 0.32 
Threshold: 0.85 ,Senstivity: 0.22 ,Specificity: 0.82 ,Accuracy: 0.55 ,mcc scores: 0.05 ,roc-auc scores: 0.64 ,cohen scores: 0.04 
Threshold: 0.90 ,Senstivity: 0.22 ,Specificity: 0.82 ,Accuracy: 0.55 ,mcc scores: 0.05 ,roc-auc scores: 0.64 ,cohen scores: 0.04 
Threshold: 0.95 ,Senstivity: 0.22 ,Specificity: 0.82 ,Accuracy: 0.55 ,mcc scores: 0.05 ,roc-auc scores: 0.64 ,cohen scores: 0.04 
