Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.98 ,Specificity: 0.11 ,Accuracy: 0.55 ,mcc scores: 0.19 ,roc-auc scores: 0.69 ,cohen scores: 0.09 
Threshold: 0.10 ,Senstivity: 0.91 ,Specificity: 0.21 ,Accuracy: 0.56 ,mcc scores: 0.17 ,roc-auc scores: 0.69 ,cohen scores: 0.12 
Threshold: 0.15 ,Senstivity: 0.78 ,Specificity: 0.41 ,Accuracy: 0.60 ,mcc scores: 0.21 ,roc-auc scores: 0.69 ,cohen scores: 0.19 
Threshold: 0.20 ,Senstivity: 0.76 ,Specificity: 0.47 ,Accuracy: 0.61 ,mcc scores: 0.24 ,roc-auc scores: 0.69 ,cohen scores: 0.23 
Threshold: 0.25 ,Senstivity: 0.75 ,Specificity: 0.50 ,Accuracy: 0.62 ,mcc scores: 0.26 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 0.30 ,Senstivity: 0.74 ,Specificity: 0.52 ,Accuracy: 0.63 ,mcc scores: 0.27 ,roc-auc scores: 0.69 ,cohen scores: 0.26 
Threshold: 0.35 ,Senstivity: 0.69 ,Specificity: 0.54 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.69 ,cohen scores: 0.24 
Threshold: 0.40 ,Senstivity: 0.68 ,Specificity: 0.57 ,Accuracy: 0.63 ,mcc scores: 0.26 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 0.45 ,Senstivity: 0.67 ,Specificity: 0.63 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.69 ,cohen scores: 0.30 
Threshold: 0.50 ,Senstivity: 0.65 ,Specificity: 0.65 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.69 ,cohen scores: 0.30 
Threshold: 0.55 ,Senstivity: 0.63 ,Specificity: 0.71 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.69 ,cohen scores: 0.34 
Threshold: 0.60 ,Senstivity: 0.59 ,Specificity: 0.76 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.69 ,cohen scores: 0.34 
Threshold: 0.65 ,Senstivity: 0.54 ,Specificity: 0.78 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.69 ,cohen scores: 0.32 
Threshold: 0.70 ,Senstivity: 0.51 ,Specificity: 0.80 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.69 ,cohen scores: 0.32 
Threshold: 0.75 ,Senstivity: 0.49 ,Specificity: 0.82 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.69 ,cohen scores: 0.31 
Threshold: 0.80 ,Senstivity: 0.40 ,Specificity: 0.86 ,Accuracy: 0.63 ,mcc scores: 0.29 ,roc-auc scores: 0.69 ,cohen scores: 0.26 
Threshold: 0.85 ,Senstivity: 0.37 ,Specificity: 0.87 ,Accuracy: 0.62 ,mcc scores: 0.27 ,roc-auc scores: 0.69 ,cohen scores: 0.23 
Threshold: 0.90 ,Senstivity: 0.35 ,Specificity: 0.88 ,Accuracy: 0.62 ,mcc scores: 0.27 ,roc-auc scores: 0.69 ,cohen scores: 0.23 
Threshold: 0.95 ,Senstivity: 0.30 ,Specificity: 0.91 ,Accuracy: 0.60 ,mcc scores: 0.26 ,roc-auc scores: 0.69 ,cohen scores: 0.21 
