Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.63 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.81 ,Specificity: 0.30 ,Accuracy: 0.55 ,mcc scores: 0.13 ,roc-auc scores: 0.61 ,cohen scores: 0.11 
Threshold: 0.10 ,Senstivity: 0.86 ,Specificity: 0.23 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.62 ,cohen scores: 0.09 
Threshold: 0.15 ,Senstivity: 0.84 ,Specificity: 0.30 ,Accuracy: 0.56 ,mcc scores: 0.16 ,roc-auc scores: 0.55 ,cohen scores: 0.13 
Threshold: 0.20 ,Senstivity: 0.78 ,Specificity: 0.38 ,Accuracy: 0.57 ,mcc scores: 0.17 ,roc-auc scores: 0.60 ,cohen scores: 0.16 
Threshold: 0.25 ,Senstivity: 0.59 ,Specificity: 0.65 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.69 ,cohen scores: 0.24 
Threshold: 0.30 ,Senstivity: 0.59 ,Specificity: 0.53 ,Accuracy: 0.56 ,mcc scores: 0.12 ,roc-auc scores: 0.60 ,cohen scores: 0.12 
Threshold: 0.35 ,Senstivity: 0.76 ,Specificity: 0.55 ,Accuracy: 0.65 ,mcc scores: 0.31 ,roc-auc scores: 0.68 ,cohen scores: 0.30 
Threshold: 0.40 ,Senstivity: 0.65 ,Specificity: 0.47 ,Accuracy: 0.56 ,mcc scores: 0.13 ,roc-auc scores: 0.62 ,cohen scores: 0.12 
Threshold: 0.45 ,Senstivity: 0.65 ,Specificity: 0.53 ,Accuracy: 0.58 ,mcc scores: 0.17 ,roc-auc scores: 0.60 ,cohen scores: 0.17 
Threshold: 0.50 ,Senstivity: 0.49 ,Specificity: 0.60 ,Accuracy: 0.55 ,mcc scores: 0.09 ,roc-auc scores: 0.59 ,cohen scores: 0.09 
Threshold: 0.55 ,Senstivity: 0.65 ,Specificity: 0.57 ,Accuracy: 0.61 ,mcc scores: 0.22 ,roc-auc scores: 0.66 ,cohen scores: 0.22 
Threshold: 0.60 ,Senstivity: 0.46 ,Specificity: 0.70 ,Accuracy: 0.58 ,mcc scores: 0.16 ,roc-auc scores: 0.63 ,cohen scores: 0.16 
Threshold: 0.65 ,Senstivity: 0.38 ,Specificity: 0.80 ,Accuracy: 0.60 ,mcc scores: 0.20 ,roc-auc scores: 0.58 ,cohen scores: 0.18 
Threshold: 0.70 ,Senstivity: 0.51 ,Specificity: 0.72 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.64 ,cohen scores: 0.24 
Threshold: 0.75 ,Senstivity: 0.46 ,Specificity: 0.75 ,Accuracy: 0.61 ,mcc scores: 0.22 ,roc-auc scores: 0.58 ,cohen scores: 0.21 
Threshold: 0.80 ,Senstivity: 0.46 ,Specificity: 0.75 ,Accuracy: 0.61 ,mcc scores: 0.22 ,roc-auc scores: 0.64 ,cohen scores: 0.21 
Threshold: 0.85 ,Senstivity: 0.35 ,Specificity: 0.75 ,Accuracy: 0.56 ,mcc scores: 0.11 ,roc-auc scores: 0.56 ,cohen scores: 0.10 
Threshold: 0.90 ,Senstivity: 0.35 ,Specificity: 0.78 ,Accuracy: 0.57 ,mcc scores: 0.14 ,roc-auc scores: 0.65 ,cohen scores: 0.13 
Threshold: 0.95 ,Senstivity: 0.27 ,Specificity: 0.85 ,Accuracy: 0.57 ,mcc scores: 0.15 ,roc-auc scores: 0.60 ,cohen scores: 0.12 
