extra_trees_bin_n10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.51,0.00,0.76,0.00
0.05,1.00,0.00,0.51,0.00,0.76,0.00
0.10,1.00,0.00,0.51,0.00,0.76,0.00
0.15,1.00,0.00,0.51,0.00,0.76,0.00
0.20,1.00,0.01,0.51,0.07,0.76,0.01
0.25,0.99,0.05,0.53,0.13,0.76,0.04
0.30,0.99,0.14,0.57,0.24,0.76,0.13
0.35,0.95,0.23,0.60,0.27,0.76,0.19
0.40,0.90,0.35,0.63,0.30,0.76,0.25
0.45,0.82,0.51,0.67,0.35,0.76,0.33
0.50,0.65,0.74,0.69,0.39,0.76,0.39
0.55,0.50,0.86,0.68,0.39,0.76,0.36
0.60,0.32,0.96,0.63,0.36,0.76,0.28
0.65,0.27,0.99,0.63,0.38,0.76,0.26
0.70,0.20,0.99,0.59,0.32,0.76,0.19
0.75,0.16,1.00,0.57,0.29,0.76,0.16
0.80,0.13,1.00,0.56,0.26,0.76,0.13
0.85,0.11,1.00,0.55,0.24,0.76,0.11
0.90,0.06,1.00,0.52,0.17,0.76,0.06
0.95,0.04,1.00,0.51,0.14,0.76,0.04

extra_trees_kfold_bin_n10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.64,0.00
0.05,1.00,0.00,0.47,0.00,0.67,0.00
0.10,1.00,0.00,0.47,0.00,0.68,0.00
0.15,1.00,0.00,0.47,0.00,0.66,0.00
0.20,1.00,0.00,0.47,0.00,0.69,0.00
0.25,1.00,0.00,0.47,0.00,0.66,0.00
0.30,1.00,0.00,0.47,0.00,0.66,0.00
0.35,1.00,0.05,0.49,0.15,0.65,0.05
0.40,0.91,0.23,0.55,0.19,0.66,0.13
0.45,0.83,0.30,0.55,0.15,0.65,0.12
0.50,0.69,0.42,0.55,0.11,0.64,0.11
0.55,0.57,0.60,0.59,0.17,0.67,0.17
0.60,0.51,0.88,0.71,0.42,0.69,0.40
0.65,0.34,0.95,0.67,0.37,0.61,0.30
0.70,0.17,0.97,0.60,0.25,0.66,0.15
0.75,0.14,1.00,0.60,0.29,0.65,0.15
0.80,0.06,1.00,0.56,0.18,0.67,0.06
0.85,0.06,1.00,0.56,0.18,0.66,0.06
0.90,0.03,1.00,0.55,0.12,0.68,0.03
0.95,0.00,1.00,0.53,0.00,0.68,0.00

knn_bin_n10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.51,0.00,0.67,0.00
0.05,0.96,0.20,0.58,0.24,0.67,0.16
0.10,0.96,0.20,0.58,0.24,0.67,0.16
0.15,0.96,0.20,0.58,0.24,0.67,0.16
0.20,0.96,0.20,0.58,0.24,0.67,0.16
