Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.76 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.94 ,Specificity: 0.32 ,Accuracy: 0.63 ,mcc scores: 0.33 ,roc-auc scores: 0.76 ,cohen scores: 0.26 
Threshold: 0.10 ,Senstivity: 0.93 ,Specificity: 0.41 ,Accuracy: 0.67 ,mcc scores: 0.39 ,roc-auc scores: 0.76 ,cohen scores: 0.33 
Threshold: 0.15 ,Senstivity: 0.91 ,Specificity: 0.46 ,Accuracy: 0.69 ,mcc scores: 0.42 ,roc-auc scores: 0.76 ,cohen scores: 0.38 
Threshold: 0.20 ,Senstivity: 0.86 ,Specificity: 0.50 ,Accuracy: 0.69 ,mcc scores: 0.39 ,roc-auc scores: 0.76 ,cohen scores: 0.37 
Threshold: 0.25 ,Senstivity: 0.83 ,Specificity: 0.53 ,Accuracy: 0.68 ,mcc scores: 0.37 ,roc-auc scores: 0.76 ,cohen scores: 0.36 
Threshold: 0.30 ,Senstivity: 0.80 ,Specificity: 0.55 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.76 ,cohen scores: 0.35 
Threshold: 0.35 ,Senstivity: 0.77 ,Specificity: 0.57 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.76 ,cohen scores: 0.35 
Threshold: 0.40 ,Senstivity: 0.75 ,Specificity: 0.59 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.76 ,cohen scores: 0.34 
Threshold: 0.45 ,Senstivity: 0.72 ,Specificity: 0.63 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.76 ,cohen scores: 0.35 
Threshold: 0.50 ,Senstivity: 0.69 ,Specificity: 0.64 ,Accuracy: 0.67 ,mcc scores: 0.33 ,roc-auc scores: 0.76 ,cohen scores: 0.33 
Threshold: 0.55 ,Senstivity: 0.66 ,Specificity: 0.66 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.76 ,cohen scores: 0.33 
Threshold: 0.60 ,Senstivity: 0.65 ,Specificity: 0.68 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.76 ,cohen scores: 0.32 
Threshold: 0.65 ,Senstivity: 0.61 ,Specificity: 0.71 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.76 ,cohen scores: 0.32 
Threshold: 0.70 ,Senstivity: 0.58 ,Specificity: 0.75 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.76 ,cohen scores: 0.33 
Threshold: 0.75 ,Senstivity: 0.54 ,Specificity: 0.79 ,Accuracy: 0.66 ,mcc scores: 0.34 ,roc-auc scores: 0.76 ,cohen scores: 0.33 
Threshold: 0.80 ,Senstivity: 0.52 ,Specificity: 0.83 ,Accuracy: 0.67 ,mcc scores: 0.37 ,roc-auc scores: 0.76 ,cohen scores: 0.35 
Threshold: 0.85 ,Senstivity: 0.44 ,Specificity: 0.86 ,Accuracy: 0.65 ,mcc scores: 0.33 ,roc-auc scores: 0.76 ,cohen scores: 0.30 
Threshold: 0.90 ,Senstivity: 0.38 ,Specificity: 0.90 ,Accuracy: 0.63 ,mcc scores: 0.32 ,roc-auc scores: 0.76 ,cohen scores: 0.27 
Threshold: 0.95 ,Senstivity: 0.27 ,Specificity: 0.92 ,Accuracy: 0.59 ,mcc scores: 0.25 ,roc-auc scores: 0.76 ,cohen scores: 0.19 
