Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.58 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.74 ,Specificity: 0.30 ,Accuracy: 0.51 ,mcc scores: 0.05 ,roc-auc scores: 0.59 ,cohen scores: 0.04 
Threshold: 0.10 ,Senstivity: 0.71 ,Specificity: 0.45 ,Accuracy: 0.57 ,mcc scores: 0.17 ,roc-auc scores: 0.59 ,cohen scores: 0.16 
Threshold: 0.15 ,Senstivity: 0.66 ,Specificity: 0.50 ,Accuracy: 0.57 ,mcc scores: 0.16 ,roc-auc scores: 0.59 ,cohen scores: 0.15 
Threshold: 0.20 ,Senstivity: 0.69 ,Specificity: 0.45 ,Accuracy: 0.56 ,mcc scores: 0.14 ,roc-auc scores: 0.61 ,cohen scores: 0.13 
Threshold: 0.25 ,Senstivity: 0.66 ,Specificity: 0.53 ,Accuracy: 0.59 ,mcc scores: 0.18 ,roc-auc scores: 0.60 ,cohen scores: 0.18 
Threshold: 0.30 ,Senstivity: 0.66 ,Specificity: 0.53 ,Accuracy: 0.59 ,mcc scores: 0.18 ,roc-auc scores: 0.60 ,cohen scores: 0.18 
Threshold: 0.35 ,Senstivity: 0.66 ,Specificity: 0.50 ,Accuracy: 0.57 ,mcc scores: 0.16 ,roc-auc scores: 0.59 ,cohen scores: 0.15 
Threshold: 0.40 ,Senstivity: 0.63 ,Specificity: 0.55 ,Accuracy: 0.59 ,mcc scores: 0.18 ,roc-auc scores: 0.59 ,cohen scores: 0.18 
Threshold: 0.45 ,Senstivity: 0.63 ,Specificity: 0.55 ,Accuracy: 0.59 ,mcc scores: 0.18 ,roc-auc scores: 0.60 ,cohen scores: 0.18 
Threshold: 0.50 ,Senstivity: 0.63 ,Specificity: 0.55 ,Accuracy: 0.59 ,mcc scores: 0.18 ,roc-auc scores: 0.59 ,cohen scores: 0.18 
Threshold: 0.55 ,Senstivity: 0.63 ,Specificity: 0.55 ,Accuracy: 0.59 ,mcc scores: 0.18 ,roc-auc scores: 0.59 ,cohen scores: 0.18 
Threshold: 0.60 ,Senstivity: 0.60 ,Specificity: 0.57 ,Accuracy: 0.59 ,mcc scores: 0.17 ,roc-auc scores: 0.61 ,cohen scores: 0.17 
Threshold: 0.65 ,Senstivity: 0.63 ,Specificity: 0.60 ,Accuracy: 0.61 ,mcc scores: 0.23 ,roc-auc scores: 0.61 ,cohen scores: 0.23 
Threshold: 0.70 ,Senstivity: 0.57 ,Specificity: 0.55 ,Accuracy: 0.56 ,mcc scores: 0.12 ,roc-auc scores: 0.59 ,cohen scores: 0.12 
Threshold: 0.75 ,Senstivity: 0.54 ,Specificity: 0.60 ,Accuracy: 0.57 ,mcc scores: 0.14 ,roc-auc scores: 0.60 ,cohen scores: 0.14 
Threshold: 0.80 ,Senstivity: 0.54 ,Specificity: 0.60 ,Accuracy: 0.57 ,mcc scores: 0.14 ,roc-auc scores: 0.60 ,cohen scores: 0.14 
Threshold: 0.85 ,Senstivity: 0.57 ,Specificity: 0.57 ,Accuracy: 0.57 ,mcc scores: 0.15 ,roc-auc scores: 0.58 ,cohen scores: 0.15 
Threshold: 0.90 ,Senstivity: 0.51 ,Specificity: 0.65 ,Accuracy: 0.59 ,mcc scores: 0.17 ,roc-auc scores: 0.59 ,cohen scores: 0.17 
Threshold: 0.95 ,Senstivity: 0.49 ,Specificity: 0.72 ,Accuracy: 0.61 ,mcc scores: 0.22 ,roc-auc scores: 0.60 ,cohen scores: 0.21 
