Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.05 ,roc-auc scores: 0.74 ,cohen scores: 0.01 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.52 ,mcc scores: 0.12 ,roc-auc scores: 0.74 ,cohen scores: 0.03 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.53 ,mcc scores: 0.15 ,roc-auc scores: 0.74 ,cohen scores: 0.05 
Threshold: 0.25 ,Senstivity: 0.98 ,Specificity: 0.10 ,Accuracy: 0.55 ,mcc scores: 0.17 ,roc-auc scores: 0.74 ,cohen scores: 0.08 
Threshold: 0.30 ,Senstivity: 0.96 ,Specificity: 0.20 ,Accuracy: 0.59 ,mcc scores: 0.25 ,roc-auc scores: 0.74 ,cohen scores: 0.16 
Threshold: 0.35 ,Senstivity: 0.93 ,Specificity: 0.29 ,Accuracy: 0.62 ,mcc scores: 0.29 ,roc-auc scores: 0.74 ,cohen scores: 0.23 
Threshold: 0.40 ,Senstivity: 0.87 ,Specificity: 0.38 ,Accuracy: 0.63 ,mcc scores: 0.29 ,roc-auc scores: 0.74 ,cohen scores: 0.25 
Threshold: 0.45 ,Senstivity: 0.76 ,Specificity: 0.55 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.74 ,cohen scores: 0.31 
Threshold: 0.50 ,Senstivity: 0.65 ,Specificity: 0.69 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.74 ,cohen scores: 0.34 
Threshold: 0.55 ,Senstivity: 0.48 ,Specificity: 0.81 ,Accuracy: 0.65 ,mcc scores: 0.31 ,roc-auc scores: 0.74 ,cohen scores: 0.29 
Threshold: 0.60 ,Senstivity: 0.36 ,Specificity: 0.91 ,Accuracy: 0.63 ,mcc scores: 0.33 ,roc-auc scores: 0.74 ,cohen scores: 0.27 
Threshold: 0.65 ,Senstivity: 0.28 ,Specificity: 0.96 ,Accuracy: 0.62 ,mcc scores: 0.33 ,roc-auc scores: 0.74 ,cohen scores: 0.24 
Threshold: 0.70 ,Senstivity: 0.21 ,Specificity: 0.99 ,Accuracy: 0.59 ,mcc scores: 0.32 ,roc-auc scores: 0.74 ,cohen scores: 0.20 
Threshold: 0.75 ,Senstivity: 0.17 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.30 ,roc-auc scores: 0.74 ,cohen scores: 0.17 
Threshold: 0.80 ,Senstivity: 0.16 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.29 ,roc-auc scores: 0.74 ,cohen scores: 0.16 
Threshold: 0.85 ,Senstivity: 0.13 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.26 ,roc-auc scores: 0.74 ,cohen scores: 0.12 
Threshold: 0.90 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.19 ,roc-auc scores: 0.74 ,cohen scores: 0.07 
Threshold: 0.95 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.15 ,roc-auc scores: 0.74 ,cohen scores: 0.05 
