Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.07 ,roc-auc scores: 0.75 ,cohen scores: 0.01 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.04 ,Accuracy: 0.53 ,mcc scores: 0.14 ,roc-auc scores: 0.75 ,cohen scores: 0.04 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.06 ,Accuracy: 0.54 ,mcc scores: 0.18 ,roc-auc scores: 0.75 ,cohen scores: 0.06 
Threshold: -1.00 ,Senstivity: 0.98 ,Specificity: 0.13 ,Accuracy: 0.56 ,mcc scores: 0.22 ,roc-auc scores: 0.75 ,cohen scores: 0.12 
Threshold: -0.90 ,Senstivity: 0.95 ,Specificity: 0.20 ,Accuracy: 0.58 ,mcc scores: 0.22 ,roc-auc scores: 0.75 ,cohen scores: 0.15 
Threshold: -0.80 ,Senstivity: 0.93 ,Specificity: 0.25 ,Accuracy: 0.59 ,mcc scores: 0.25 ,roc-auc scores: 0.75 ,cohen scores: 0.18 
Threshold: -0.70 ,Senstivity: 0.91 ,Specificity: 0.32 ,Accuracy: 0.62 ,mcc scores: 0.29 ,roc-auc scores: 0.75 ,cohen scores: 0.24 
Threshold: -0.60 ,Senstivity: 0.88 ,Specificity: 0.36 ,Accuracy: 0.62 ,mcc scores: 0.28 ,roc-auc scores: 0.75 ,cohen scores: 0.24 
Threshold: -0.50 ,Senstivity: 0.82 ,Specificity: 0.44 ,Accuracy: 0.63 ,mcc scores: 0.29 ,roc-auc scores: 0.75 ,cohen scores: 0.27 
Threshold: -0.40 ,Senstivity: 0.77 ,Specificity: 0.54 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.75 ,cohen scores: 0.32 
Threshold: -0.30 ,Senstivity: 0.75 ,Specificity: 0.59 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.75 ,cohen scores: 0.34 
Threshold: -0.20 ,Senstivity: 0.72 ,Specificity: 0.65 ,Accuracy: 0.69 ,mcc scores: 0.37 ,roc-auc scores: 0.75 ,cohen scores: 0.37 
Threshold: -0.10 ,Senstivity: 0.69 ,Specificity: 0.69 ,Accuracy: 0.69 ,mcc scores: 0.38 ,roc-auc scores: 0.75 ,cohen scores: 0.38 
