Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.67 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.67 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.65 ,cohen scores: 0.00 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 0.30 ,Senstivity: 0.96 ,Specificity: 0.09 ,Accuracy: 0.48 ,mcc scores: 0.11 ,roc-auc scores: 0.74 ,cohen scores: 0.05 
Threshold: 0.35 ,Senstivity: 0.93 ,Specificity: 0.12 ,Accuracy: 0.48 ,mcc scores: 0.08 ,roc-auc scores: 0.70 ,cohen scores: 0.04 
Threshold: 0.40 ,Senstivity: 0.81 ,Specificity: 0.27 ,Accuracy: 0.52 ,mcc scores: 0.10 ,roc-auc scores: 0.67 ,cohen scores: 0.08 
Threshold: 0.45 ,Senstivity: 0.67 ,Specificity: 0.48 ,Accuracy: 0.57 ,mcc scores: 0.15 ,roc-auc scores: 0.62 ,cohen scores: 0.15 
Threshold: 0.50 ,Senstivity: 0.67 ,Specificity: 0.79 ,Accuracy: 0.73 ,mcc scores: 0.46 ,roc-auc scores: 0.70 ,cohen scores: 0.46 
Threshold: 0.55 ,Senstivity: 0.59 ,Specificity: 0.82 ,Accuracy: 0.72 ,mcc scores: 0.42 ,roc-auc scores: 0.71 ,cohen scores: 0.42 
Threshold: 0.60 ,Senstivity: 0.30 ,Specificity: 0.91 ,Accuracy: 0.63 ,mcc scores: 0.26 ,roc-auc scores: 0.71 ,cohen scores: 0.22 
Threshold: 0.65 ,Senstivity: 0.15 ,Specificity: 1.00 ,Accuracy: 0.62 ,mcc scores: 0.30 ,roc-auc scores: 0.66 ,cohen scores: 0.16 
Threshold: 0.70 ,Senstivity: 0.11 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.25 ,roc-auc scores: 0.68 ,cohen scores: 0.12 
Threshold: 0.75 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.21 ,roc-auc scores: 0.71 ,cohen scores: 0.08 
Threshold: 0.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: 0.85 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: 0.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.65 ,cohen scores: 0.00 
